stage,cell_id,predictor,risk_policy,target_style,target_offset_m,rollout,ego_init_id,callback_count,unique_frames,contact_episodes,traffic_light_callbacks,vehicle_actor_callbacks
day11,B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,3.0,B1_fixed_medium_assertive_offset_p3/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day11,B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,3.0,B1_fixed_medium_assertive_offset_p3/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day11,B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,3.0,B1_fixed_medium_assertive_offset_p3/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,-3.0,B1_fixed_medium_reactive_offset_m3/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,-3.0,B1_fixed_medium_reactive_offset_m3/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,-3.0,B1_fixed_medium_reactive_offset_m3/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,-3.0,B1_fixed_medium_reactive_offset_m3/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,-3.0,B1_fixed_medium_reactive_offset_m3/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_p3,B1,fixed_medium,reactive,3.0,B1_fixed_medium_reactive_offset_p3/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_p3,B1,fixed_medium,reactive,3.0,B1_fixed_medium_reactive_offset_p3/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_p3,B1,fixed_medium,reactive,3.0,B1_fixed_medium_reactive_offset_p3/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_p3,B1,fixed_medium,reactive,3.0,B1_fixed_medium_reactive_offset_p3/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day11,B1_fixed_medium_reactive_offset_p3,B1,fixed_medium,reactive,3.0,B1_fixed_medium_reactive_offset_p3/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
