stage,cell_id,predictor,risk_policy,target_style,target_offset_m,ego_init_id,min_center_distance_m,min_footprint_separation_m,footprint_collision,conflict_point_x,conflict_point_y,yield_order_valid,clearance_time_gap_s,logged_footprint_margin_m
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,46,4.506352410328392,0.9857434305774737,0,30.09920597076416,3.659311532974243,1,1.1500000171363354,0.25
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,47,4.504620537136418,1.0605223381896305,0,29.594372749328613,3.7365808486938477,1,1.1000000163912773,0.25
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,48,4.581856431479101,1.0971343840282635,0,30.085597038269043,3.6587624549865723,1,1.5000000223517418,0.25
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,49,4.780819858407951,1.318228332091092,0,30.15107536315918,3.6592785120010376,1,1.2500000186264515,0.25
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,50,5.117722731024392,1.7862528338542212,0,30.118257522583008,3.6430790424346924,1,1.3500000201165676,0.25
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,46,4.33331888056235,0.842359478288727,0,30.222311973571777,3.723311185836792,1,1.4500000216066837,0.25
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,47,4.682221342576581,1.3305977714176649,0,29.9849910736084,3.779540777206421,1,1.2500000186264515,0.25
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,48,4.572316108375641,1.1117454270838907,0,30.080235481262207,3.6720774173736572,1,1.5000000223517418,0.25
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,49,4.647654204639218,1.1657956614458769,0,30.277490615844727,3.6796711683273315,1,1.3500000201165676,0.25
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,50,5.116387124409364,1.7847036197170305,0,30.11818027496338,3.6439387798309326,1,1.3500000201165676,0.25
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,46,4.518395188938372,0.9984228959910301,0,30.10356616973877,3.659158945083618,1,1.1500000171363354,0.25
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,47,4.538971757867088,1.0960950286452258,0,29.591552734375,3.7101197242736816,1,1.1500000171363354,0.25
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,48,4.599419079098587,1.1180453409145368,0,30.12367820739746,3.7073252201080322,1,1.5000000223517418,0.25
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,49,4.811669327340807,1.3537091160690422,0,30.478107452392578,3.7587621212005615,1,1.4000000208616257,0.25
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,50,5.1948346954438716,1.8753911604631488,0,30.142812728881836,3.6228277683258057,1,1.3500000201165676,0.25
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,46,4.33042683223993,0.838207160172085,0,30.22263526916504,3.7263472080230713,1,1.4500000216066837,0.25
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,47,4.684199848832518,1.3267712897661175,0,29.98542308807373,3.7813026905059814,1,1.2500000186264515,0.25
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,48,4.579586147875016,1.1205870993206652,0,30.084674835205078,3.6438510417938232,1,1.5000000223517418,0.25
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,49,4.614653278427965,1.1597640351451455,0,30.289642333984375,3.691741108894348,1,1.5000000223517418,0.25
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,50,5.067054474690387,1.7018112876025542,0,30.13939380645752,3.659665584564209,1,1.3500000201165676,0.25
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,46,4.502544568067035,0.9788867350496604,0,30.123889923095703,3.6653584241867065,1,1.1500000171363354,0.25
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,47,4.725397510281266,1.3900731887883204,0,29.980656623840332,3.735044240951538,1,1.2500000186264515,0.25
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,48,4.600939096258628,1.1202449141500805,0,30.123098373413086,3.708098888397217,1,1.5000000223517418,0.25
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,49,4.789638878930769,1.3280720890157522,0,30.162508010864258,3.6801156997680664,1,1.3000000193715096,0.25
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,50,5.12457127309502,1.7943220624622105,0,30.11897563934326,3.6380674839019775,1,1.3500000201165676,0.25
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,46,4.328666300641161,0.8362612801950774,0,30.222668647766113,3.7281415462493896,1,1.4500000216066837,0.25
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,47,4.724220455669827,1.3886143236243949,0,29.97718620300293,3.7316423654556274,1,1.2500000186264515,0.25
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,48,4.573998740390101,1.1135981441195715,0,30.0850248336792,3.6445376873016357,1,1.5000000223517418,0.25
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,49,4.618637311065786,1.165003137602753,0,30.29362678527832,3.6917985677719116,1,1.5000000223517418,0.25
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,50,5.129878523954626,1.800793579111046,0,30.139253616333008,3.667114734649658,1,1.3500000201165676,0.25
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,46,4.519017475488141,0.9985051398890123,0,30.102749824523926,3.659898281097412,1,1.1500000171363354,0.25
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,47,4.7040878570797044,1.3423906660755125,0,29.98678970336914,3.7673364877700806,1,1.2500000186264515,0.25
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,48,4.666736270751666,1.1798502812780556,0,30.153660774230957,3.6886502504348755,1,1.5000000223517418,0.25
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,49,4.812202290116742,1.354768927495582,0,30.48108959197998,3.7623618841171265,1,1.4000000208616257,0.25
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,50,5.092370344603241,1.7572696851253733,0,30.134830474853516,3.6874181032180786,1,1.3500000201165676,0.25
