split,ego_init_id,rollout,cell_id,target_style,ego_policy,full_horizon,ego_speed_mps,target_speed_mps,ego_target_distance_m,future_valid_steps,response_active,target_start_offset_m
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.272468805884563,9.065896988483848,38.81732225109874,1.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.648882634707832,9.042715073096598,40.85132276091126,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.727781845677662,9.040147781742432,42.849104218831144,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.720145853924832,9.05551052140339,44.80529574227126,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.709336097783281,9.064027786937855,46.737661942186115,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.69959762410401,9.056849480470548,48.66061755573028,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.7787747957824855,9.047685623937403,50.59935097310922,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,5.042656446306435,9.048753739179578,52.55857306845057,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,5.0044249443715,9.055727959583335,54.532168853086695,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.881692664329928,9.058012963413235,56.51132824326358,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.67818553508455,9.054067612860571,58.48899213815126,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.4766383910094705,9.050724984417696,60.46165261880721,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.287166375200496,9.05205726751076,62.42901514427886,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,4.106612874845307,9.055011750681254,64.39110441993381,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,3.925700170973439,9.055360795627116,66.34710752132065,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,3.738536821305336,9.053415300127941,68.2954807896056,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,3.544734369419391,9.050565285551226,70.23531040790832,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,3.344810200303563,9.04601764680449,72.16597641765858,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,3.139681069383611,9.047372861753058,74.08597706865471,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,2.9298054227641246,9.058687234997821,75.99426808387526,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,2.7158118917288814,9.05726415139158,77.89147069755646,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,2.5012385239786328,9.052550979304375,79.77881377384743,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,2.297854920275176,9.05171871186078,81.65296487340687,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,2.0897524906878373,9.054832803675055,83.51707287991682,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,0.4426937087002852,9.056104751244495,85.35264749226604,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,0.0020052616108389514,9.054286082858976,87.09503331912282,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,0.0007118431233256025,9.052561840715725,88.83943575862263,0.0,0.0,0.0
train,1,S0_ADAPTIVE/scenario_uk_give_way_ego_init_01_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,0,0.00021485431598737575,9.053072057362362,90.58616743122458,0.0,0.0,0.0
train,2,S0_ADAPTIVE/scenario_uk_give_way_ego_init_02_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,1,7.01815450760527,7.133131609331357,14.108696543296285,10.0,0.0,0.0
train,2,S0_ADAPTIVE/scenario_uk_give_way_ego_init_02_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,1,6.63274434695581,7.512462231034768,11.431478590616262,10.0,0.0,0.0
train,2,S0_ADAPTIVE/scenario_uk_give_way_ego_init_02_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,1,6.15713642424239,9.750768663177643,8.664749438006075,10.0,0.0,0.0
train,2,S0_ADAPTIVE/scenario_uk_give_way_ego_init_02_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,1,5.427415097961202,9.918355982502666,6.068836753502087,10.0,0.0,0.0
train,2,S0_ADAPTIVE/scenario_uk_give_way_ego_init_02_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,1,1.4366151383432937,9.257408163693363,4.5538890966738,10.0,0.0,0.0
train,2,S0_ADAPTIVE/scenario_uk_give_way_ego_init_02_smpc_var_risk,S0_ADAPTIVE,assertive_constant_speed,adaptive_floor_weak,1,0.004823025594802295,8.703020095837658,4.355943326275044,10.0,0.0,0.0
