model_cell_id,trainable_parameters,history_horizon_s,heldout_rollout_macro_nll_mean,heldout_rollout_macro_nll_seed_sd,per_seed,selection_median_rollout_macro_nll
head-large,1034208,,-2.345012911160787,0.015956549372194935,"{'11': -2.3627282619476317, '23': -2.34054114818573, '37': -2.331769323348999}",1.8459720611572266
mlp-h0p0-large,1035312,0.0,-1.3785492420196535,0.03350140349286707,"{'11': -1.4004987955093384, '23': -1.3951608180999755, '37': -1.339988112449646}",1.8671993017196655
mlp-h0p4-large,1035312,0.4,-1.998978837331136,0.06634178141925354,"{'11': -2.044764542579651, '23': -2.0292741775512697, '37': -1.9228977918624879}",1.8606008291244507
mlp-h1p0-large,1035312,1.0,-2.172197723388672,0.014418496688012917,"{'11': -2.1786667108535767, '23': -2.155677628517151, '37': -2.182248830795288}",1.8590081930160522
transformer-h0p0-large,1026816,0.0,-1.3465480645497638,0.020830908916310974,"{'11': -1.3546938180923462, '23': -1.3228751420974731, '37': -1.3620752334594726}",1.8684505224227905
transformer-h0p4-large,1026816,0.4,-2.045747955640157,0.05813328165701362,"{'11': -2.1107125759124754, '23': -1.9986308574676515, '37': -2.0279004335403443}",1.8602344989776611
transformer-h1p0-large,1026816,1.0,-1.9251868009567261,0.02487266922041261,"{'11': -1.9533939361572266, '23': -1.9064015865325927, '37': -1.9157648801803588}",1.8616470098495483
transformer-h1p0-medium,497840,1.0,-1.8512917836507163,0.07546149970367683,"{'11': -1.9376214504241944, '23': -1.8183655738830566, '37': -1.7978883266448975}",1.8619552850723267
transformer-h1p0-small,167384,1.0,-1.812811001141866,0.09575373676251234,"{'11': -1.7163872718811035, '23': -1.9078803777694702, '37': -1.8141653537750244}",1.8619943857192993
