variant,subset,samples,uncalibrated_macro_nll,calibrated_macro_nll,uncalibrated_coverage_mae,calibrated_coverage_mae,top1_ade_m
B0,all,315,2.1707117557525635,0.5820950865745544,0.05530846491456032,0.406843900680542,1.2987937927246094
B0,response_active,15,2.471771478652954,2.958937883377075,0.15372222661972046,0.4181666672229767,1.7633986473083496
B1,all,315,1.857094407081604,-2.0685722827911377,0.1141074001789093,0.07657831162214279,0.10587570071220398
B1,response_active,15,2.0763132572174072,8.572831153869629,0.10747778415679932,0.44261112809181213,0.9420049786567688
