baseline,baseline_rollout_macro_ADE_m,baseline_rollout_macro_FDE_m,B1_top1_ADE_mean_m,B1_top1_FDE_mean_m,B1_minus_baseline_ADE_m,B1_minus_baseline_FDE_m
CA,1.4104713021256403,3.493258780283123,0.10587570071220398,0.12916770577430725,-1.3045956014134363,-3.3640910745088157
CV,0.6099743852597507,1.2032143883717261,0.10587570071220398,0.12916770577430725,-0.5040986845475467,-1.0740466825974189
train_mean,0.46253327560161955,0.5417002088390628,0.10587570071220398,0.12916770577430725,-0.3566575748894156,-0.41253250306475553
