baseline,split,samples,rollouts,independent_init_groups,sample_micro_ADE_m,rollout_macro_ADE_m,sample_micro_FDE_m,rollout_macro_FDE_m,sample_micro_diagonal_gaussian_NLL_nats_per_step,rollout_macro_diagonal_gaussian_NLL_nats_per_step
CA,test,315,20,5,1.4265746673025825,1.4104713021256403,3.5445288429433033,3.493258780283123,-1.9691647246207256,-1.9752458765506584
CV,test,315,20,5,0.626157674771474,0.6099743852597507,1.2428357893029072,1.2032143883717261,-1.9309577922091907,-1.9477638234148666
train_mean,test,315,20,5,0.4772609458725158,0.46253327560161955,0.5591024571999713,0.5417002088390628,-2.0616696736028293,-2.0877251208530976
