baseline,split,rollout,ego_init_id,cell_id,target_style,response_active,ADE_m,FDE_m,diagonal_gaussian_NLL_nats_per_step
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.0633484966360541,0.08110598984892828,-2.3905139201265198
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.904009972281233,2.431054035337039,-2.3966932244792676
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.30028719566564177,0.3679651498475253,-2.3139040695282977
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.17841733725119902,0.33770048150524085,-2.3884705413170746
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.9569316003536606,2.3598155130361915,-2.35075928859069
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3196208960548593,0.3823509122927992,-2.3071818437881793
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.12164020780774103,0.20218018588217784,-2.3890370583459433
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.20342202560108053,0.6119733084811622,-2.4702033193331947
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3524002364829796,0.4096602017768448,-2.2905613599557957
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.08369253262134257,0.16847403702488453,-2.3991334150926233
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.7985729403158143,2.027719621462986,-2.400715933841603
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3525132217288587,0.41085332037826294,-2.2881622609935652
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.12475717153953829,0.22137339227126757,-2.3925875099165204
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.18982699103956507,0.3903861854751852,-2.4650407704780473
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3291104239600437,0.3917554575844872,-2.2998915425126567
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.007278411866435404,0.011771196429964974,-2.4006542368436588
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.46465388189960655,1.2230994591019213,-2.4547908718752844
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.318914111286957,0.3826351669472046,-2.306095715990656
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,1.9300964944399213,3.706739980819487,-0.889973508834143
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,2.268194224510988,4.584916925926015,-1.365766886713166
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.2250118938249622,0.2670578125098038,-2.3125224689321415
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,1.862879093382126,3.2494714356711243,0.07844854099562948
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.5311063326161011,0.5438300036326656,-1.1601119709851622
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.5049412114498317,0.5684157064830263,-2.2083244054212354
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.5561414861500352,1.1913332614057592,-2.2796758249172124
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,3.62400077537607,9.191336822097094,-0.9567221860936348
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.5601946856875154,0.6042060342199975,-2.1349830868052067
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.9113610879701601,1.6909858076915387,-1.995259764812701
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,1.5568187385431647,3.3675011399317936,-1.8589588079877324
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3772474125611079,0.4398503339186634,-2.26207616595849
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.29548726182944157,0.46603590602920897,-2.2977930978824603
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,2.2493549838569584,6.143939851504756,-1.9929598566183544
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.26602490685649555,0.3428092568477533,-2.3255693459399858
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3364962892862088,0.6552564831256572,-2.3576993875053542
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,2.4694552205100684,6.1992354427030865,-1.699815857703199
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.286699083035267,0.355311660337649,-2.3211480645115357
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.370135965496778,0.6398411882409419,-2.3075764612723964
