baseline,split,samples,rollouts,independent_init_groups,sample_micro_ADE_m,rollout_macro_ADE_m,sample_micro_FDE_m,rollout_macro_FDE_m,sample_micro_diagonal_gaussian_NLL_nats_per_step,rollout_macro_diagonal_gaussian_NLL_nats_per_step
CA,test,15,6,3,3.7129499773651995,3.494400843749584,10.384087154760172,9.760915977377728,-0.9686072860097962,-1.1049913163242704
CV,test,15,6,3,1.5528583773547242,1.4420225536071545,3.8826790903134762,3.6703353792014375,-1.2974185120062596,-1.4633644947485316
train_mean,test,15,6,3,2.5553187713968075,2.3514872451117133,3.138277936184563,2.863329807780279,1.6465163425704676,1.1951925759615234
