baseline,split,target_style,samples,rollouts,independent_init_groups,sample_micro_ADE_m,rollout_macro_ADE_m,sample_micro_FDE_m,rollout_macro_FDE_m,sample_micro_diagonal_gaussian_NLL_nats_per_step,rollout_macro_diagonal_gaussian_NLL_nats_per_step
CA,test,assertive_constant_speed,150,10,5,1.2732719843781395,1.2732719843781397,3.0644402689891224,3.0644402689891224,-2.0279525425889195,-2.0279525425889195
CA,test,defensive_reactive,165,10,5,1.56594074268844,1.5476706198731414,3.980973001083466,3.922077291577125,-1.9157212537405486,-1.922539210512398
CV,test,assertive_constant_speed,150,10,5,0.48427550011546144,0.48427550011546144,0.8947230557203215,0.8947230557203214,-2.0770121364883343,-2.0770121364883343
CV,test,defensive_reactive,165,10,5,0.7551414699133037,0.7356732704040398,1.5593019107416213,1.5117057210231308,-1.7981811155917877,-1.8185155103413995
train_mean,test,assertive_constant_speed,150,10,5,0.35189088406954494,0.3518908840695449,0.41195795330070634,0.41195795330070634,-2.281306406738733,-2.281306406738733
train_mean,test,defensive_reactive,165,10,5,0.5912337293297619,0.5731756671336943,0.6928701880174849,0.6714424643774195,-1.8619999162065528,-1.8941438349674624
