authority,authority_label,predictor,predictor_label,risk,risk_label,init_id,init_speed_mps,start_longitudinal_offset_m,execution_complete,competence_gate_pass,formal_rollout_pass,legacy_target_first_yield,completion_valid,fixed_geometry_outcome,early_conflict_entry,target_cleared_before_entry,never_entered_fixed_zone,footprint_collision,completion_time_s,min_footprint_separation_m,min_center_distance_m,solver_failure_fraction,average_solve_time_s,max_abs_lateral_error_m,completion_lateral_error_m,postcarla_status,postcarla_errors,rows,any_request_rows,post_request_rows,post_applied_rows,bypass_request_rows,bypass_applied_rows,solver_attempt_rows,solver_optimal_rows,actual_command_diff_rows,any_request_frac,post_applied_frac,bypass_applied_frac,solver_optimal_frac,actual_command_diff_frac
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,129,8.289354794742726,-1.8591227838987705,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.4261811700754892,4.815584922822644,0.0,0.0740349810909091,1.2044531660480366,-0.04827923304080594,PASS,,176,127,38,38,31,31,145,145,38,0.7215909090909091,0.2159090909090909,0.17613636363636365,1.0,0.2159090909090909
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,130,8.358482155458335,-1.909616548833755,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.4750214661846064,4.842307589756793,0.0,0.073002885875,1.2005912731552806,-0.03103693416003978,PASS,,176,127,40,40,31,31,145,145,36,0.7215909090909091,0.22727272727272727,0.17613636363636365,1.0,0.20454545454545456
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,131,9.569346946598449,1.297250385425902,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,0.7645185920682691,4.2359792055896675,0.022222222222222223,0.07130680649431818,1.7029787482088181,-0.29112480552584585,PASS,,180,132,58,58,30,30,150,146,58,0.7333333333333333,0.32222222222222224,0.16666666666666666,0.9733333333333334,0.32222222222222224
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,132,9.79084811322419,-2.057787427905799,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,9.00000013411045,1.3668334834263707,4.7352679546808245,0.016574585635359115,0.0731140623033708,1.7602625293927379,-0.30527993365460876,PASS,,181,132,54,54,31,31,150,147,54,0.7292817679558011,0.2983425414364641,0.1712707182320442,0.98,0.2983425414364641
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,133,8.921468652144595,1.315758718031688,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.450000125914812,1.081453614991641,4.514304051202746,0.023529411764705882,0.0705956103313253,1.4913661130184508,-0.23294708942478792,PASS,,170,132,44,44,26,26,144,140,44,0.7764705882352941,0.25882352941176473,0.15294117647058825,0.9722222222222222,0.25882352941176473
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,134,8.07696736440444,-1.3019072300690582,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.700000129640102,1.2916032884782855,4.678406447324882,0.011428571428571429,0.07506488670520232,1.2715303112857157,-0.08450250688284479,PASS,,175,123,39,39,24,24,151,149,39,0.7028571428571428,0.22285714285714286,0.13714285714285715,0.9867549668874173,0.22285714285714286
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,135,8.630610520425076,-0.4060810503853973,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.800000131130219,1.694279601735934,5.020535928567104,0.011299435028248588,0.07424623426285713,1.8222222443634175,-0.3708396429704015,PASS,,177,130,44,44,30,30,147,145,34,0.7344632768361582,0.24858757062146894,0.1694915254237288,0.9863945578231292,0.192090395480226
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,126,9.834648303069205,-1.8254717304050727,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,9.00000013411045,1.3251374204759032,4.701735045838787,0.011049723756906077,0.09395239608938548,1.7687531286043305,-0.2993426725580454,PASS,,181,133,55,55,31,31,150,148,55,0.7348066298342542,0.30386740331491713,0.1712707182320442,0.9866666666666667,0.30386740331491713
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,127,8.160775432779605,1.9981926688404101,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.650000128895044,1.1475687385367341,4.602807887750299,0.005747126436781609,0.08859263512138728,1.4073377950515245,-0.17601729193822066,PASS,,174,132,44,44,30,30,144,143,29,0.7586206896551724,0.25287356321839083,0.1724137931034483,0.9930555555555556,0.16666666666666666
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,128,9.709431408440656,-1.0392541658079462,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,9.00000013411045,1.3637547599043787,4.743009277585885,0.022099447513812154,0.12703668149152542,1.652119513720633,-0.26422194529832066,PASS,,181,133,56,56,31,31,150,146,56,0.7348066298342542,0.30939226519337015,0.1712707182320442,0.9733333333333334,0.30939226519337015
