authority,authority_label,rollouts,independent_initialisation_groups,valid_completions,competence_gate_passes,early_conflict_entries,footprint_collisions,fixed_zone_never_entered,mean_completion_time_s,mean_min_footprint_separation_m,mean_solver_failure_fraction,mean_max_abs_lateral_error_m,min_max_abs_lateral_error_m,max_max_abs_lateral_error_m,total_control_steps,any_request_rows,any_request_fraction,post_action_request_rows,post_action_request_fraction,post_action_applied_rows,post_action_applied_fraction,bypass_request_rows,bypass_request_fraction,bypass_applied_rows,bypass_applied_fraction,solver_attempts,solver_optimal_rows,solver_optimal_fraction,actual_command_difference_rows,actual_command_difference_fraction
on,Authority on,20,5,20,20,0,0,0,8.802500131167472,1.361173997887699,0.008660746554273523,1.438011300196816,1.1743570222138722,1.7687531286043305,3541,2608,0.7365151087263485,924,0.26094323637390565,924,0.26094323637390565,613,0.1731149392826885,613,0.1731149392826885,2928,2897,0.9894125683060109,852,0.240609997175939
off,Authority off,20,5,20,8,12,4,8,7.170000106841326,1.3856800091238388,0.10748992842796642,5.459894642382931,4.661472706711001,6.064638208267037,2888,2607,0.9027008310249307,2438,0.8441828254847645,0,0.0,516,0.1786703601108033,0,0.0,2888,2583,0.8943905817174516,0,0.0
