authority,authority_label,predictor,predictor_label,risk,risk_label,initialisation_groups,competence_gate_passes,valid_completions,early_conflict_entries,footprint_collisions,completion_time_s_mean,min_footprint_separation_m_mean,solver_failure_fraction_mean,average_solve_time_s_mean,max_abs_lateral_error_m_mean,any_request_frac_mean,post_applied_frac_mean,bypass_applied_frac_mean,solver_optimal_frac_mean
on,Authority on,B1,Retrained MultiPath,fixed_medium,Fixed medium,5,5,5,0,0,8.770000130683183,1.3589197506628736,0.008990506053479662,0.07356580932113237,1.426133067561843,0.7393407157543558,0.2591929353635651,0.1711257994103565,0.9891516671468402
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,5,5,5,0,0,8.830000131577254,1.3520147027210172,0.008896079978952906,0.0886562280372319,1.439110588612257,0.7342326102381351,0.25861583873462324,0.17343884783111302,0.9892605106842552
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,5,5,5,0,0,8.780000130832196,1.3775071005341286,0.008977140643161565,0.07093460738987294,1.443093199245342,0.7384011569170422,0.2624622997003857,0.17441450789513557,0.9891420886027789
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,5,5,5,0,0,8.830000131577254,1.3562544376327779,0.007779259541499968,0.09749913003591419,1.443708345367822,0.7342831535010997,0.26186300998169926,0.1734455913680528,0.9906111111111111
off,Authority off,B1,Retrained MultiPath,fixed_medium,Fixed medium,5,2,5,3,1,7.230000107735395,1.4236425092240512,0.10898357552767161,0.08566420496143978,5.420307636108381,0.8961083103637406,0.0,0.0,0.8910164244723283
off,Authority off,B1,Retrained MultiPath,adaptive,Adaptive,5,2,5,3,1,7.080000105500221,1.378132397273287,0.10659061494037694,0.10601210605609086,5.617072046133094,0.9158118321815168,0.0,0.0,0.8934093850596231
off,Authority off,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,5,2,5,3,1,7.210000107437372,1.3664771482286455,0.10648997493734338,0.09597040184468264,5.344446571638915,0.8997322472848788,0.0,0.0,0.8935100250626566
off,Authority off,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,5,2,5,3,1,7.160000106692314,1.3744679817693712,0.10789554830647385,0.10734242135119221,5.457752315651336,0.9069209795997857,0.0,0.0,0.8921044516935261
