model_cell_id,history_horizon_s,trainable_parameters,selection_median_rollout_macro_nll,heldout_rollout_macro_nll_mean,heldout_rollout_macro_nll_seed_sd,seed_11_nll,seed_23_nll,seed_37_nll,evidence_status
head-large,,1034208,4.624917984008789,3.943328189849854,0.0006674471670288078,3.943555450439453,3.9438523292541503,3.942576789855957,retrospective_held_out
mlp-h0p0-large,0.0,1035312,4.5907793045043945,3.927073987325033,0.0008563587256699753,3.927510452270508,3.9260873317718508,3.9276241779327394,retrospective_held_out
mlp-h0p4-large,0.4,1035312,4.580316543579102,3.923324282964071,0.003938390498806065,3.926110553741455,3.9188185214996336,3.9250437736511232,retrospective_held_out
mlp-h1p0-large,1.0,1035312,4.578094482421875,3.9230475743611657,0.0007163233138393457,3.9232402801513673,3.9222546100616453,3.9236478328704836,retrospective_held_out
transformer-h0p0-large,0.0,1026816,4.563243865966797,3.9200677553812664,0.0018113460897964473,3.9191018104553224,3.922157335281372,3.9189441204071045,retrospective_held_out
transformer-h0p4-large,0.4,1026816,4.559441566467285,3.9158212502797447,0.0014595835898484092,3.9142078399658202,3.9162059783935548,3.917049932479858,retrospective_held_out
transformer-h1p0-large,1.0,1026816,4.555816650390625,3.916339747111003,0.000781666810399791,3.9159616947174074,3.9172385692596436,3.915818977355957,retrospective_held_out
transformer-h1p0-medium,1.0,497840,4.556626319885254,3.915355491638184,0.0019270695487161513,3.9162472248077393,3.9166751861572267,3.913144063949585,retrospective_held_out
transformer-h1p0-small,1.0,167384,4.560210227966309,3.9167527516682945,0.0015156542229132648,3.917714500427246,3.915005588531494,3.9175381660461426,retrospective_held_out
