predictor,risk_policy,rollouts,independent_groups,target_styles,evidence_status,completion_time_s,min_footprint_separation_m,footprint_collision_rate,solver_failure_fraction,prediction_fallback_fraction,solver_activity_fraction,supervisor_active_fraction,inloop_prediction_entropy,inloop_top1_ADE_m
B1,fixed_medium,20,10,2,formal_closed_loop,11.502500171400607,1.1333610922985347,0.0,0.015082370112522028,0.07898842768094094,1.0,0.17410746599686283,0.887733598994586,0.26836927661146326
B1,adaptive,20,10,2,formal_closed_loop,11.55750017222017,1.111110405227947,0.0,0.014488779015742286,0.078933750667036,1.0,0.17090294592717695,0.883485620718665,0.25145507176653614
P_star,fixed_medium,20,10,2,formal_closed_loop,11.595000172778963,1.1226237605678795,0.0,0.014627751751382947,0.07840497707002429,1.0,0.1716229778460759,0.9000681892836393,0.23150288355112547
P_star,adaptive,20,10,2,formal_closed_loop,11.337500168941915,1.1271827040540667,0.0,0.014850480614501092,0.08038616409824087,1.0,0.17596554044493107,0.9003867478932536,0.22931534112255117
