model_cell_id,retained_seeds,temperature_mean,covariance_scale_mean,identity_validation_nll_mean,calibrated_validation_nll_mean,fit_groups,heldout_used_for_fit
head-large,3,3.1748021039363983,2.5722163336702906,4.626291977678374,3.9392329752147375,36--40,False
mlp-h0p0-large,3,3.1748021039363983,2.5722163336702906,4.589750934328257,3.9212359107154935,36--40,False
mlp-h0p4-large,3,3.1748021039363983,2.5722163336702906,4.5795142220989895,3.9169501018860076,36--40,False
mlp-h1p0-large,3,3.1748021039363983,2.5722163336702906,4.57761709766612,3.916643409261012,36--40,False
transformer-h0p0-large,3,3.1748021039363983,2.5722163336702906,4.566282189403913,3.9148513179018507,36--40,False
transformer-h0p4-large,3,3.1748021039363983,2.5722163336702906,4.557472325312173,3.910621765557909,36--40,False
transformer-h1p0-large,3,3.1748021039363983,2.5722163336702906,4.556468288920332,3.9115173873155094,36--40,False
transformer-h1p0-medium,3,3.1748021039363983,2.5722163336702906,4.557188920726283,3.9104062999311004,36--40,False
transformer-h1p0-small,3,3.1748021039363983,2.5722163336702906,4.558202508816728,3.91159654919027,36--40,False
