predictor,risk_policy,target_style,ego_init_id,target_clearance_adjusted_completion_delay_s,min_footprint_separation_m,solver_failure_fraction,supervisor_active_fraction,footprint_collision,yield_order_valid,reactive_active_samples,target_offset_m,offset_label,source_batch,source_cell_id
B0,fixed_medium,assertive,46,8.00000011920929,0.9985051398890123,0.01,0.14,0.0,1.0,0,0.0,0,day10_nominal,B0_fixed_medium_assertive
B0,fixed_medium,assertive,47,7.750000115483999,1.3423906660755125,0.0,0.11794871794871795,0.0,1.0,0,0.0,0,day10_nominal,B0_fixed_medium_assertive
B0,fixed_medium,assertive,48,8.900000132620335,1.1798502812780556,0.009174311926605505,0.15137614678899083,0.0,1.0,0,0.0,0,day10_nominal,B0_fixed_medium_assertive
B0,fixed_medium,assertive,49,8.50000012665987,1.354768927495582,0.004784688995215311,0.1339712918660287,0.0,1.0,0,0.0,0,day10_nominal,B0_fixed_medium_assertive
B0,fixed_medium,assertive,50,8.00000011920929,1.7572696851253733,0.005,0.145,0.0,1.0,0,0.0,0,day10_nominal,B0_fixed_medium_assertive
B0,fixed_medium,assertive,46,8.600000128149986,1.3627315889040674,0.019417475728155338,0.10194174757281553,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_assertive_offset_p3
B0,fixed_medium,assertive,47,8.600000128149986,1.9712263829645906,0.014634146341463415,0.07804878048780488,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_assertive_offset_p3
B0,fixed_medium,assertive,48,8.25000012293458,1.370176790247036,0.030303030303030304,0.13636363636363635,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_assertive_offset_p3
B0,fixed_medium,assertive,49,9.050000134855509,1.5351177280861894,0.018691588785046728,0.102803738317757,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_assertive_offset_p3
B0,fixed_medium,assertive,50,12.10000018030405,2.1934152733894607,0.01090909090909091,0.08,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_assertive_offset_p3
B0,fixed_medium,reactive,46,10.800000160932541,0.833643765285866,0.0,0.16423357664233576,0.0,1.0,16,-3.0,m3,day11_shifted,B0_fixed_medium_reactive_offset_m3
B0,fixed_medium,reactive,47,9.200000137090683,1.373765235429552,0.0,0.16597510373443983,0.0,1.0,17,-3.0,m3,day11_shifted,B0_fixed_medium_reactive_offset_m3
B0,fixed_medium,reactive,48,10.55000015720725,1.1151347882304912,0.0,0.17110266159695817,0.0,1.0,9,-3.0,m3,day11_shifted,B0_fixed_medium_reactive_offset_m3
B0,fixed_medium,reactive,49,8.650000128895044,1.1633966090662182,0.0,0.19913419913419914,0.0,1.0,17,-3.0,m3,day11_shifted,B0_fixed_medium_reactive_offset_m3
B0,fixed_medium,reactive,50,10.500000156462193,1.5670601099606838,0.0,0.17228464419475656,0.0,1.0,16,-3.0,m3,day11_shifted,B0_fixed_medium_reactive_offset_m3
B0,fixed_medium,reactive,46,9.55000014230609,0.8390618828096366,0.004132231404958678,0.16115702479338842,0.0,1.0,15,0.0,0,day10_nominal,B0_fixed_medium_reactive
B0,fixed_medium,reactive,47,7.300000108778477,1.1073864239981686,0.0,0.12834224598930483,0.0,1.0,0,0.0,0,day10_nominal,B0_fixed_medium_reactive
B0,fixed_medium,reactive,48,9.400000140070915,1.1184883358607784,0.004201680672268907,0.18067226890756302,0.0,1.0,10,0.0,0,day10_nominal,B0_fixed_medium_reactive
B0,fixed_medium,reactive,49,8.800000131130219,1.1561054928566235,0.004484304932735426,0.15695067264573992,0.0,1.0,9,0.0,0,day10_nominal,B0_fixed_medium_reactive
B0,fixed_medium,reactive,50,10.150000151246786,1.7972736600469343,0.00411522633744856,0.11934156378600823,0.0,1.0,0,0.0,0,day10_nominal,B0_fixed_medium_reactive
B0,fixed_medium,reactive,46,7.400000110268593,1.398731668052346,0.02197802197802198,0.11538461538461539,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_reactive_offset_p3
B0,fixed_medium,reactive,47,8.600000128149986,1.9794918919070927,0.014634146341463415,0.07804878048780488,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_reactive_offset_p3
B0,fixed_medium,reactive,48,8.300000123679638,1.3376157025732864,0.035175879396984924,0.135678391959799,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_reactive_offset_p3
