inference_scope,contrast,metric,left_minus_right_mean,ci95_low,ci95_high,exact_init_cluster_sign_flip_p,condition_pairs,independent_init_groups,holm_adjusted_p_within_scope
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_p3,min_footprint_separation_m,0.3073395615419539,0.1271267801118509,0.49336292530686465,0.125,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_p3,solver_failure_fraction,0.003230825906121274,-0.000606255881855601,0.00706790769409815,0.25,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_p3,supervisor_active_fraction,0.000367794042931481,-0.0091323315962165,0.009867919682079462,1.0,10,5,1.0
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,target_clearance_adjusted_completion_delay_s,-0.09666666810711225,-0.7016666771223148,0.34833333852390447,0.9375,30,5,1.0
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,min_footprint_separation_m,0.04646430824102234,0.005570877169811394,0.08904061464084799,0.125,30,5,1.0
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,solver_failure_fraction,0.0002854481448370872,-0.0011728399910833282,0.0017979591771975368,0.75,30,5,1.0
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,supervisor_active_fraction,0.0007653354118936213,-0.0028556777027921353,0.005834312785978146,1.0,30,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,target_clearance_adjusted_completion_delay_s,-0.02500000037252903,-0.29500000439584256,0.21500000320374965,0.8125,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,min_footprint_separation_m,-0.030140204337182487,-0.07251210969793301,-0.002765340288656204,0.125,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,solver_failure_fraction,0.0,0.0,0.0,1.0,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,supervisor_active_fraction,-0.0008924447357492981,-0.0047260928022580225,0.003028197839516145,0.6875,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,target_clearance_adjusted_completion_delay_s,-0.19000000283122062,-0.37500000558793545,-0.005000000074505806,0.25,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,min_footprint_separation_m,-0.016801721874180643,-0.032408672789222256,-0.0012952437682244966,0.1875,10,5,1.0
