cell_id,predictor,risk_policy,target_style,offset_label,target_offset_m,ego_init_id,completion_time_s,target_clearance_adjusted_completion_delay_s,min_footprint_separation_m,solver_failure_fraction,supervisor_active_fraction,footprint_collision,yield_order_valid,reactive_active_samples
B1_fixed_medium_assertive_offset_m3,B1,fixed_medium,assertive,m3,-3.0,46,12.150000181049109,9.850000146776438,0.8375614685697513,0.0,0.14344262295081966,0.0,1.0,0
B1_fixed_medium_assertive_offset_m3,B1,fixed_medium,assertive,m3,-3.0,47,9.55000014230609,7.200000107288361,0.9105402021446383,0.0,0.16145833333333334,0.0,1.0,0
B1_fixed_medium_assertive_offset_m3,B1,fixed_medium,assertive,m3,-3.0,48,10.800000160932541,8.50000012665987,1.1266536759746595,0.0,0.18433179723502305,0.0,1.0,0
B1_fixed_medium_assertive_offset_m3,B1,fixed_medium,assertive,m3,-3.0,49,10.55000015720725,8.25000012293458,1.1606573750602105,0.0,0.1650943396226415,0.0,1.0,0
B1_fixed_medium_assertive_offset_m3,B1,fixed_medium,assertive,m3,-3.0,50,10.850000161677599,8.550000127404928,1.699625218846003,0.0,0.1651376146788991,0.0,1.0,0
B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,p3,3.0,46,9.80000014603138,8.150000121444464,1.2474763878528858,0.02030456852791878,0.1065989847715736,0.0,1.0,0
B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,p3,3.0,47,9.200000137090683,7.550000112503767,1.8189276859497985,0.016216216216216217,0.08648648648648649,0.0,1.0,0
B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,p3,3.0,48,9.950000148266554,8.350000124424696,1.3501594772096865,0.03,0.135,0.0,1.0,0
B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,p3,3.0,49,10.55000015720725,8.950000133365393,1.5410174992925978,0.018867924528301886,0.10377358490566038,0.0,1.0,0
B1_fixed_medium_assertive_offset_p3,B1,fixed_medium,assertive,p3,3.0,50,10.350000154227018,8.800000131130219,2.301375929388576,0.014423076923076924,0.10576923076923077,0.0,1.0,0
B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,m3,-3.0,46,11.050000164657831,8.200000122189522,0.8137561891071389,0.0,0.20270270270270271,0.0,1.0,16
B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,m3,-3.0,47,10.350000154227018,7.500000111758709,0.9618869950086008,0.0,0.1971153846153846,0.0,1.0,18
B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,m3,-3.0,48,13.15000019595027,10.600000157952309,1.1092748609712701,0.0,0.17045454545454544,0.0,1.0,9
B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,m3,-3.0,49,11.400000169873238,8.550000127404928,1.1527320493977176,0.0,0.20087336244541484,0.0,1.0,17
B1_fixed_medium_reactive_offset_m3,B1,fixed_medium,reactive,m3,-3.0,50,11.950000178068876,9.150000136345625,1.5190175367224694,0.0,0.19166666666666668,0.0,1.0,16
B1_fixed_medium_reactive_offset_p3,B1,fixed_medium,reactive,p3,3.0,46,9.050000134855509,7.400000110268593,1.3758062755631613,0.02197802197802198,0.11538461538461539,0.0,1.0,0
B1_fixed_medium_reactive_offset_p3,B1,fixed_medium,reactive,p3,3.0,47,9.850000146776438,8.200000122189522,1.7131931636604927,0.015151515151515152,0.08080808080808081,0.0,1.0,0
