dataset,model_cell_id,seed,ego_init_id,rollout_id,rollout_macro_nll,top1_ADE,top1_FDE,full_horizon_samples,source_artifact
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,11,44,ego_init_44,-1.0714088864241318,0.3869374358275875,0.6849989252476882,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,11,45,ego_init_45,-0.8977958893499536,0.19719498281055592,0.22241306032672345,62,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,23,41,ego_init_41,-0.8981552707565389,0.2877499001925474,0.48373463425221297,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,23,42,ego_init_42,-0.9775035744306577,0.2841047450042867,0.48116258789547306,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,23,43,ego_init_43,-1.082562085018895,0.28127840438398904,0.522015770174893,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,23,44,ego_init_44,-1.0967133815177919,0.384359518532387,0.6847098351613297,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,23,45,ego_init_45,-0.8984843809103674,0.19517919397063105,0.22613677686628153,62,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,37,41,ego_init_41,-0.8472385607875127,0.29210164702240987,0.49013967997891467,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,37,42,ego_init_42,-0.8465919302889591,0.29041855726809424,0.4882252457739673,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,37,43,ego_init_43,-1.0768042287857291,0.28371892991681763,0.5235883231068333,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,37,44,ego_init_44,-1.026084166983219,0.3889322317931453,0.6852203398262836,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p0-large,37,45,ego_init_45,-0.9143264003083743,0.19546068546792975,0.2208208539367789,62,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p0-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,11,41,ego_init_41,-1.712363267885845,0.2258439999374215,0.42953549368798694,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,11,42,ego_init_42,-1.7447859387234819,0.22753527143658428,0.42682113981505837,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s11__data100/full_horizon_metrics.json
