variant,seeds,trainable_parameters,trainable_parameter_ratio_vs_B1,median_validation_rollout_macro_NLL,min_validation_rollout_macro_NLL,max_validation_rollout_macro_NLL,seed_range_validation_rollout_macro_NLL,median_validation_top1_ADE_m,median_latency_ms_per_sample,runs_best_at_epoch_budget_boundary
B1,3,1034208,1.0,1.8605518341064453,1.8603261709213257,1.8608615398406982,0.0005353689193725586,0.11508596688508987,16.715906868957305,3
B2-D,3,176096,0.17027135740586033,1.8727439641952515,1.8719608783721924,1.8728382587432861,0.00087738037109375,0.2627864181995392,18.370934836337902,2
B2-M,3,77600,0.0750332621677651,2.0255308151245117,1.9970422983169556,2.0287201404571533,0.031677842140197754,1.062926173210144,18.046522158786562,1
T1,3,86688,0.08382066276803118,2.0088319778442383,2.002960443496704,2.023714542388916,0.020754098892211914,0.9651916027069092,16.805803574667387,2
T2,3,165728,0.16024629474921873,1.8778938055038452,1.8772691488265991,1.878930687904358,0.001661539077758789,0.2854841947555542,17.99482312853351,2
