scenario,initial,policy,bucket,clearance_phase,n_steps,sim_time_start_s,sim_time_end_s,ego_dconf_min,ego_dconf_mean,ego_dconf_max,target_dconf_mean,supervisor_active_frac,hard_stop_override_frac,rolling_caution_frac,emergency_brake_frac,final_control_overridden_frac,solver_failure_frac,solver_uses_adaptive_risk_frac,solver_risk_mode,risk_tightening_mean,risk_tightening_min,risk_tightening_max,risk_target_prob_mean,diagnostic_risk_tightening_mean,raw_tightening_before_floor_mean,preclearance_floor_active_frac,preclearance_floor_applied_frac,effective_severity_mean,raw_severity_mean,nominal_accel_mean,final_accel_mean,accel_override_delta_mean,current_center_distance_min,policy_min_footprint_separation,policy_min_center_distance,policy_yield_ok
scenario_uk_give_way,46,smpc_fixed_risk,approach,pre_clearance,1,158.37956122681499,158.37956122681499,15.263958737467059,15.263958737467059,15.263958737467059,16.85577286198899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-4.584656741002391e-05,-0.6586964415191938,-0.6586505949517838,30.64582241551954,0.8220087663268131,4.331084628141131,True
scenario_uk_give_way,46,smpc_fixed_risk,critical,pre_clearance,32,158.42956122756004,159.97956125065684,5.00798307120886,9.256120864863702,14.845765690639421,9.953616238839933,0.59375,0.59375,0.0,0.0,0.59375,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258967,1.6400000000000003,,0.0,0.0,,,1.5950888040869415,-4.810676717035377,-6.405765521122321,7.350579912913657,0.8220087663268136,4.331084628141128,True
scenario_uk_give_way,46,smpc_fixed_risk,near,pre_clearance,19,160.0295612514019,160.92956126481295,4.271106221805857,4.473568244454586,4.943455295030629,-1.2479718014535373,0.8421052631578947,0.8421052631578947,0.0,0.3157894736842105,0.8421052631578947,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258963,1.6400000000000003,,0.0,0.0,,,-0.18947368526308322,-2.2483449268401197,-2.058871241577036,4.331084641054681,0.8220087663268135,4.331084628141129,True
scenario_uk_give_way,46,smpc_fixed_risk,near,post_clearance,212,160.979561265558,171.52956142276525,-23.175304884426026,-11.19761605617096,4.271106221805857,-53.50916721721628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.6399999999999917,1.64,1.64,0.949497416525899,1.6399999999999917,,0.0,0.0,,,-0.019794177091086627,-0.2770712498869804,-0.2572770727958939,5.928429132582848,0.8220087663268116,4.331084628141152,True
scenario_uk_give_way,46,smpc_fixed_risk,unknown,pre_clearance,1,158.32956122606993,158.32956122606993,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.46228204075170254,-0.3593685286348085,0.10291351211689403,31.483130420349752,0.8220087663268131,4.331084628141131,True
scenario_uk_give_way,47,smpc_fixed_risk,approach,pre_clearance,4,186.29907666146755,186.44907666370273,15.294408419483904,15.8780838892866,16.462186856866335,16.352593084541795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.000345571571203962,-0.6990555612730192,-0.6987099897018152,29.67323275029195,1.6366929927543665,4.889272078083786,True
scenario_uk_give_way,47,smpc_fixed_risk,critical,pre_clearance,39,186.49907666444778,188.39907669276,5.026571857199102,8.742391205776297,14.904612549256562,7.28329716634674,0.5897435897435898,0.5897435897435898,0.0,0.0,0.5897435897435898,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258964,1.6400000000000003,,0.0,0.0,,,1.252331455850085,-3.456191778017694,-4.708523233867778,5.144417497125821,1.6366929927543679,4.88927207808379,True
scenario_uk_give_way,47,smpc_fixed_risk,near,pre_clearance,9,188.44907669350505,188.8490766994655,4.581029338081793,4.778978904117036,4.976775526303248,-3.31863826457749,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,fixed_static,1.6400000000000001,1.64,1.64,0.9494974165258964,1.6400000000000001,,0.0,0.0,,,-0.40000000222187615,0.18561722220092475,0.5856172244228008,4.889272068046912,1.6366929927543663,4.889272078083786,True
scenario_uk_give_way,47,smpc_fixed_risk,near,post_clearance,174,188.89907670021057,197.54907682910562,-23.511074849498232,-9.890960084179707,4.531791011407172,-44.75933809570564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.6399999999999928,1.64,1.64,0.9494974165258986,1.6399999999999928,,0.0,0.0,,,-0.03221209060362538,-0.15532192722907442,-0.12310983662544911,5.961379240589645,1.6366929927543712,4.889272078083772,True
scenario_uk_give_way,47,smpc_fixed_risk,unknown,pre_clearance,1,186.2490766607225,186.2490766607225,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.3184069699420533,-0.01840664642244244,0.30000032351961087,32.9009842982804,1.6366929927543665,4.889272078083786,True
