model_cell_id,trainable_parameters,history_horizon_s,heldout_rollout_macro_nll_mean,heldout_rollout_macro_nll_seed_sd,per_seed,selection_median_rollout_macro_nll
head-large,1034208,,3.943328189849854,0.0006674471670288078,"{'11': 3.943555450439453, '23': 3.9438523292541503, '37': 3.942576789855957}",4.624917984008789
mlp-h0p0-large,1035312,0.0,3.927073987325033,0.0008563587256699753,"{'11': 3.927510452270508, '23': 3.9260873317718508, '37': 3.9276241779327394}",4.5907793045043945
mlp-h0p4-large,1035312,0.4,3.923324282964071,0.003938390498806065,"{'11': 3.926110553741455, '23': 3.9188185214996336, '37': 3.9250437736511232}",4.580316543579102
mlp-h1p0-large,1035312,1.0,3.9230475743611657,0.0007163233138393457,"{'11': 3.9232402801513673, '23': 3.9222546100616453, '37': 3.9236478328704836}",4.578094482421875
transformer-h0p0-large,1026816,0.0,3.9200677553812664,0.0018113460897964473,"{'11': 3.9191018104553224, '23': 3.922157335281372, '37': 3.9189441204071045}",4.563243865966797
transformer-h0p4-large,1026816,0.4,3.9158212502797447,0.0014595835898484092,"{'11': 3.9142078399658202, '23': 3.9162059783935548, '37': 3.917049932479858}",4.559441566467285
transformer-h1p0-large,1026816,1.0,3.916339747111003,0.000781666810399791,"{'11': 3.9159616947174074, '23': 3.9172385692596436, '37': 3.915818977355957}",4.555816650390625
transformer-h1p0-medium,497840,1.0,3.915355491638184,0.0019270695487161513,"{'11': 3.9162472248077393, '23': 3.9166751861572267, '37': 3.913144063949585}",4.556626319885254
transformer-h1p0-small,167384,1.0,3.9167527516682945,0.0015156542229132648,"{'11': 3.917714500427246, '23': 3.915005588531494, '37': 3.9175381660461426}",4.560210227966309
