supervisor_mode,policy,n_rollouts,first_stop_distance_to_conflict_m,waiting_time_after_first_stop_s,delay_after_target_clearance_s,supervisor_active_fraction,infeasible_fraction,mean_abs_final_minus_nominal_accel
full,fixed-risk,5,8.403024836825361,8.040000000000001,3.72,0.22167696994046374,0.0,1.9745782376408265
full,adaptive-risk,5,8.402377913281759,8.120000000000001,3.72,0.22257820583632879,0.0,1.9638778226889633
reduced,fixed-risk,5,5.262842667846,4.2,1.4400000000000002,0.17048563437579456,0.00831087380286465,1.3014992770564973
reduced,adaptive-risk,5,5.262843215359215,4.16,1.4000000000000004,0.17283068301155702,0.008368572167707772,1.2610052833336982
