difficulty,arm,risk_owned_yield_enabled_frac,yield_active_frac,yield_applied_frac,direct_takeover_frac,hard_stop_frac,emergency_brake_active_frac
arrival_offset_m3p0,smpc_adaptive_floor_weak,0.995575221238938,0.16371681415929204,0.16371681415929204,0.16371681415929204,0.16371681415929204,0.0
arrival_offset_m3p0,smpc_fixed_aggressive,0.9953051643192489,0.17370892018779344,0.17370892018779344,0.17370892018779344,0.17370892018779344,0.0
arrival_offset_m3p0,smpc_fixed_conservative,0.9953051643192489,0.17370892018779344,0.17370892018779344,0.17370892018779344,0.17370892018779344,0.0
arrival_offset_m3p0,smpc_fixed_medium,0.9953051643192489,0.17370892018779344,0.17370892018779344,0.17370892018779344,0.17370892018779344,0.0
arrival_offset_p0p0,smpc_adaptive_floor_weak,0.9952380952380953,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
arrival_offset_p0p0,smpc_fixed_aggressive,0.9951219512195122,0.14634146341463414,0.14634146341463414,0.14634146341463414,0.14634146341463414,0.0
arrival_offset_p0p0,smpc_fixed_conservative,0.9951923076923077,0.14423076923076922,0.14423076923076922,0.14423076923076922,0.14423076923076922,0.0
arrival_offset_p0p0,smpc_fixed_medium,0.9952153110047847,0.14354066985645933,0.14354066985645933,0.14354066985645933,0.14354066985645933,0.0
arrival_offset_p3p0,smpc_adaptive_floor_weak,0.9956521739130435,0.10434782608695652,0.10434782608695652,0.10434782608695652,0.10434782608695652,0.0
arrival_offset_p3p0,smpc_fixed_aggressive,0.9959677419354839,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0
arrival_offset_p3p0,smpc_fixed_conservative,0.9953271028037384,0.11214953271028037,0.11214953271028037,0.11214953271028037,0.11214953271028037,0.0
arrival_offset_p3p0,smpc_fixed_medium,0.9949494949494949,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.0
