predictor,predictor_label,risk_policy,risk_label,initialization_groups,completed,yield_compliant,footprint_collisions,completion_time_s_mean,completion_time_s_ci_low,completion_time_s_ci_high,min_footprint_separation_m_mean,min_footprint_separation_m_ci_low,min_footprint_separation_m_ci_high,solver_failure_fraction_mean,solver_failure_fraction_ci_low,solver_failure_fraction_ci_high,average_solve_time_s_mean,average_solve_time_s_ci_low,average_solve_time_s_ci_high,mode_entropy_nats_mean,mode_entropy_nats_ci_low,mode_entropy_nats_ci_high,top_mode_probability_mean,top_mode_probability_ci_low,top_mode_probability_ci_high,post_solver_action_applied_fraction_mean,post_solver_action_applied_fraction_ci_low,post_solver_action_applied_fraction_ci_high,effective_smpc_bypass_fraction_mean,effective_smpc_bypass_fraction_ci_low,effective_smpc_bypass_fraction_ci_high
B1,Retrained MultiPath,fixed_medium,Fixed medium,10,10,10,0,8.77500013075769,8.670000129193067,8.875000132247806,1.2993287334014867,1.1475997414508579,1.436530710523435,0.013000675634650554,0.007815397948302508,0.01809044045402213,0.07321566467027354,0.07229182375973935,0.07406973801533899,0.8833988162370858,0.8823908472085283,0.8844247696096763,0.6388130029550392,0.6380995356753754,0.6395266043751987,0.2646797683366888,0.2408263758508026,0.2896945950980059,0.16531419409876677,0.15723871564181288,0.17197348784768338
B1,Retrained MultiPath,adaptive,Adaptive,10,10,10,0,8.795000131055712,8.690000129491091,8.890000132471323,1.2925263016431254,1.1310782523419118,1.4405805230253017,0.011806290907221304,0.006755559266371657,0.01668666424310397,0.09134990471959457,0.08770449673972064,0.0965613019400307,0.8832051470964558,0.8822717688066556,0.884221068174609,0.6389686102246359,0.6382595659607354,0.6396386769465652,0.2595678483924966,0.23993843313320226,0.2796519281058866,0.16664468644215297,0.15859231555470427,0.17259986355991658
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,10,10,10,0,8.77500013075769,8.675000129267573,8.865000132098794,1.3250430449364115,1.1521076895516804,1.484635517812947,0.011843537167076043,0.006764655039512374,0.016817156449478406,0.07417689407448971,0.07180156540721658,0.07663706672477734,0.9034974358305435,0.9028062163107831,0.9042018404463341,0.6233212150666279,0.6227280028414022,0.623899979212331,0.2642708877792628,0.24397904109119245,0.2853844709487472,0.1670536987401741,0.15886212132285152,0.1732834462791663
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,10,10,10,0,8.790000130981207,8.68000012934208,8.895000132545828,1.301697542032428,1.139996040701107,1.4495506620197525,0.010091352884237804,0.0050845165652467885,0.015103688928044128,0.09511195841893852,0.09039838421123032,0.1027528692383402,0.9034369240131012,0.9026408328486865,0.9042481647832241,0.62337204411693,0.6227143906565846,0.6240294192248567,0.26133400873006735,0.23909889974798698,0.28455295477156783,0.1667443602137045,0.15898892312991286,0.17274602900552488
