predictor,predictor_label,risk_policy,risk_label,target_style,supervisor_authority,init_id,completion_time_s,min_footprint_separation_m,min_center_distance_m,completion_valid,yield_compliant,footprint_collision,solver_failure_fraction,average_solve_time_s,mode_entropy_nats,top_mode_probability,tightening_mean,tightening_min,tightening_max,target_probability_mean,debug_steps,any_supervisor_request,any_supervisor_application,post_solver_action_requested,post_solver_action_applied,effective_smpc_bypass,solver_debug_rows,weighted_objective_rows,solver_success_rows,solver_non_success_rows,solver_non_success_without_valid_prediction,solver_non_success_action_replaced,solver_non_success_observed_caution,solver_non_success_clear_path_release,prediction_valid_steps,post_solver_action_applied_fraction,effective_smpc_bypass_fraction
B1,Retrained MultiPath,adaptive,Adaptive,assertive_constant_speed,on,131,8.950000133365393,0.7455907828624309,4.220365894514755,1,1,0,0.022222222222222223,0.11151972314772728,0.8821055020952308,0.6398538233895334,1.3571590945366128,1.2815515655446004,1.78,0.9095282712191187,180,179,179,55,55,30,150,150,146,4,4,4,4,0,162,0.3055555555555556,0.16666666666666666
B1,Retrained MultiPath,adaptive,Adaptive,assertive_constant_speed,on,132,8.950000133365393,1.3773727691776252,4.744709717220137,1,1,0,0.016666666666666666,0.08460100550282487,0.881713361540761,0.6399914083445055,1.3584353750071316,1.2815515655446004,1.78,0.9097601757433048,180,178,178,52,52,31,149,149,146,3,3,3,3,0,162,0.28888888888888886,0.17222222222222222
B1,Retrained MultiPath,adaptive,Adaptive,assertive_constant_speed,on,133,8.450000125914812,1.0828781480350254,4.515542052832983,1,1,0,0.01764705882352941,0.0939891128502994,0.8864649334250899,0.6367927493515965,1.3614897600645566,1.2815515655446004,1.78,0.9101002694637973,170,169,169,41,41,26,144,144,141,3,3,3,3,0,152,0.2411764705882353,0.15294117647058825
B1,Retrained MultiPath,adaptive,Adaptive,assertive_constant_speed,on,134,8.650000128895044,1.2665197298226514,4.660783486583297,1,1,0,0.005747126436781609,0.0874332495317919,0.8845846370768559,0.6378510622233191,1.3544339693043124,1.2815515655446004,1.78,0.9094100841780011,174,164,164,38,38,24,150,150,149,1,0,1,0,1,156,0.21839080459770116,0.13793103448275862
B1,Retrained MultiPath,adaptive,Adaptive,assertive_constant_speed,on,135,8.800000131130219,1.6928280729284364,5.019018858309679,1,1,0,0.011299435028248588,0.09267481597714286,0.8829541660680397,0.6391936026101023,1.356296023482057,1.2815515655446004,1.78,0.9095122193556736,177,174,174,44,44,30,147,147,145,2,2,2,2,0,159,0.24858757062146894,0.1694915254237288
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,126,8.950000133365393,1.3015031311260103,4.6824014649192005,1,1,0,0.016666666666666666,0.07398021530508475,0.9020829016074587,0.6244329446954578,1.6400000000000001,1.64,1.64,0.9494974165258964,180,179,179,52,52,31,149,149,146,3,3,3,3,0,162,0.28888888888888886,0.17222222222222222
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,127,8.650000128895044,1.193644910327044,4.644440384667352,1,1,0,0.005747126436781609,0.07216542350867051,0.904656685540169,0.6223593678429605,1.64,1.64,1.64,0.9494974165258966,174,173,173,46,46,30,144,144,143,1,1,1,1,0,156,0.26436781609195403,0.1724137931034483
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,128,8.850000131875277,1.3618583027813442,4.7411582675777,1,1,0,0.02247191011235955,0.06860331638505747,0.9024814391716806,0.6242199837907981,1.6400000000000001,1.64,1.64,0.9494974165258963,178,177,177,56,56,31,147,147,143,4,4,4,4,0,160,0.3146067415730337,0.17415730337078653
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,129,8.75000013038516,1.4684477735838481,4.839222195200503,1,1,0,0.0,0.0695121346534091,0.9035368114180203,0.623209192563133,1.6399999999999997,1.64,1.64,0.9494974165258966,176,169,169,39,39,31,145,145,145,0,0,0,0,0,158,0.2215909090909091,0.17613636363636365
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,130,8.700000129640102,1.5620813848523964,4.903023955115889,1,1,0,0.0,0.07041194709714287,0.9044293178569336,0.6224445171383672,1.6399999999999997,1.64,1.64,0.9494974165258966,175,168,168,39,39,31,144,144,144,0,0,0,0,0,157,0.22285714285714286,0.17714285714285713
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,131,8.950000133365393,0.7412176342978146,4.216651524133061,1,1,0,0.022222222222222223,0.07851753323863636,0.902087661667384,0.6245488302777553,1.6400000000000001,1.64,1.64,0.9494974165258964,180,179,179,56,56,30,150,150,146,4,4,4,4,0,162,0.3111111111111111,0.16666666666666666
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,132,8.950000133365393,1.3692462981742801,4.737302544731289,1,1,0,0.016666666666666666,0.07425342655367231,0.9024425780909133,0.624140168779513,1.6400000000000001,1.64,1.64,0.9494974165258964,180,178,178,52,52,31,149,149,146,3,3,3,3,0,162,0.28888888888888886,0.17222222222222222
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,133,8.450000125914812,1.0814310948605366,4.514286615600707,1,1,0,0.01764705882352941,0.07887703748502993,0.90535911800801,0.6219491084191983,1.6400000000000001,1.64,1.64,0.9494974165258965,170,169,169,44,44,26,144,144,141,3,3,3,3,0,152,0.25882352941176473,0.15294117647058825
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,134,8.700000129640102,1.3783450247195186,4.732503784002719,1,1,0,0.005714285714285714,0.08054740668390803,0.9045282805213398,0.6223078107218155,1.6399999999999997,1.64,1.64,0.9494974165258966,175,165,165,41,41,24,151,151,150,1,0,1,0,1,157,0.2342857142857143,0.13714285714285715
P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,135,8.800000131130219,1.7926548946413217,5.096169242907964,1,1,0,0.011299435028248588,0.0749004998342857,0.9033695644235264,0.62360022643728,1.6399999999999997,1.64,1.64,0.9494974165258966,177,174,174,42,42,30,147,147,145,2,2,2,2,0,159,0.23728813559322035,0.1694915254237288
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,126,9.00000013411045,1.3251374204759032,4.701735045838787,1,1,0,0.011049723756906077,0.09395239608938548,0.9019325522619852,0.6245374136945552,1.3582622912346993,1.2815515655446004,1.78,0.9097258143330104,181,180,180,55,55,31,150,150,148,2,2,2,2,0,163,0.30386740331491713,0.1712707182320442
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,127,8.650000128895044,1.1475687385367341,4.602807887750299,1,1,0,0.005747126436781609,0.08859263512138728,0.9046855145821923,0.6223855343970883,1.3589798601994023,1.2815515655446004,1.78,0.9098015386181785,174,173,173,44,44,30,144,144,143,1,1,1,1,0,156,0.25287356321839083,0.1724137931034483
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,128,9.00000013411045,1.3637547599043787,4.743009277585885,1,1,0,0.022099447513812154,0.12703668149152542,0.9019771711524441,0.6246040701859231,1.3587066304591333,1.2815515655446004,1.78,0.9097641068556845,181,180,180,56,56,31,150,150,146,4,4,4,4,0,163,0.30939226519337015,0.1712707182320442
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,129,8.75000013038516,1.4569850414885408,4.832650914005658,1,1,0,0.0,0.09014142421022728,0.903864874943214,0.6228803659814705,1.3578534036758139,1.2815515655446004,1.78,0.9097888171908715,176,169,169,38,38,31,145,145,145,0,0,0,0,0,158,0.2159090909090909,0.17613636363636365
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,130,8.75000013038516,1.4878262277583327,4.856314067939074,1,1,0,0.0,0.08777251326704547,0.9036841987587443,0.6231328716336589,1.3578765161248445,1.2815515655446004,1.78,0.9097908880304675,176,169,169,40,40,31,145,145,145,0,0,0,0,0,158,0.22727272727272727,0.17613636363636365
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,131,8.950000133365393,0.75127529528125,4.2250121519769,1,1,0,0.022222222222222223,0.09317632985227274,0.9019108463376191,0.6247007527749361,1.3571656217557704,1.2815515655446004,1.78,0.9095288393670575,180,179,179,56,56,30,150,150,146,4,4,4,4,0,162,0.3111111111111111,0.16666666666666666
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,132,8.950000133365393,1.3680418237866847,4.736313539470256,1,1,0,0.016666666666666666,0.09143255056497175,0.9021110943183107,0.6244696314103226,1.3584363326921383,1.2815515655446004,1.78,0.9097602601582732,180,178,178,53,53,31,149,149,146,3,3,3,3,0,162,0.29444444444444445,0.17222222222222222
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,133,8.450000125914812,1.0814929415913344,4.51437332156313,1,1,0,0.011764705882352941,0.08987456901785715,0.9055496333133332,0.6218016127320884,1.3614874303602236,1.2815515655446004,1.78,0.9101000648223398,170,169,169,42,42,26,144,144,142,2,2,2,2,0,152,0.24705882352941178,0.15294117647058825
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,134,8.650000128895044,1.3035358711239378,4.678886780984442,1,1,0,0.0,0.09416250851149426,0.9048507611632878,0.6220325589500553,1.3547815967237056,1.2815515655446004,1.78,0.909439921652442,174,164,164,39,39,24,150,150,150,0,0,0,0,0,156,0.22413793103448276,0.13793103448275862
P_star,Transformer-adapted MultiPath,adaptive,Adaptive,assertive_constant_speed,on,135,8.75000013038516,1.7313573003771845,5.04652042329347,1,1,0,0.011363636363636364,0.09497797606321838,0.9038025932998817,0.6231756294092016,1.3567658053563292,1.2815515655446004,1.78,0.9095721326210859,176,173,173,40,40,30,146,146,144,2,2,2,2,0,158,0.22727272727272727,0.17045454545454544
