baseline,aggregation_level,independent_paired_init_groups,B1_top1_ADE_m,baseline_ADE_m,mean_B1_minus_baseline_ADE_m,B1_ADE_better_init_count,B1_top1_FDE_m,baseline_FDE_m,mean_B1_minus_baseline_FDE_m,B1_FDE_better_init_count,nll_comparison
CA,held_out_init_group_macro,5,0.10423582717776299,1.4217749222308784,-1.3175390950531154,5,0.126924467086792,3.5288954714124365,-3.4019710043256444,5,not_reported: physical-baseline diagonal-Gaussian NLL and MultiPath mixture NLL are not the same estimand
CV,held_out_init_group_macro,5,0.10423582717776299,0.6208598913167909,-0.5166240641390278,5,0.126924467086792,1.229828784968499,-1.1029043178817068,5,not_reported: physical-baseline diagonal-Gaussian NLL and MultiPath mixture NLL are not the same estimand
train_mean,held_out_init_group_macro,5,0.10423582717776299,0.4723666788554956,-0.36813085167773263,5,0.126924467086792,0.5532982805527495,-0.4263738134659576,5,not_reported: physical-baseline diagonal-Gaussian NLL and MultiPath mixture NLL are not the same estimand
