cell_id,predictor,risk_policy,target_style,supervisor_authority_mode,ego_init_id,scenario_dir,debug_steps,failure_penalized_completion_time_s,completion_success,yield_rule_failure,trajectory_inferred_yield_rule_failure,minimum_margin_adjusted_bbox_separation_m,native_collision_any,physical_bbox_overlap_any,margin_adjusted_bbox_violation_any,adverse_collision_any,factual_solver_attempt_count,attempted_controller_accepted_count,attempted_fallback_or_nonaccepted_count,attempted_controller_accepted_fraction,attempted_fallback_or_nonaccepted_fraction,factual_solver_return_status_missing_count,factual_solver_return_status_counts_json,ego_policy_active_sample_count,ego_policy_all_invocation_count,ego_policy_wall_time_nonfinite_count,ego_policy_wall_time_exception_count,prediction_active_sample_count,prediction_all_invocation_count,prediction_wall_time_nonfinite_count,prediction_wall_time_exception_count,ego_policy_wall_time_p50_ms,ego_policy_wall_time_p95_ms,ego_policy_wall_time_p99_ms,ego_policy_wall_time_over_50ms_fraction,ego_policy_wall_time_over_200ms_fraction,ego_policy_wall_time_over_500ms_fraction,prediction_wall_time_p50_ms,prediction_wall_time_p95_ms,prediction_wall_time_p99_ms,supervisor_candidate_requested_fraction,supervisor_authority_applied_fraction,supervisor_any_channel_requested_fraction,upstream_reference_requested_fraction,upstream_heading_cost_requested_fraction,upstream_reference_linearization_requested_fraction,rule_smpc_bypass_requested_fraction,rule_smpc_bypass_applied_fraction,rule_smpc_bypass_requested_count,rule_smpc_bypass_applied_count,factual_solver_attempted_fraction,upstream_reference_states_max_abs_delta_mean,upstream_reference_inputs_max_abs_delta_mean,upstream_heading_cost_max_abs_weight_mean,upstream_linearization_states_max_abs_delta_mean,candidate_minus_nominal_accel_mean_mps2,candidate_minus_nominal_accel_abs_mean_mps2,actual_minus_nominal_accel_mean_mps2,actual_minus_nominal_accel_abs_mean_mps2,yield_entry_step,first_sustained_stop_step,nominal_conflict_clear_step,actual_path_release_step,buffered_conflict_clear_step,sustained_resume_step,cautious_approach_progress_m,first_stop_distance_to_conflict_m,first_stop_distance_to_designed_stop_m,stopped_duration_s,nominal_conflict_clear_to_actual_path_release_s,actual_path_release_to_sustained_resume_s,buffered_conflict_clear_to_sustained_resume_s
SF4_B1_adaptive_reactive_supervisor_off,B1,adaptive,reactive,off,107,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_adaptive_reactive_supervisor_off/scenario_uk_give_way_ego_init_107_smpc_var_risk,38,30.0,0,1,1,0.0,1,1,1,1,38,18,20,0.47368421052631576,0.5263157894736843,0,"{""INF_OR_UNBD"":20,""OPTIMAL"":18}",38,38,0,0,38,38,0,0,90.47218784689903,318.49392093718046,356.44936371594673,0.868421052631579,0.18421052631578946,0.0,194.5557314902544,379.2256500571966,403.86548705399036,0.7631578947368421,0.0,0.9736842105263158,0.9736842105263158,0.0,0.9736842105263158,0.5263157894736842,0.0,20,0,1.0,5.097447772140145,2.39894058666894,0.0,5.817704801541585,-3.0805512908371044,3.0805512908371044,0.0,0.0,9,,,,,,,,,,,,
SF4_B1_fixed_medium_reactive_supervisor_off,B1,fixed_medium,reactive,off,107,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_fixed_medium_reactive_supervisor_off/scenario_uk_give_way_ego_init_107_smpc_fixed_risk,38,30.0,0,1,1,0.0,1,1,1,1,38,18,20,0.47368421052631576,0.5263157894736843,0,"{""INF_OR_UNBD"":20,""OPTIMAL"":18}",38,38,0,0,38,38,0,0,84.8888698965311,316.32203906774515,343.28101757913834,0.9736842105263158,0.18421052631578946,0.0,237.09453083574772,350.09786300361156,376.89957883209,0.7631578947368421,0.0,0.9736842105263158,0.9736842105263158,0.0,0.9736842105263158,0.5263157894736842,0.0,20,0,1.0,5.0979215534227365,2.39894058667351,0.0,5.819153126307928,-3.084314650964642,3.084314650964642,0.0,0.0,9,,,,,,,,,,,,
SF4_B1_adaptive_assertive_supervisor_on,B1,adaptive,assertive,on,107,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_adaptive_assertive_supervisor_on/scenario_uk_give_way_ego_init_107_smpc_var_risk,196,9.8,1,0,0,1.494355528517931,0,0,0,0,168,166,2,0.9880952380952381,0.011904761904761862,0,"{""INF_OR_UNBD"":2,""OPTIMAL"":166}",196,217,0,0,196,217,0,0,140.14991745352745,329.454118385911,466.2119584158075,0.8877551020408163,0.28061224489795916,0.01020408163265306,201.73186995089054,302.3308599367738,324.32598285377054,0.19387755102040816,0.19387755102040816,0.6785714285714286,0.41836734693877553,0.0,0.673469387755102,0.14285714285714285,0.14285714285714285,28,28,0.8571428571428571,0.9786135891752622,0.39726058769682365,0.0,1.026693936674906,-0.47414939543949586,0.5431192218589438,-0.47414939543949586,0.5431192218589438,11,,44,44,47,45,,,,,0.0,0.05,
SF4_B1_fixed_medium_assertive_supervisor_on,B1,fixed_medium,assertive,on,107,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_fixed_medium_assertive_supervisor_on/scenario_uk_give_way_ego_init_107_smpc_fixed_risk,218,10.9,1,0,0,1.4208190316298892,0,0,0,0,187,185,2,0.9893048128342246,0.010695187165775444,0,"{""INF_OR_UNBD"":2,""OPTIMAL"":185}",218,239,0,0,218,239,0,0,127.51691043376923,331.78138732910156,401.93412080407137,0.8944954128440367,0.2706422018348624,0.0045871559633027525,210.12301743030548,307.5652262195944,396.37144017964573,0.2018348623853211,0.2018348623853211,0.6100917431192661,0.3761467889908257,0.0,0.6055045871559633,0.14220183486238533,0.14220183486238533,31,31,0.8577981651376146,0.944223886361924,0.35484335560484076,0.0,0.9124692053085502,-0.45414691968332005,0.5111760499518636,-0.45414691968332005,0.5111760499518636,11,,44,44,47,52,,,,,0.0,0.4,0.25
SF4_B1_fixed_medium_assertive_supervisor_off,B1,fixed_medium,assertive,off,107,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_fixed_medium_assertive_supervisor_off/scenario_uk_give_way_ego_init_107_smpc_fixed_risk,199,30.0,0,1,0,0.0,0,0,1,0,199,178,21,0.8944723618090452,0.10552763819095479,0,"{""INF_OR_UNBD"":21,""OPTIMAL"":178}",199,220,0,0,199,220,0,0,105.05512356758118,171.78123891353604,474.8324126750232,0.9899497487437185,0.04020100502512563,0.005025125628140704,197.5873000919819,306.2723495066166,318.9590321481228,0.628140703517588,0.0,0.6683417085427136,0.6633165829145728,0.0,0.6633165829145728,0.1306532663316583,0.0,26,0,1.0,2.092621710409796,0.6891848493850791,0.0,2.452863138872879,-0.9337120077907178,0.9337120077907178,0.0,0.0,9,,44,44,47,44,,,,,0.0,0.0,
SF4_B1_fixed_medium_reactive_supervisor_on,B1,fixed_medium,reactive,on,107,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_fixed_medium_reactive_supervisor_on/scenario_uk_give_way_ego_init_107_smpc_fixed_risk,237,11.85,1,0,0,1.371741836064336,0,0,0,0,196,194,2,0.9897959183673469,0.010204081632653073,0,"{""INF_OR_UNBD"":2,""OPTIMAL"":194}",237,258,0,0,237,258,0,0,116.03336408734322,306.2286414206028,397.4009792506689,0.869198312236287,0.24050632911392406,0.004219409282700422,201.72220468521118,311.8458241224289,408.66233482956875,0.22784810126582278,0.22784810126582278,0.6033755274261603,0.37130801687763715,0.0,0.5991561181434599,0.1729957805907173,0.1729957805907173,41,41,0.8270042194092827,0.9702902661775358,0.3476880486763291,0.0,0.8734288351759985,-0.7088598492645827,0.7605152313830015,-0.7088598492645827,0.7605152313830015,11,44,54,54,57,62,5.840643999517364,4.294841311550121,0.2948413115501207,0.9,0.0,0.4,0.25
SF4_B1_adaptive_reactive_supervisor_off,B1,adaptive,reactive,off,108,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_adaptive_reactive_supervisor_off/scenario_uk_give_way_ego_init_108_smpc_var_risk,37,30.0,0,1,1,0.0,1,1,1,1,37,18,19,0.4864864864864865,0.5135135135135135,0,"{""INF_OR_UNBD"":19,""OPTIMAL"":18}",37,37,0,0,37,37,0,0,119.12278831005096,452.3506507277487,516.4083793759346,1.0,0.21621621621621623,0.02702702702702703,202.66346260905266,287.0375178754329,384.82937380671507,0.7567567567567568,0.0,0.972972972972973,0.972972972972973,0.0,0.972972972972973,0.5135135135135135,0.0,19,0,1.0,5.025142997639166,2.3724942928782142,0.0,5.717884488318347,-3.086822548518257,3.086822548518257,0.0,0.0,9,,,,,,,,,,,,
SF4_B1_adaptive_reactive_supervisor_on,B1,adaptive,reactive,on,108,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_adaptive_reactive_supervisor_on/scenario_uk_give_way_ego_init_108_smpc_var_risk,216,10.8,1,0,0,1.0074034637712879,0,0,0,0,176,174,2,0.9886363636363636,0.011363636363636354,0,"{""INF_OR_UNBD"":2,""OPTIMAL"":174}",216,237,0,0,216,237,0,0,113.99252526462078,299.17472787201405,447.3619788885115,0.8564814814814815,0.2638888888888889,0.0,207.01953954994678,264.66676965355873,402.89674755185837,0.25462962962962965,0.25462962962962965,0.6574074074074074,0.3888888888888889,0.0,0.6527777777777778,0.18518518518518517,0.18518518518518517,40,40,0.8148148148148148,1.092681584592117,0.38425361716807277,0.0,0.9487328441952466,-0.5508078520914657,0.6370922940503466,-0.5508078520914657,0.6370922940503466,11,50,53,53,57,60,5.756186736053336,4.27464131482458,0.27464131482457965,0.5,0.0,0.35,0.15
SF4_B1_fixed_medium_assertive_supervisor_on,B1,fixed_medium,assertive,on,108,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_fixed_medium_assertive_supervisor_on/scenario_uk_give_way_ego_init_108_smpc_fixed_risk,193,9.65,1,0,0,1.2516283165544078,0,0,0,0,165,163,2,0.9878787878787879,0.012121212121212088,0,"{""INF_OR_UNBD"":2,""OPTIMAL"":163}",193,214,0,0,193,214,0,0,130.8927983045578,290.59410467743874,365.16161337494844,0.8911917098445595,0.2694300518134715,0.0,207.1562185883522,314.2449930310249,351.1478736996647,0.20207253886010362,0.20207253886010362,0.6839378238341969,0.41968911917098445,0.0,0.6787564766839378,0.14507772020725387,0.14507772020725387,28,28,0.8549222797927462,1.0306539289212255,0.4055111180643623,0.0,1.046385921325404,-0.4522711076645786,0.5278591777675564,-0.4522711076645786,0.5278591777675564,11,,43,43,47,45,,,,,0.0,0.1,
SF4_B1_fixed_medium_assertive_supervisor_off,B1,fixed_medium,assertive,off,108,/root/autodl-tmp/results/give_way_transformer/distinction_v1/sf4_supervisor_behavioural_authority_v1/SF4_B1_fixed_medium_assertive_supervisor_off/scenario_uk_give_way_ego_init_108_smpc_fixed_risk,173,30.0,0,1,0,0.0,0,0,1,0,173,152,21,0.8786127167630058,0.12138728323699421,0,"{""INF_OR_UNBD"":21,""OPTIMAL"":152}",173,194,0,0,173,194,0,0,88.52861076593399,164.833077788353,435.3874430060387,0.9710982658959537,0.04046242774566474,0.0,197.9040391743183,300.3949217498303,358.7701174616814,0.7167630057803468,0.0,0.7630057803468208,0.7572254335260116,0.0,0.7572254335260116,0.14450867052023122,0.0,25,0,1.0,2.3962937520789933,0.7567487418898916,0.0,2.7006587957514823,-1.0230161009213494,1.0230161009213494,0.0,0.0,9,,43,43,47,43,,,,,0.0,0.0,
