ego_init_id,outcome,contrast,effect
106,supervisor_candidate_requested_fraction,risk_effect_authority_off,0.0
106,supervisor_candidate_requested_fraction,authority_effect_adaptive,-0.6520540433641364
106,supervisor_candidate_requested_fraction,authority_effect_fixed_medium,-0.6529112438692958
106,supervisor_authority_applied_fraction,risk_effect_authority_on,0.0008572005051592779
106,supervisor_authority_applied_fraction,risk_effect_authority_off,0.0
106,supervisor_authority_applied_fraction,authority_effect_adaptive,0.24265039013340045
106,supervisor_authority_applied_fraction,authority_effect_fixed_medium,0.24179318962824117
106,candidate_minus_nominal_accel_mean_mps2,risk_effect_authority_on,-0.0033044001395151623
106,candidate_minus_nominal_accel_mean_mps2,risk_effect_authority_off,0.04356287274739756
106,candidate_minus_nominal_accel_mean_mps2,authority_effect_adaptive,3.3404817458614744
106,candidate_minus_nominal_accel_mean_mps2,authority_effect_fixed_medium,3.3873490187483872
106,candidate_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_on,0.003378748085157701
106,candidate_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_off,-0.04356287274739756
106,candidate_minus_nominal_accel_abs_mean_mps2,authority_effect_adaptive,-3.2618387948968635
106,candidate_minus_nominal_accel_abs_mean_mps2,authority_effect_fixed_medium,-3.3087804157294185
106,actual_minus_nominal_accel_mean_mps2,risk_effect_authority_on,-0.0033044001395151623
106,actual_minus_nominal_accel_mean_mps2,risk_effect_authority_off,0.0
106,actual_minus_nominal_accel_mean_mps2,authority_effect_adaptive,-0.860688865993337
106,actual_minus_nominal_accel_mean_mps2,authority_effect_fixed_medium,-0.8573844658538219
106,actual_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_on,0.003378748085157701
106,actual_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_off,0.0
106,actual_minus_nominal_accel_abs_mean_mps2,authority_effect_adaptive,0.9393318169579481
106,actual_minus_nominal_accel_abs_mean_mps2,authority_effect_fixed_medium,0.9359530688727904
106,cautious_approach_progress_m,risk_effect_authority_on,
106,cautious_approach_progress_m,risk_effect_authority_off,
106,cautious_approach_progress_m,authority_effect_adaptive,
106,cautious_approach_progress_m,authority_effect_fixed_medium,
106,first_stop_distance_to_conflict_m,risk_effect_authority_on,
106,first_stop_distance_to_conflict_m,risk_effect_authority_off,
106,first_stop_distance_to_conflict_m,authority_effect_adaptive,
106,first_stop_distance_to_conflict_m,authority_effect_fixed_medium,
106,first_stop_distance_to_designed_stop_m,risk_effect_authority_on,
106,first_stop_distance_to_designed_stop_m,risk_effect_authority_off,
106,first_stop_distance_to_designed_stop_m,authority_effect_adaptive,
106,first_stop_distance_to_designed_stop_m,authority_effect_fixed_medium,
106,stopped_duration_s,risk_effect_authority_on,
106,stopped_duration_s,risk_effect_authority_off,
106,stopped_duration_s,authority_effect_adaptive,
106,stopped_duration_s,authority_effect_fixed_medium,
106,nominal_conflict_clear_to_actual_path_release_s,risk_effect_authority_on,
106,nominal_conflict_clear_to_actual_path_release_s,risk_effect_authority_off,
106,nominal_conflict_clear_to_actual_path_release_s,authority_effect_adaptive,
106,nominal_conflict_clear_to_actual_path_release_s,authority_effect_fixed_medium,
106,actual_path_release_to_sustained_resume_s,risk_effect_authority_on,
106,actual_path_release_to_sustained_resume_s,risk_effect_authority_off,
106,actual_path_release_to_sustained_resume_s,authority_effect_adaptive,
106,actual_path_release_to_sustained_resume_s,authority_effect_fixed_medium,
106,buffered_conflict_clear_to_sustained_resume_s,risk_effect_authority_on,
106,buffered_conflict_clear_to_sustained_resume_s,risk_effect_authority_off,
106,buffered_conflict_clear_to_sustained_resume_s,authority_effect_adaptive,
106,buffered_conflict_clear_to_sustained_resume_s,authority_effect_fixed_medium,
107,failure_penalized_completion_time_s,risk_effect_authority_on,-0.5500000000000007
107,failure_penalized_completion_time_s,risk_effect_authority_off,0.0
107,failure_penalized_completion_time_s,authority_effect_adaptive,-19.175
107,failure_penalized_completion_time_s,authority_effect_fixed_medium,-18.625
107,completion_success,risk_effect_authority_on,0.0
107,completion_success,risk_effect_authority_off,0.0
107,completion_success,authority_effect_adaptive,1.0
107,completion_success,authority_effect_fixed_medium,1.0
107,yield_rule_failure,risk_effect_authority_on,0.0
107,yield_rule_failure,risk_effect_authority_off,0.0
107,yield_rule_failure,authority_effect_adaptive,-1.0
107,yield_rule_failure,authority_effect_fixed_medium,-1.0
107,trajectory_inferred_yield_rule_failure,risk_effect_authority_on,0.0
107,trajectory_inferred_yield_rule_failure,risk_effect_authority_off,0.0
107,trajectory_inferred_yield_rule_failure,authority_effect_adaptive,-0.5
107,trajectory_inferred_yield_rule_failure,authority_effect_fixed_medium,-0.5
107,minimum_margin_adjusted_bbox_separation_m,risk_effect_authority_on,0.0364609355699137
107,minimum_margin_adjusted_bbox_separation_m,risk_effect_authority_off,0.0
107,minimum_margin_adjusted_bbox_separation_m,authority_effect_adaptive,1.4327413694170263
107,minimum_margin_adjusted_bbox_separation_m,authority_effect_fixed_medium,1.3962804338471126
107,native_collision_any,risk_effect_authority_on,0.0
107,native_collision_any,risk_effect_authority_off,0.0
107,native_collision_any,authority_effect_adaptive,-0.5
107,native_collision_any,authority_effect_fixed_medium,-0.5
107,physical_bbox_overlap_any,risk_effect_authority_on,0.0
107,physical_bbox_overlap_any,risk_effect_authority_off,0.0
107,physical_bbox_overlap_any,authority_effect_adaptive,-0.5
107,physical_bbox_overlap_any,authority_effect_fixed_medium,-0.5
107,margin_adjusted_bbox_violation_any,risk_effect_authority_on,0.0
107,margin_adjusted_bbox_violation_any,risk_effect_authority_off,0.0
107,margin_adjusted_bbox_violation_any,authority_effect_adaptive,-1.0
107,margin_adjusted_bbox_violation_any,authority_effect_fixed_medium,-1.0
107,adverse_collision_any,risk_effect_authority_on,0.0
107,adverse_collision_any,risk_effect_authority_off,0.0
107,adverse_collision_any,authority_effect_adaptive,-0.5
107,adverse_collision_any,authority_effect_fixed_medium,-0.5
107,attempted_fallback_or_nonaccepted_fraction,risk_effect_authority_on,0.0006047873694932093
107,attempted_fallback_or_nonaccepted_fraction,risk_effect_authority_off,0.0005356732903094019
107,attempted_fallback_or_nonaccepted_fraction,authority_effect_adaptive,-0.3054029653539215
107,attempted_fallback_or_nonaccepted_fraction,authority_effect_fixed_medium,-0.3054720794331053
107,ego_policy_wall_time_p50_ms,risk_effect_authority_on,7.691202685236931
107,ego_policy_wall_time_p50_ms,risk_effect_authority_off,2.3680469021201134
107,ego_policy_wall_time_p50_ms,authority_effect_adaptive,32.1262963116169
107,ego_policy_wall_time_p50_ms,authority_effect_fixed_medium,26.80314052850008
107,ego_policy_wall_time_p95_ms,risk_effect_authority_on,14.868394844233933
107,ego_policy_wall_time_p95_ms,risk_effect_authority_off,16.89834464341402
107,ego_policy_wall_time_p95_ms,authority_effect_adaptive,72.92342558503151
107,ego_policy_wall_time_p95_ms,authority_effect_fixed_medium,74.9533753842116
107,ego_policy_wall_time_p99_ms,risk_effect_authority_on,28.87227462604733
107,ego_policy_wall_time_p99_ms,risk_effect_authority_off,-77.55857374519121
107,ego_policy_wall_time_p99_ms,authority_effect_adaptive,97.04168327152786
107,ego_policy_wall_time_p99_ms,authority_effect_fixed_medium,-9.38916509971068
107,ego_policy_wall_time_over_50ms_fraction,risk_effect_authority_on,-0.003370155401610231
107,ego_policy_wall_time_over_50ms_fraction,risk_effect_authority_off,-0.05268259545120735
107,ego_policy_wall_time_over_50ms_fraction,authority_effect_adaptive,-0.05065767704525814
107,ego_policy_wall_time_over_50ms_fraction,authority_effect_fixed_medium,-0.09997011709485526
107,ego_policy_wall_time_over_200ms_fraction,risk_effect_authority_on,0.013423840096949247
107,ego_policy_wall_time_over_200ms_fraction,risk_effect_authority_off,0.010356350279315349
107,ego_policy_wall_time_over_200ms_fraction,authority_effect_adaptive,0.14643598962156956
107,ego_policy_wall_time_over_200ms_fraction,authority_effect_fixed_medium,0.14336849980393568
107,ego_policy_wall_time_over_500ms_fraction,risk_effect_authority_on,0.002808462834675153
107,ego_policy_wall_time_over_500ms_fraction,risk_effect_authority_off,-0.002512562814070352
107,ego_policy_wall_time_over_500ms_fraction,authority_effect_adaptive,0.0072117454576767406
107,ego_policy_wall_time_over_500ms_fraction,authority_effect_fixed_medium,0.0018907198089312357
107,prediction_wall_time_p50_ms,risk_effect_authority_on,-2.0253052935004234
107,prediction_wall_time_p50_ms,risk_effect_authority_off,-20.232098177075386
107,prediction_wall_time_p50_ms,authority_effect_adaptive,6.788488477468491
107,prediction_wall_time_p50_ms,authority_effect_fixed_medium,-11.418304406106472
107,prediction_wall_time_p95_ms,risk_effect_authority_on,-8.014126680791378
107,prediction_wall_time_p95_ms,risk_effect_authority_off,10.309070348739624
107,prediction_wall_time_p95_ms,authority_effect_adaptive,-36.802778113633394
107,prediction_wall_time_p95_ms,authority_effect_fixed_medium,-18.479581084102392
107,prediction_wall_time_p99_ms,risk_effect_authority_on,-83.03508674725856
107,prediction_wall_time_p99_ms,risk_effect_authority_off,9.261711891740504
107,prediction_wall_time_p99_ms,authority_effect_adaptive,-37.709216624498254
107,prediction_wall_time_p99_ms,authority_effect_fixed_medium,54.58758201450081
107,supervisor_candidate_requested_fraction,risk_effect_authority_on,-0.003978655682456478
107,supervisor_candidate_requested_fraction,risk_effect_authority_off,0.00318853148993703
107,supervisor_candidate_requested_fraction,authority_effect_adaptive,-0.48797500447403663
107,supervisor_candidate_requested_fraction,authority_effect_fixed_medium,-0.4808078173016431
107,supervisor_authority_applied_fraction,risk_effect_authority_on,-0.003978655682456478
107,supervisor_authority_applied_fraction,risk_effect_authority_off,0.0
107,supervisor_authority_applied_fraction,authority_effect_adaptive,0.21086282614311547
107,supervisor_authority_applied_fraction,authority_effect_fixed_medium,0.21484148182557194
107,candidate_minus_nominal_accel_mean_mps2,risk_effect_authority_on,-0.010015996271315664
107,candidate_minus_nominal_accel_mean_mps2,risk_effect_authority_off,0.002749868833927138
107,candidate_minus_nominal_accel_mean_mps2,authority_effect_adaptive,1.414744079798486
107,candidate_minus_nominal_accel_mean_mps2,authority_effect_fixed_medium,1.4275099449037287
107,candidate_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_on,0.015987475116381766
107,candidate_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_off,-0.002749868833927138
107,candidate_minus_nominal_accel_abs_mean_mps2,authority_effect_adaptive,-1.3544303447599386
107,candidate_minus_nominal_accel_abs_mean_mps2,authority_effect_fixed_medium,-1.3731676887102475
107,actual_minus_nominal_accel_mean_mps2,risk_effect_authority_on,-0.010015996271315664
107,actual_minus_nominal_accel_mean_mps2,risk_effect_authority_off,0.0
107,actual_minus_nominal_accel_mean_mps2,authority_effect_adaptive,-0.591519380745267
