risk_policy,target_style,metric,effect_orientation,complete_init_pairs,missing_init_ids,mean_B1_minus_B0,median_B1_minus_B0,B1_better_init_fraction,exact_sign_flip_p_descriptive,interpretation
fixed_conservative,reactive,minADE_m,B1_minus_B0,5,,-1.0036272046293884,-1.0126658874952874,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_conservative,reactive,calibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-4.618214295510483,-4.845939729655442,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_conservative,reactive,uncalibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-1.6547911314550998,-1.6484318502314645,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,assertive,top1_ADE_m,B1_minus_B0,5,,-1.1274985910798463,-1.118889060296704,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,assertive,top1_FDE_m,B1_minus_B0,5,,-2.3202354893522226,-2.300840035158349,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,assertive,minADE_m,B1_minus_B0,5,,-0.6302422059441372,-0.630639668754663,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,assertive,calibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-5.058241241501003,-5.059123172535673,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,assertive,uncalibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-0.6905945523164265,-0.6904684881388186,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,reactive,top1_ADE_m,B1_minus_B0,5,,-1.349876467434615,-1.4095518867508583,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,reactive,top1_FDE_m,B1_minus_B0,5,,-3.1388916919803633,-3.1541890176255873,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,reactive,minADE_m,B1_minus_B0,5,,-1.009948256817927,-1.0119093131004249,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,reactive,calibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-4.625444842605132,-4.841763758708531,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
adaptive,reactive,uncalibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-1.6614319571305962,-1.6477392103965518,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
