cell_id,predictor,risk_policy,target_style,collision_category,independent_rollouts,callback_events,canonical_contact_episodes,rollouts_with_category,callbacks_and_episodes_are_not_independent_units
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,target_infrastructure,5,0,0,0,1
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,ego_static_vehicle,5,0,0,0,1
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,target_static_vehicle,5,0,0,0,1
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,other,5,0,0,0,1
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,ego_target,5,0,0,0,1
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,ego_infrastructure,5,0,0,0,1
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,target_infrastructure,5,0,0,0,1
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,ego_static_vehicle,5,0,0,0,1
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,target_static_vehicle,5,0,0,0,1
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,other,5,0,0,0,1
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,ego_target,5,0,0,0,1
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,ego_infrastructure,5,0,0,0,1
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,target_infrastructure,5,0,0,0,1
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,ego_static_vehicle,5,0,0,0,1
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,target_static_vehicle,5,0,0,0,1
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,other,5,0,0,0,1
B1_fixed_medium_assertive,B1,fixed_medium,assertive,ego_target,5,0,0,0,1
B1_fixed_medium_assertive,B1,fixed_medium,assertive,ego_infrastructure,5,0,0,0,1
B1_fixed_medium_assertive,B1,fixed_medium,assertive,target_infrastructure,5,0,0,0,1
B1_fixed_medium_assertive,B1,fixed_medium,assertive,ego_static_vehicle,5,0,0,0,1
B1_fixed_medium_assertive,B1,fixed_medium,assertive,target_static_vehicle,5,0,0,0,1
B1_fixed_medium_assertive,B1,fixed_medium,assertive,other,5,0,0,0,1
B1_fixed_medium_reactive,B1,fixed_medium,reactive,ego_target,5,0,0,0,1
B1_fixed_medium_reactive,B1,fixed_medium,reactive,ego_infrastructure,5,0,0,0,1
B1_fixed_medium_reactive,B1,fixed_medium,reactive,target_infrastructure,5,0,0,0,1
B1_fixed_medium_reactive,B1,fixed_medium,reactive,ego_static_vehicle,5,0,0,0,1
B1_fixed_medium_reactive,B1,fixed_medium,reactive,target_static_vehicle,5,0,0,0,1
B1_fixed_medium_reactive,B1,fixed_medium,reactive,other,5,0,0,0,1
