cell_id,predictor,risk_policy,target_style,ego_init_id,footprint_margin_m_per_actor,primary_margin,ego_route_completion_duration_s,post_clearance_completion_lag_s,minimum_footprint_separation_m,footprint_collision,native_collision_any,fixed_geometry_yield_failure,completion_failure,continuous_outcome_missing_reasons,rollout_receipt_sha256,geometry_sources_json,dimensions_m_json,bbox_pose_offsets_rhs_json
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,104,0.0,0,9.55,7.449999968707743,1.7129274993132075,0,0,0,0,,502ffad79a00342d1266ab046ee79db3f2b60326304fb3e0d3157c9e330b4430,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,104,0.25,1,9.55,7.449999968707743,1.1147829227729373,0,0,0,0,,502ffad79a00342d1266ab046ee79db3f2b60326304fb3e0d3157c9e330b4430,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,104,0.35,0,9.55,7.449999968707743,0.8787429891062392,0,0,0,0,,502ffad79a00342d1266ab046ee79db3f2b60326304fb3e0d3157c9e330b4430,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,104,0.5,0,9.55,7.449999968707743,0.524998683380253,0,0,0,0,,502ffad79a00342d1266ab046ee79db3f2b60326304fb3e0d3157c9e330b4430,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,105,0.0,0,10.3,8.199999968707573,2.081292659975264,0,0,0,0,,c96cc4a0c1eb6bbc868dd4daf2f7aa08ea0a1e1d3da72f00d7ce7a340950d35b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,105,0.25,1,10.3,8.199999968707573,1.494803720594744,0,0,0,0,,c96cc4a0c1eb6bbc868dd4daf2f7aa08ea0a1e1d3da72f00d7ce7a340950d35b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,105,0.35,0,10.3,8.199999968707573,1.2610084472854273,0,0,0,0,,c96cc4a0c1eb6bbc868dd4daf2f7aa08ea0a1e1d3da72f00d7ce7a340950d35b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,105,0.5,0,10.3,8.199999968707573,0.9103155373214517,0,0,0,0,,c96cc4a0c1eb6bbc868dd4daf2f7aa08ea0a1e1d3da72f00d7ce7a340950d35b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,101,0.0,0,11.4,8.799999961257072,1.649132593331003,0,0,0,0,,f83b05a2a29bd6dd8b89d83dc97f3f31c755634592de219c90e74a61f4db46f5,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,101,0.25,1,11.4,8.799999961257072,1.058610443586742,0,0,0,0,,f83b05a2a29bd6dd8b89d83dc97f3f31c755634592de219c90e74a61f4db46f5,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
