hypothesis,contrast_id,metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,effect_orientation,expected_clusters,complete_clusters,missing_clusters,missing_init_ids,mean_effect,median_effect,exact_sign_flip_p_raw,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,bootstrap_replicates,bootstrap_global_seed,bootstrap_role,holm_adjusted_p,holm_family_declared_size,holm_family_observed_p_values
H3,H3_B1_minus_B0_fixed_aggressive_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_aggressive,fixed_aggressive,treatment_minus_control,5,5,0,,-0.7899999999999998,-0.6999999999999993,0.125,-1.4100000000000001,-0.17999999999999972,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_aggressive_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_aggressive,fixed_aggressive,treatment_minus_control,5,5,0,,0.005271027037374654,5.293738491762845e-05,0.6875,-0.010890668688520445,0.025040350127355882,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_aggressive_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_aggressive,fixed_aggressive,treatment_minus_control,5,5,0,,-0.010000000000000142,-0.05000000000000071,1.0,-0.08999999999999986,0.11999999999999993,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_aggressive_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_aggressive,fixed_aggressive,treatment_minus_control,5,5,0,,-0.010598150743611302,-6.341438158141699e-05,0.375,-0.031121713729109435,3.8775325111650716e-05,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_medium_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_medium,fixed_medium,treatment_minus_control,5,5,0,,0.23000000000000007,0.14999999999999858,0.625,-0.6300000000000001,1.1700000000000004,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_medium_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_medium,fixed_medium,treatment_minus_control,5,5,0,,0.007226885906265324,2.539894383835062e-05,0.4375,-0.00015240255470452268,0.014606174367235169,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_medium_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_medium,fixed_medium,treatment_minus_control,5,5,0,,-0.21999999999999922,-0.09999999999999964,0.1875,-0.429999999999999,-0.01999999999999922,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_medium_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_medium,fixed_medium,treatment_minus_control,5,5,0,,-0.008402025452295559,-0.00014914407876442937,0.375,-0.02299833396318205,0.0014101530722637535,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_conservative_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_conservative,fixed_conservative,treatment_minus_control,5,5,0,,-0.5199999999999999,-0.05000000000000071,0.4375,-1.3199999999999998,0.09000000000000057,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_conservative_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_conservative,fixed_conservative,treatment_minus_control,5,5,0,,-0.026199719719491532,2.251731771529819e-05,0.5,-0.07525166021830791,0.00016018099166652532,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_conservative_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_conservative,fixed_conservative,treatment_minus_control,5,5,0,,0.4900000000000002,0.5999999999999996,0.25,0.019999999999999928,0.9600000000000005,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_fixed_conservative_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_conservative,fixed_conservative,treatment_minus_control,5,5,0,,-0.005596483202402936,-0.0022763117006521227,0.375,-0.01631695498792336,0.0051239885831174895,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_adaptive_assertive,ego_route_completion_duration_s,assertive,B1,B0,adaptive,adaptive,treatment_minus_control,5,5,0,,0.2400000000000002,0.05000000000000071,0.375,-0.08999999999999986,0.5999999999999996,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_adaptive_assertive,minimum_footprint_separation_m,assertive,B1,B0,adaptive,adaptive,treatment_minus_control,5,5,0,,-0.006659150169923378,-3.853280183330199e-05,0.3125,-0.017742777063670823,0.00032961271722893316,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_adaptive_reactive,ego_route_completion_duration_s,reactive,B1,B0,adaptive,adaptive,treatment_minus_control,5,5,0,,-0.17999999999999972,-0.1999999999999993,0.625,-0.6599999999999995,0.35999999999999976,20000,20260808,descriptive_only,1.0,8,8
H3,H3_B1_minus_B0_adaptive_reactive,minimum_footprint_separation_m,reactive,B1,B0,adaptive,adaptive,treatment_minus_control,5,5,0,,0.0006363462066558245,2.876681913033252e-05,0.8125,-0.01609353693526532,0.021099954397782738,20000,20260808,descriptive_only,1.0,8,8
