hypothesis,contrast_id,failure_metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,expected_clusters,complete_clusters,missing_clusters,missing_init_ids,treatment_failure_rollouts,control_failure_rollouts,mean_treatment_minus_control,raw_init_effects,no_excess_observed_failure,intent_to_treat_rollout_binary
H4,H4_B0_assertive_adaptive_minus_fixed_medium,completion_failure,assertive,B0,B0,adaptive,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,native_collision_any,assertive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,footprint_collision,assertive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,fixed_geometry_yield_failure,assertive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,completion_failure,assertive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,native_collision_any,reactive,B0,B0,adaptive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,footprint_collision,reactive,B0,B0,adaptive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,fixed_geometry_yield_failure,reactive,B0,B0,adaptive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,completion_failure,reactive,B0,B0,adaptive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_medium,native_collision_any,reactive,B0,B0,adaptive,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_medium,footprint_collision,reactive,B0,B0,adaptive,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_medium,fixed_geometry_yield_failure,reactive,B0,B0,adaptive,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_medium,completion_failure,reactive,B0,B0,adaptive,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,native_collision_any,reactive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,footprint_collision,reactive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,fixed_geometry_yield_failure,reactive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,completion_failure,reactive,B0,B0,adaptive,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
