hypothesis,contrast_id,metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,ego_init_id,treatment_value,control_value,treatment_minus_control,pair_complete,missing_reason
H3,H3_B1_minus_B0_fixed_aggressive_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_aggressive,fixed_aggressive,101,10.75,11.45,-0.6999999999999993,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_aggressive,fixed_aggressive,102,9.5,10.75,-1.25,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_aggressive,fixed_aggressive,103,9.95,11.85,-1.9000000000000004,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_aggressive,fixed_aggressive,104,9.55,9.55,0.0,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_aggressive,fixed_aggressive,105,10.3,10.4,-0.09999999999999964,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_aggressive,fixed_aggressive,101,1.0589627767685792,1.0589098393836616,5.293738491762845e-05,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_aggressive,fixed_aggressive,102,1.4656983874216671,1.4852721379756382,-0.019573750553971037,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_aggressive,fixed_aggressive,103,0.9391797335998439,0.9392626739434746,-8.29403436307663e-05,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_aggressive,fixed_aggressive,104,1.1147829227729373,1.110567951938544,0.004214970834393261,1,
H3,H3_B1_minus_B0_fixed_aggressive_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_aggressive,fixed_aggressive,105,1.494803720594744,1.4530598027295798,0.04174391786516418,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_aggressive,fixed_aggressive,101,11.4,11.5,-0.09999999999999964,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_aggressive,fixed_aggressive,102,11.45,11.2,0.25,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_aggressive,fixed_aggressive,103,11.1,11.2,-0.09999999999999964,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_aggressive,fixed_aggressive,104,10.1,10.15,-0.05000000000000071,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,ego_route_completion_duration_s,reactive,B1,B0,fixed_aggressive,fixed_aggressive,105,10.95,11.0,-0.05000000000000071,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_aggressive,fixed_aggressive,101,1.058610443586742,1.0603437311107076,-0.0017332875239655099,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_aggressive,fixed_aggressive,102,1.3887785086152737,1.4401012059313532,-0.05132269731607941,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_aggressive,fixed_aggressive,103,0.935701787420272,0.9356089765936154,9.281082665657525e-05,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_aggressive,fixed_aggressive,104,0.9937182135446642,0.9936823788677509,3.583467691326003e-05,1,
H3,H3_B1_minus_B0_fixed_aggressive_reactive,minimum_footprint_separation_m,reactive,B1,B0,fixed_aggressive,fixed_aggressive,105,1.2832253252090595,1.283288739590641,-6.341438158141699e-05,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_medium,fixed_medium,101,12.05,11.75,0.3000000000000007,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_medium,fixed_medium,102,11.1,12.25,-1.1500000000000004,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_medium,fixed_medium,103,11.8,9.95,1.8500000000000014,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_medium,fixed_medium,104,9.5,9.5,0.0,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,ego_route_completion_duration_s,assertive,B1,B0,fixed_medium,fixed_medium,105,10.45,10.3,0.14999999999999858,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_medium,fixed_medium,101,1.0771747083579302,1.0589882596114186,0.01818644874651154,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_medium,fixed_medium,102,1.465618346859131,1.4657820123273775,-0.00016366546824642114,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_medium,fixed_medium,103,0.9392529083570217,0.9392275094131833,2.539894383835062e-05,1,
H3,H3_B1_minus_B0_fixed_medium_assertive,minimum_footprint_separation_m,assertive,B1,B0,fixed_medium,fixed_medium,104,1.0763115691365257,1.0765416095269598,-0.00023004039043406088,1,
