footprint_margin_m_per_actor,primary_margin,contrast_id,predictor,target_style,fixed_comparator,all_five_primary_pairs_complete,all_binary_guards_observed,mean_adaptive_minus_fixed_completion_s,mean_adaptive_minus_fixed_separation_m,completion_no_worse_within_tolerance,separation_no_worse_within_tolerance,at_least_one_strictly_better,no_excess_binary_failures,dominance_status
0.0,0,H4_B0_assertive_adaptive_minus_fixed_aggressive,B0,assertive,fixed_aggressive,1,1,-0.5000000000000003,-0.003490990669827143,1,0,1,1,does_not_dominate
0.0,0,H4_B0_assertive_adaptive_minus_fixed_conservative,B0,assertive,fixed_conservative,1,1,-0.3200000000000003,-0.02255411454612899,1,0,1,1,does_not_dominate
0.0,0,H4_B0_assertive_adaptive_minus_fixed_medium,B0,assertive,fixed_medium,1,1,-0.45000000000000034,0.013443929587854475,1,1,1,1,dominates
0.0,0,H4_B0_reactive_adaptive_minus_fixed_aggressive,B0,reactive,fixed_aggressive,1,1,0.030000000000000072,-0.010629567097848236,1,0,0,1,does_not_dominate
0.0,0,H4_B0_reactive_adaptive_minus_fixed_conservative,B0,reactive,fixed_conservative,1,1,0.25,-0.007975926327703853,0,0,0,1,does_not_dominate
0.0,0,H4_B0_reactive_adaptive_minus_fixed_medium,B0,reactive,fixed_medium,1,1,-0.17999999999999972,-0.008300660362812984,1,0,1,1,does_not_dominate
0.0,0,H4_B1_assertive_adaptive_minus_fixed_aggressive,B1,assertive,fixed_aggressive,1,1,0.5299999999999997,-0.015450913908211428,0,0,0,1,does_not_dominate
0.0,0,H4_B1_assertive_adaptive_minus_fixed_conservative,B1,assertive,fixed_conservative,1,1,0.43999999999999984,-0.003173949082125427,0,0,0,1,does_not_dominate
0.0,0,H4_B1_assertive_adaptive_minus_fixed_medium,B1,assertive,fixed_medium,1,1,-0.4400000000000002,-0.00018702973116573317,1,0,1,1,does_not_dominate
0.0,0,H4_B1_reactive_adaptive_minus_fixed_aggressive,B1,reactive,fixed_aggressive,1,1,-0.1399999999999995,0.00045867873576663774,1,1,1,1,dominates
0.0,0,H4_B1_reactive_adaptive_minus_fixed_conservative,B1,reactive,fixed_conservative,1,1,-0.41999999999999993,-0.001871034771957758,1,0,1,1,does_not_dominate
0.0,0,H4_B1_reactive_adaptive_minus_fixed_medium,B1,reactive,fixed_medium,1,1,-0.1400000000000002,0.000528241470669455,1,1,1,1,dominates
0.25,1,H4_B0_assertive_adaptive_minus_fixed_aggressive,B0,assertive,fixed_aggressive,1,1,-0.5000000000000003,-0.0031561143843151563,1,0,1,1,does_not_dominate
0.25,1,H4_B0_assertive_adaptive_minus_fixed_conservative,B0,assertive,fixed_conservative,1,1,-0.3200000000000003,-0.022809068549144884,1,0,1,1,does_not_dominate
0.25,1,H4_B0_assertive_adaptive_minus_fixed_medium,B0,assertive,fixed_medium,1,1,-0.45000000000000034,0.01358945362649846,1,1,1,1,dominates
0.25,1,H4_B0_reactive_adaptive_minus_fixed_aggressive,B0,reactive,fixed_aggressive,1,1,0.030000000000000072,-0.010714664959273246,1,0,0,1,does_not_dominate
0.25,1,H4_B0_reactive_adaptive_minus_fixed_conservative,B0,reactive,fixed_conservative,1,1,0.25,-0.008088738114868942,0,0,0,1,does_not_dominate
0.25,1,H4_B0_reactive_adaptive_minus_fixed_medium,B0,reactive,fixed_medium,1,1,-0.17999999999999972,-0.008440729720593643,1,0,1,1,does_not_dominate
0.25,1,H4_B1_assertive_adaptive_minus_fixed_aggressive,B1,assertive,fixed_aggressive,1,1,0.5299999999999997,-0.015086291591613187,0,0,0,1,does_not_dominate
0.25,1,H4_B1_assertive_adaptive_minus_fixed_conservative,B1,assertive,fixed_conservative,1,1,0.43999999999999984,-0.00326849899957673,0,0,0,1,does_not_dominate
0.25,1,H4_B1_assertive_adaptive_minus_fixed_medium,B1,assertive,fixed_medium,1,1,-0.4400000000000002,-0.0002965824496902414,1,0,1,1,does_not_dominate
0.25,1,H4_B1_reactive_adaptive_minus_fixed_aggressive,B1,reactive,fixed_aggressive,1,1,-0.1399999999999995,0.0005198319909938797,1,1,1,1,dominates
0.25,1,H4_B1_reactive_adaptive_minus_fixed_conservative,B1,reactive,fixed_conservative,1,1,-0.41999999999999993,-0.0018559087058101832,1,0,1,1,does_not_dominate
0.25,1,H4_B1_reactive_adaptive_minus_fixed_medium,B1,reactive,fixed_medium,1,1,-0.1400000000000002,0.0005976419383577402,1,1,1,1,dominates
0.35,0,H4_B0_assertive_adaptive_minus_fixed_aggressive,B0,assertive,fixed_aggressive,1,1,-0.5000000000000003,-0.004093536421765931,1,0,1,1,does_not_dominate
0.35,0,H4_B0_assertive_adaptive_minus_fixed_conservative,B0,assertive,fixed_conservative,1,1,-0.3200000000000003,-0.022928067526929975,1,0,1,1,does_not_dominate
0.35,0,H4_B0_assertive_adaptive_minus_fixed_medium,B0,assertive,fixed_medium,1,1,-0.45000000000000034,0.013602112815274126,1,1,1,1,dominates
0.35,0,H4_B0_reactive_adaptive_minus_fixed_aggressive,B0,reactive,fixed_aggressive,1,1,0.030000000000000072,-0.010764864114856998,1,0,0,1,does_not_dominate
0.35,0,H4_B0_reactive_adaptive_minus_fixed_conservative,B0,reactive,fixed_conservative,1,1,0.25,-0.008153697649592506,0,0,0,1,does_not_dominate
0.35,0,H4_B0_reactive_adaptive_minus_fixed_medium,B0,reactive,fixed_medium,1,1,-0.17999999999999972,-0.008492125728493071,1,0,1,1,does_not_dominate
0.35,0,H4_B1_assertive_adaptive_minus_fixed_aggressive,B1,assertive,fixed_aggressive,1,1,0.5299999999999997,-0.014159570786844999,0,0,0,1,does_not_dominate
0.35,0,H4_B1_assertive_adaptive_minus_fixed_conservative,B1,assertive,fixed_conservative,1,1,0.43999999999999984,-0.0023428015033595483,0,0,0,1,does_not_dominate
0.35,0,H4_B1_assertive_adaptive_minus_fixed_medium,B1,assertive,fixed_medium,1,1,-0.4400000000000002,0.0005296004254357722,1,1,1,1,dominates
0.35,0,H4_B1_reactive_adaptive_minus_fixed_aggressive,B1,reactive,fixed_aggressive,1,1,-0.1399999999999995,0.0005510981090605327,1,1,1,1,dominates
0.35,0,H4_B1_reactive_adaptive_minus_fixed_conservative,B1,reactive,fixed_conservative,1,1,-0.41999999999999993,-0.001829704499241336,1,0,1,1,does_not_dominate
0.35,0,H4_B1_reactive_adaptive_minus_fixed_medium,B1,reactive,fixed_medium,1,1,-0.1400000000000002,0.0006295116127577715,1,1,1,1,dominates
0.5,0,H4_B0_assertive_adaptive_minus_fixed_aggressive,B0,assertive,fixed_aggressive,1,1,-0.5000000000000003,-0.005929419989255924,1,0,1,1,does_not_dominate
0.5,0,H4_B0_assertive_adaptive_minus_fixed_conservative,B0,assertive,fixed_conservative,1,1,-0.3200000000000003,-0.02308839409910284,1,0,1,1,does_not_dominate
0.5,0,H4_B0_assertive_adaptive_minus_fixed_medium,B0,assertive,fixed_medium,1,1,-0.45000000000000034,0.013661788219247895,1,1,1,1,dominates
0.5,0,H4_B0_reactive_adaptive_minus_fixed_aggressive,B0,reactive,fixed_aggressive,1,1,0.030000000000000072,-0.010824423619208389,1,0,0,1,does_not_dominate
0.5,0,H4_B0_reactive_adaptive_minus_fixed_conservative,B0,reactive,fixed_conservative,1,1,0.25,-0.008228816820329577,0,0,0,1,does_not_dominate
0.5,0,H4_B0_reactive_adaptive_minus_fixed_medium,B0,reactive,fixed_medium,1,1,-0.17999999999999972,-0.00857839355429133,1,0,1,1,does_not_dominate
0.5,0,H4_B1_assertive_adaptive_minus_fixed_aggressive,B1,assertive,fixed_aggressive,1,1,0.5299999999999997,-0.012425883099176216,0,0,0,1,does_not_dominate
0.5,0,H4_B1_assertive_adaptive_minus_fixed_conservative,B1,assertive,fixed_conservative,1,1,0.43999999999999984,-0.0005691777986313373,0,0,0,1,does_not_dominate
