risk_policy,target_style,paired_init_groups,mean_completion_effect_s,completion_bootstrap_ci_lower_s,completion_bootstrap_ci_upper_s,completion_holm_p,mean_separation_effect_m,separation_bootstrap_ci_lower_m,separation_bootstrap_ci_upper_m,separation_holm_p,cell_support_status
adaptive,assertive,5,0.2400000000000002,-0.08999999999999986,0.5999999999999996,1.0,-0.006659150169923378,-0.017742777063670823,0.00032961271722893316,1.0,not_supported
adaptive,reactive,5,-0.17999999999999972,-0.6599999999999995,0.35999999999999976,1.0,0.0006363462066558245,-0.01609353693526532,0.021099954397782738,1.0,supported_directionally
fixed_aggressive,assertive,5,-0.7899999999999998,-1.4100000000000001,-0.17999999999999972,1.0,0.005271027037374654,-0.010890668688520445,0.025040350127355882,1.0,supported_directionally
fixed_aggressive,reactive,5,-0.010000000000000142,-0.08999999999999986,0.11999999999999993,1.0,-0.010598150743611302,-0.031121713729109435,3.8775325111650716e-05,1.0,not_supported
fixed_conservative,assertive,5,-0.5199999999999999,-1.3199999999999998,0.09000000000000057,1.0,-0.026199719719491532,-0.07525166021830791,0.00016018099166652532,1.0,not_supported
fixed_conservative,reactive,5,0.4900000000000002,0.019999999999999928,0.9600000000000005,1.0,-0.005596483202402936,-0.01631695498792336,0.0051239885831174895,1.0,not_supported
fixed_medium,assertive,5,0.23000000000000007,-0.6300000000000001,1.1700000000000004,1.0,0.007226885906265324,-0.00015240255470452268,0.014606174367235169,1.0,not_supported
fixed_medium,reactive,5,-0.21999999999999922,-0.429999999999999,-0.01999999999999922,1.0,-0.008402025452295559,-0.02299833396318205,0.0014101530722637535,1.0,not_supported
