supervisor_authority_mode,risk_policy,target_style,independent_init_groups,rollouts,intervention_modes_json,mean_supervisor_any_channel_requested_fraction,ci95_low_supervisor_any_channel_requested_fraction,ci95_high_supervisor_any_channel_requested_fraction,mean_supervisor_candidate_requested_fraction,ci95_low_supervisor_candidate_requested_fraction,ci95_high_supervisor_candidate_requested_fraction,mean_supervisor_authority_applied_fraction,ci95_low_supervisor_authority_applied_fraction,ci95_high_supervisor_authority_applied_fraction,mean_rule_smpc_bypass_requested_fraction,ci95_low_rule_smpc_bypass_requested_fraction,ci95_high_rule_smpc_bypass_requested_fraction,mean_rule_smpc_bypass_applied_fraction,ci95_low_rule_smpc_bypass_applied_fraction,ci95_high_rule_smpc_bypass_applied_fraction,mean_candidate_minus_nominal_accel_abs_mean_mps2,ci95_low_candidate_minus_nominal_accel_abs_mean_mps2,ci95_high_candidate_minus_nominal_accel_abs_mean_mps2,mean_actual_minus_nominal_accel_abs_mean_mps2,ci95_low_actual_minus_nominal_accel_abs_mean_mps2,ci95_high_actual_minus_nominal_accel_abs_mean_mps2
off,adaptive,assertive,10,10,"{""monitor_only"": 10}",0.5316589859315938,0.3586017308037698,0.7016586797845124,0.49789648975413553,0.33408372862172986,0.6550116957476665,0.0,0.0,0.0,0.1193694037514083,0.07050621171598655,0.18247776767936158,0.0,0.0,0.0,1.0265447598248085,0.5156527580307866,1.81134046849394,0.0,0.0,0.0
off,adaptive,reactive,10,10,"{""monitor_only"": 10}",0.7468953873500153,0.5253323850165955,0.9626104364670608,0.607240204814615,0.43495637743006166,0.7594128856624319,0.0,0.0,0.0,0.36128363896694204,0.2284322876155907,0.47202726410621143,0.0,0.0,0.0,2.3916966243103754,1.5356323348201986,3.140044779107399,0.0,0.0,0.0
off,fixed_medium,assertive,10,10,"{""monitor_only"": 10}",0.5312202610779139,0.3654575187950711,0.696616277410683,0.4974891709803177,0.3365591751862762,0.6548443964513329,0.0,0.0,0.0,0.11928419292732613,0.06966513602495235,0.18327714929326436,0.0,0.0,0.0,1.0268164505827426,0.5096102721988317,1.8272914792741897,0.0,0.0,0.0
off,fixed_medium,reactive,10,10,"{""monitor_only"": 10}",0.7469115651819827,0.5255863532705638,0.9648639149909568,0.6060524719689874,0.43209296890875837,0.7579073810652759,0.0,0.0,0.0,0.3587415066090202,0.2305275257108288,0.46809103840682786,0.0,0.0,0.0,2.40257996595712,1.548357886717558,3.1830838519541333,0.0,0.0,0.0
on,adaptive,assertive,10,10,"{""bypass"": 10}",0.627337048543826,0.577408482051131,0.6676521160560095,0.2111484915539152,0.19657242164768296,0.22768668541977335,0.2111484915539152,0.19680584072951463,0.22769324858999723,0.14075067830760235,0.12948214545390332,0.14974458614779665,0.14075067830760235,0.12998019887978907,0.14994980756217757,0.7029247184995511,0.5954136725624064,0.8253571250927648,0.7029247184995511,0.594331384855068,0.8232139363620831
on,adaptive,reactive,10,10,"{""bypass"": 10}",0.5903108934613366,0.5430743664146317,0.6356714252618878,0.23503846508347176,0.21995781732230466,0.251850109263537,0.23503846508347176,0.22016698687852368,0.251778980869908,0.1673696989371419,0.15360774733036273,0.18050680009274891,0.1673696989371419,0.15322222985745684,0.1806416108968961,0.7923168022186327,0.6557989679133243,0.9459324009614007,0.7923168022186327,0.6570724947913642,0.9481447662148631
on,fixed_medium,assertive,10,10,"{""bypass"": 10}",0.6143288912052348,0.5667732286944629,0.6543096835221616,0.21293366410054232,0.1968524390627923,0.23235809248106334,0.21293366410054232,0.1971331053261954,0.23157524202744906,0.13922979785205195,0.1287460134282552,0.14842673268212675,0.13922979785205195,0.12864997514157178,0.14822779018764276,0.6917886499348097,0.581640479880789,0.8120043695287498,0.6917886499348097,0.5846174762658836,0.8168725303245199
on,fixed_medium,reactive,10,10,"{""bypass"": 10}",0.6011439794566298,0.5592521612668583,0.6399475163913815,0.24288619595888564,0.23101302807427726,0.2576763716539083,0.24288619595888564,0.2305615057410126,0.257935214435007,0.17196649669344985,0.1592689648585241,0.18445781338645098,0.17196649669344985,0.1591625891593751,0.1843385083484787,0.832725417049822,0.689214919993352,0.9940821781529143,0.832725417049822,0.691000892901197,0.9889294844512782
