cell_id,ego_init_id,risk_policy,target_style,supervisor_authority_mode,intervention_mode,supervisor_any_channel_requested_fraction,supervisor_candidate_requested_fraction,supervisor_authority_applied_fraction,rule_smpc_bypass_requested_fraction,rule_smpc_bypass_applied_fraction,candidate_minus_nominal_accel_abs_mean_mps2,actual_minus_nominal_accel_abs_mean_mps2
SF4_B1_adaptive_reactive_supervisor_off,109,adaptive,reactive,off,monitor_only,0.9736842105263158,0.7631578947368421,0.0,0.5263157894736842,0.0,3.070773411498386,0.0
SF4_B1_fixed_medium_reactive_supervisor_off,109,fixed_medium,reactive,off,monitor_only,0.972972972972973,0.7567567567567568,0.0,0.5135135135135135,0.0,3.0861558526841195,0.0
SF4_B1_adaptive_reactive_supervisor_off,110,adaptive,reactive,off,monitor_only,0.23166666666666666,0.21833333333333332,0.0,0.06166666666666667,0.0,0.47870149941035123,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,110,fixed_medium,reactive,on,bypass,0.592274678111588,0.22746781115879827,0.22746781115879827,0.17167381974248927,0.17167381974248927,0.6915148945209632,0.6915148945209632
SF4_B1_fixed_medium_assertive_supervisor_off,110,fixed_medium,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.30700623770876423,0.0
SF4_B1_adaptive_reactive_supervisor_on,110,adaptive,reactive,on,bypass,0.575,0.21666666666666667,0.21666666666666667,0.16666666666666666,0.16666666666666666,0.5634523374336243,0.5634523374336243
SF4_B1_adaptive_assertive_supervisor_on,110,adaptive,assertive,on,bypass,0.6213592233009708,0.20388349514563106,0.20388349514563106,0.14563106796116504,0.14563106796116504,0.595068554119706,0.595068554119706
SF4_B1_adaptive_assertive_supervisor_off,110,adaptive,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.30423026417179455,0.0
SF4_B1_fixed_medium_reactive_supervisor_off,110,fixed_medium,reactive,off,monitor_only,0.23333333333333334,0.22,0.0,0.06333333333333334,0.0,0.4953911561628958,0.0
SF4_B1_fixed_medium_assertive_supervisor_on,110,fixed_medium,assertive,on,bypass,0.6037735849056604,0.18396226415094338,0.18396226415094338,0.14622641509433962,0.14622641509433962,0.591489040596868,0.591489040596868
SF4_B1_adaptive_assertive_supervisor_off,111,adaptive,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.3511242246832955,0.0
SF4_B1_adaptive_reactive_supervisor_off,111,adaptive,reactive,off,monitor_only,0.23166666666666666,0.215,0.0,0.06,0.0,0.46156447302886583,0.0
SF4_B1_adaptive_reactive_supervisor_on,111,adaptive,reactive,on,bypass,0.6422018348623854,0.24311926605504589,0.24311926605504589,0.1926605504587156,0.1926605504587156,0.6496662602036668,0.6496662602036668
SF4_B1_fixed_medium_assertive_supervisor_on,111,fixed_medium,assertive,on,bypass,0.6368159203980099,0.19900497512437812,0.19900497512437812,0.14925373134328357,0.14925373134328357,0.5921578831586276,0.5921578831586276
SF4_B1_fixed_medium_reactive_supervisor_off,111,fixed_medium,reactive,off,monitor_only,0.23166666666666666,0.215,0.0,0.06,0.0,0.46038126619290715,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,111,fixed_medium,reactive,on,bypass,0.695,0.25,0.25,0.205,0.205,0.6544240334397652,0.6544240334397652
SF4_B1_adaptive_assertive_supervisor_on,111,adaptive,assertive,on,bypass,0.6597938144329897,0.19072164948453607,0.19072164948453607,0.15463917525773196,0.15463917525773196,0.6327262640394284,0.6327262640394284
SF4_B1_fixed_medium_assertive_supervisor_off,111,fixed_medium,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.3248554147382227,0.0
SF4_B1_fixed_medium_assertive_supervisor_off,112,fixed_medium,assertive,off,monitor_only,0.6346153846153846,0.5961538461538461,0.0,0.1201923076923077,0.0,0.8250640835180214,0.0
SF4_B1_adaptive_reactive_supervisor_on,112,adaptive,reactive,on,bypass,0.4831081081081081,0.21283783783783783,0.21283783783783783,0.13851351351351351,0.13851351351351351,0.9248068540501143,0.9248068540501143
SF4_B1_fixed_medium_reactive_supervisor_off,112,fixed_medium,reactive,off,monitor_only,0.9714285714285714,0.7428571428571429,0.0,0.4857142857142857,0.0,3.0390404800649495,0.0
SF4_B1_fixed_medium_assertive_supervisor_on,112,fixed_medium,assertive,on,bypass,0.4852941176470588,0.19117647058823528,0.19117647058823528,0.11029411764705882,0.11029411764705882,0.7220641845417384,0.7220641845417384
SF4_B1_adaptive_reactive_supervisor_off,112,adaptive,reactive,off,monitor_only,0.9722222222222222,0.75,0.0,0.5,0.0,3.0032565418068904,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,112,fixed_medium,reactive,on,bypass,0.572,0.252,0.252,0.164,0.164,1.109022584650087,1.109022584650087
SF4_B1_adaptive_assertive_supervisor_on,112,adaptive,assertive,on,bypass,0.49070631970260226,0.1895910780669145,0.1895910780669145,0.11152416356877323,0.11152416356877323,0.7286244640511438,0.7286244640511438
SF4_B1_adaptive_assertive_supervisor_off,112,adaptive,assertive,off,monitor_only,0.6567164179104478,0.6169154228855721,0.0,0.12437810945273632,0.0,0.9071977493162563,0.0
SF4_B1_adaptive_assertive_supervisor_off,113,adaptive,assertive,off,monitor_only,0.6616915422885572,0.6318407960199005,0.0,0.12935323383084577,0.0,0.9544786754824324,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,113,fixed_medium,reactive,on,bypass,0.6842105263157895,0.2966507177033493,0.2966507177033493,0.19617224880382775,0.19617224880382775,1.3197070273031073,1.3197070273031073
SF4_B1_fixed_medium_assertive_supervisor_on,113,fixed_medium,assertive,on,bypass,0.6683417085427136,0.2562814070351759,0.2562814070351759,0.15577889447236182,0.15577889447236182,1.034849592923033,1.034849592923033
SF4_B1_adaptive_reactive_supervisor_off,113,adaptive,reactive,off,monitor_only,0.9714285714285714,0.8,0.0,0.4857142857142857,0.0,3.4242315855632435,0.0
SF4_B1_fixed_medium_reactive_supervisor_off,113,fixed_medium,reactive,off,monitor_only,0.9714285714285714,0.8,0.0,0.4857142857142857,0.0,3.4272197868821976,0.0
SF4_B1_adaptive_assertive_supervisor_on,113,adaptive,assertive,on,bypass,0.6616915422885572,0.2537313432835821,0.2537313432835821,0.15422885572139303,0.15422885572139303,1.0245789992558667,1.0245789992558667
SF4_B1_adaptive_reactive_supervisor_on,113,adaptive,reactive,on,bypass,0.6842105263157895,0.291866028708134,0.291866028708134,0.19617224880382775,0.19617224880382775,1.3192784003391353,1.3192784003391353
SF4_B1_fixed_medium_assertive_supervisor_off,113,fixed_medium,assertive,off,monitor_only,0.665,0.635,0.0,0.13,0.0,0.9692964143877464,0.0
SF4_B1_adaptive_reactive_supervisor_off,114,adaptive,reactive,off,monitor_only,0.9444444444444444,0.6944444444444444,0.0,0.5,0.0,2.6541241417468737,0.0
SF4_B1_adaptive_reactive_supervisor_on,114,adaptive,reactive,on,bypass,0.47651006711409394,0.2080536912751678,0.2080536912751678,0.13758389261744966,0.13758389261744966,0.9072649327195296,0.9072649327195296
SF4_B1_fixed_medium_reactive_supervisor_off,114,fixed_medium,reactive,off,monitor_only,0.9444444444444444,0.6944444444444444,0.0,0.5,0.0,2.6549025308534886,0.0
SF4_B1_fixed_medium_assertive_supervisor_on,114,fixed_medium,assertive,on,bypass,0.6683673469387755,0.27040816326530615,0.27040816326530615,0.15306122448979592,0.15306122448979592,0.9916040199918907,0.9916040199918907
SF4_B1_adaptive_assertive_supervisor_on,114,adaptive,assertive,on,bypass,0.6822916666666666,0.2552083333333333,0.2552083333333333,0.15625,0.15625,1.017178935609411,1.017178935609411
SF4_B1_fixed_medium_assertive_supervisor_off,114,fixed_medium,assertive,off,monitor_only,0.21833333333333332,0.20333333333333334,0.0,0.041666666666666664,0.0,0.26600761040533594,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,114,fixed_medium,reactive,on,bypass,0.5089605734767025,0.2222222222222222,0.2222222222222222,0.14695340501792115,0.14695340501792115,0.9705716649073779,0.9705716649073779
SF4_B1_adaptive_assertive_supervisor_off,114,adaptive,assertive,off,monitor_only,0.21833333333333332,0.20333333333333334,0.0,0.041666666666666664,0.0,0.2603662290214144,0.0
SF4_B1_adaptive_reactive_supervisor_on,115,adaptive,reactive,on,bypass,0.6376811594202898,0.2028985507246377,0.2028985507246377,0.1642512077294686,0.1642512077294686,0.5653989280598053,0.5653989280598053
SF4_B1_fixed_medium_assertive_supervisor_off,115,fixed_medium,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.33116929953642227,0.0
SF4_B1_adaptive_assertive_supervisor_off,115,adaptive,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.33844979210764425,0.0
SF4_B1_adaptive_assertive_supervisor_on,115,adaptive,assertive,on,bypass,0.6432160804020101,0.20100502512562815,0.20100502512562815,0.1507537688442211,0.1507537688442211,0.5887302972393449,0.5887302972393449
SF4_B1_adaptive_reactive_supervisor_off,115,adaptive,reactive,off,monitor_only,0.23166666666666666,0.215,0.0,0.06,0.0,0.47307177456615856,0.0
SF4_B1_fixed_medium_assertive_supervisor_on,115,fixed_medium,assertive,on,bypass,0.64,0.205,0.205,0.15,0.15,0.5859935059047873,0.5859935059047873
SF4_B1_fixed_medium_reactive_supervisor_off,115,fixed_medium,reactive,off,monitor_only,0.23166666666666666,0.215,0.0,0.06,0.0,0.4697425478936719,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,115,fixed_medium,reactive,on,bypass,0.5982532751091703,0.2183406113537118,0.2183406113537118,0.1703056768558952,0.1703056768558952,0.5670557789555647,0.5670557789555647
