scenario,initial,policy,bucket,clearance_phase,n_steps,sim_time_start_s,sim_time_end_s,ego_dconf_min,ego_dconf_mean,ego_dconf_max,target_dconf_mean,supervisor_active_frac,hard_stop_override_frac,rolling_caution_frac,emergency_brake_frac,final_control_overridden_frac,solver_failure_frac,solver_uses_adaptive_risk_frac,solver_risk_mode,risk_tightening_mean,risk_tightening_min,risk_tightening_max,risk_target_prob_mean,diagnostic_risk_tightening_mean,raw_tightening_before_floor_mean,preclearance_floor_active_frac,preclearance_floor_applied_frac,effective_severity_mean,raw_severity_mean,nominal_accel_mean,final_accel_mean,accel_override_delta_mean,current_center_distance_min,policy_min_footprint_separation,policy_min_center_distance,policy_yield_ok
scenario_uk_give_way,46,smpc_fixed_risk,approach,pre_clearance,1,429.31782212108374,429.31782212108374,15.263955843994482,15.263955843994482,15.263955843994482,16.8557081254632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-6.73066263061628e-05,-0.6585165323725075,-0.6584492257462013,30.64575582005902,0.833643765285866,4.32134043389527,True
scenario_uk_give_way,46,smpc_fixed_risk,critical,pre_clearance,31,429.3678221218288,430.86782214418054,5.066908884005729,9.387275515536134,14.845761855008623,10.390001004591113,0.5806451612903226,0.5806451612903226,0.0,0.0,0.5806451612903226,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258967,1.6400000000000003,,0.0,0.0,,,1.5456693275981876,-4.955316151508447,-6.500985479106634,9.121102153267453,0.8336437652858661,4.321340433895272,True
scenario_uk_give_way,46,smpc_fixed_risk,near,pre_clearance,31,430.9178221449256,432.41782216727734,4.315492742807184,4.441123411661045,4.99152561606542,0.6562317332451357,0.8709677419354839,0.8709677419354839,0.0,0.5483870967741935,0.8709677419354839,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258967,1.6400000000000003,,0.0,0.0,,,-0.04125724174058944,-3.8146563535448093,-3.7733991118042205,4.321340427422806,0.8336437652858661,4.321340433895272,True
scenario_uk_give_way,46,smpc_fixed_risk,near,post_clearance,210,432.4678221680224,442.91782232373953,-23.208928144508775,-11.225917530112232,4.315489876123374,-53.12230222243442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.6399999999999917,1.64,1.64,0.949497416525899,1.6399999999999917,,0.0,0.0,,,-0.014619565698493554,-0.2981828773127787,-0.28356331161428505,5.9622206669625095,0.8336437652858684,4.321340433895248,True
scenario_uk_give_way,46,smpc_fixed_risk,unknown,pre_clearance,1,429.2678221203387,429.2678221203387,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.46202637313232486,-0.35911286101543083,0.10291351211689403,31.483068346449752,0.833643765285866,4.32134043389527,True
scenario_uk_give_way,47,smpc_fixed_risk,approach,pre_clearance,4,457.6985976956785,457.84859769791365,15.294374228517007,15.878067096729634,16.462181123421814,16.352615972687982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.00034518446608977627,-0.6989958367782546,-0.6986506523121648,29.673519391586677,1.373765235429552,4.644590501951664,True
scenario_uk_give_way,47,smpc_fixed_risk,critical,pre_clearance,37,457.8985976986587,459.6985977254808,5.02792911945104,8.938619108358758,14.904570367231855,8.492199456510814,0.5675675675675675,0.5675675675675675,0.0,0.0,0.5675675675675675,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258965,1.6400000000000003,,0.0,0.0,,,1.3145797498891652,-3.69642560108248,-5.011005350971646,7.554204801772319,1.373765235429552,4.644590501951663,True
scenario_uk_give_way,47,smpc_fixed_risk,near,pre_clearance,22,459.74859772622585,460.7985977418721,4.309517326002112,4.45334555774271,4.953114503208498,-0.6410143799742776,0.8636363636363636,0.8636363636363636,0.0,0.45454545454545453,0.8636363636363636,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258964,1.6400000000000003,,0.0,0.0,,,-0.07272727272727274,-3.1140985555930625,-3.0413712828657897,4.644590508135312,1.373765235429552,4.644590501951665,True
scenario_uk_give_way,47,smpc_fixed_risk,near,post_clearance,177,460.84859774261713,469.64859787374735,-23.511479660010675,-9.398122384819128,4.309494926242007,-45.378730356916215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.6399999999999928,1.64,1.64,0.9494974165258987,1.6399999999999928,,0.0,0.0,,,-0.02849951604171819,-0.162112612428886,-0.1336130963871678,6.022366099382765,1.3737652354295469,4.6445905019516776,True
scenario_uk_give_way,47,smpc_fixed_risk,unknown,pre_clearance,1,457.6485976949334,457.6485976949334,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.3183464543353409,-0.018346130815730055,0.30000032351961087,32.90100273990581,1.373765235429552,4.644590501951664,True
