legacy_aggregate_status,cell_id,predictor,risk_policy,target_style,ego_init_id,debug_steps,legacy_nonoptimal_steps,legacy_solver_failure_fraction_all_debug_rows,rollout_affected,legacy_conflated_per_rollout_p95_solve_time_s,runtime_gate_limit_s,runtime_gate_passed,raw_validation_status
preliminary_legacy_conflated,B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,104,202,2,0.0099009900990099011,1,0.088067195399999992,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,105,219,2,0.0091324200913242004,1,0.094679425999999997,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_assertive,B0,fixed_medium,assertive,101,235,4,0.017021276595744681,1,0.098661183999999985,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_assertive,B0,fixed_medium,assertive,102,245,3,0.012244897959183673,1,0.085334205699999999,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_assertive,B0,fixed_medium,assertive,103,199,5,0.025125628140703519,1,0.088902263999999995,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_assertive,B0,fixed_medium,assertive,104,190,2,0.010526315789473684,1,0.087296719749999988,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_assertive,B0,fixed_medium,assertive,105,206,2,0.0097087378640776691,1,0.084873314300000016,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_reactive,B0,fixed_medium,reactive,101,239,4,0.016736401673640166,1,0.091652130999999998,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_reactive,B0,fixed_medium,reactive,102,230,3,0.013043478260869565,1,0.087233590400000005,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_reactive,B0,fixed_medium,reactive,103,222,5,0.022522522522522521,1,0.084328829100000002,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_reactive,B0,fixed_medium,reactive,104,202,2,0.0099009900990099011,1,0.083119020449999997,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_medium_reactive,B0,fixed_medium,reactive,105,229,2,0.0087336244541484712,1,0.092645787000000007,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_assertive,B1,fixed_medium,assertive,101,241,4,0.016597510373443983,1,0.087975607499999983,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_assertive,B1,fixed_medium,assertive,102,222,3,0.013513513513513514,1,0.09021278499999999,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_assertive,B1,fixed_medium,assertive,103,236,5,0.021186440677966101,1,0.095428926649999954,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_assertive,B1,fixed_medium,assertive,104,190,2,0.010526315789473684,1,0.087560124049999993,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_assertive,B1,fixed_medium,assertive,105,209,2,0.0095693779904306216,1,0.096628942500000009,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_reactive,B1,fixed_medium,reactive,101,228,4,0.017543859649122806,1,0.093440366999999969,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_reactive,B1,fixed_medium,reactive,102,228,3,0.013157894736842105,1,0.091198583700000002,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_reactive,B1,fixed_medium,reactive,103,223,5,0.022421524663677129,1,0.087142779199999992,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_reactive,B1,fixed_medium,reactive,104,201,2,0.0099502487562189053,1,0.089053462400000005,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_medium_reactive,B1,fixed_medium,reactive,105,220,2,0.0090909090909090905,1,0.10186963629999998,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,101,223,5,0.022421524663677129,1,0.10305908159999976,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,102,244,4,0.016393442622950821,1,0.090512575999999997,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,103,200,5,0.025000000000000001,1,0.10454234294999999,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,104,191,2,0.010471204188481676,1,0.089602891200000007,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,105,204,2,0.0098039215686274508,1,0.09906960125,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,101,224,5,0.022321428571428572,1,0.094611843750000008,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,102,228,4,0.017543859649122806,1,0.09073277099999999,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,103,205,5,0.024390243902439025,1,0.090413738699999982,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,104,204,2,0.0098039215686274508,1,0.10030407875,0.5,1,not_evaluated
preliminary_legacy_conflated,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,105,218,2,0.0091743119266055051,1,0.098958726749999948,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,101,207,5,0.024154589371980676,1,0.085819344199999981,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,102,204,4,0.019607843137254902,1,0.081531749749999993,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,103,201,5,0.024875621890547265,1,0.091213661000000015,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,104,190,2,0.010526315789473684,1,0.10604865169999998,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,105,208,2,0.0096153846153846159,1,0.087941045600000003,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,101,250,5,0.02,1,0.089161375399999993,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,102,225,4,0.017777777777777778,1,0.096025048299999916,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,103,221,5,0.022624434389140271,1,0.089082973799999979,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,104,202,2,0.0099009900990099011,1,0.087679496199999984,0.5,1,not_evaluated
preliminary_legacy_conflated,B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,105,230,2,0.0086956521739130436,1,0.096857937699999994,0.5,1,not_evaluated
