risk_policy,rollouts,legacy_aggregate_status,legacy_conflated_per_rollout_p95_s_mean,legacy_conflated_per_rollout_p95_s_median,legacy_conflated_per_rollout_p95_s_min,legacy_conflated_per_rollout_p95_s_max,legacy_metric_scope,simulator_control_period_s,legacy_rollouts_p95_above_control_period,smpc_planning_interval_s,legacy_rollouts_p95_above_smpc_planning_interval,frozen_runtime_gate_s,legacy_rollouts_p95_above_frozen_gate,corrected_attempted_solve_status,attempted_solve_steps,attempted_accepted_steps,attempted_fallback_or_nonaccepted_steps,attempted_controller_acceptance_rate,rule_bypass_no_solve_steps,solver_execution_decisions,bypass_fraction_of_solver_execution_decisions,finite_attempted_latency_steps,nonfinite_attempted_latency_steps,attempted_latency_p50_s,attempted_latency_p95_s,attempted_latency_p99_s,mean_per_rollout_attempted_p95_s
adaptive,20,preliminary_legacy_conflated,0.10424183417999999,0.10523691777499999,0.093205408949999999,0.1144239802,"valid-prediction finite applied.solve_time, including 0-second rule-bypass no-solve markers",0.050000000000000003,20,0.20000000000000001,0,0.5,0,not_evaluated,,,,,,,,,,,,,
fixed_aggressive,20,preliminary_legacy_conflated,0.091601496504999991,0.090572281274999972,0.086440132000000003,0.10837133275000001,"valid-prediction finite applied.solve_time, including 0-second rule-bypass no-solve markers",0.050000000000000003,20,0.20000000000000001,0,0.5,0,not_evaluated,,,,,,,,,,,,,
fixed_medium,20,preliminary_legacy_conflated,0.090227912999999993,0.088977863200000007,0.083119020449999997,0.10186963629999998,"valid-prediction finite applied.solve_time, including 0-second rule-bypass no-solve markers",0.050000000000000003,20,0.20000000000000001,0,0.5,0,not_evaluated,,,,,,,,,,,,,
fixed_conservative,20,preliminary_legacy_conflated,0.093658446779999974,0.090973215999999996,0.081531749749999993,0.10604865169999998,"valid-prediction finite applied.solve_time, including 0-second rule-bypass no-solve markers",0.050000000000000003,20,0.20000000000000001,0,0.5,0,not_evaluated,,,,,,,,,,,,,
