contrast,metric,unit,paired_rollouts,mean_effect,median_effect,minimum_effect,maximum_effect,positive_pairs,zero_pairs,negative_pairs,independent_init_clusters,cluster_mean_effect,cluster_effects_json,two_sided_exact_sign_flip_p_descriptive,inference_scope
adaptive_minus_fixed_aggressive,adaptive_minus_control_legacy_conflated_p95_solve_time_s,s,20,0.012640337675000002,0.012801797199999985,-0.0017248950000000179,0.025172197000000007,19,0,1,5,0.012640337675000002,"{""101"":0.01785239513750001,""102"":0.013711872912500003,""103"":0.005703724437500002,""104"":0.010487881349999999,""105"":0.015445814537499995}",0.0625,descriptive post-hoc supervisor-feedback audit
adaptive_minus_fixed_medium,adaptive_minus_control_legacy_conflated_p95_solve_time_s,s,20,0.01401392118,0.014038357975000013,-0.0018904526499999574,0.025518477749999977,19,0,1,5,0.01401392118,"{""101"":0.01622927882500001,""102"":0.01285184919999999,""103"":0.01307816848750001,""104"":0.012532030837500003,""105"":0.015378278549999985}",0.0625,descriptive post-hoc supervisor-feedback audit
adaptive_minus_fixed_conservative,adaptive_minus_control_legacy_conflated_p95_solve_time_s,s,20,0.010583387400000017,0.011252679100000017,-0.0020502059499999947,0.027388081250000001,17,0,3,5,0.010583387400000017,"{""101"":0.01599868996250006,""102"":0.011646104137500016,""103"":0.008215689112500004,""104"":0.003380583037500006,""105"":0.013675870750000003}",0.0625,descriptive post-hoc supervisor-feedback audit
