risk_policy,legacy_aggregate_status,rollouts,affected_rollouts,debug_steps,nonoptimal_steps,pooled_step_fraction_descriptive,mean_per_rollout_failure_fraction,median_per_rollout_failure_fraction,independent_unit_warning
adaptive,preliminary_legacy_conflated,20,20,4274,64,0.014974262985493684,0.014984774438387012,0.013640873015873016,legacy fraction divides by all debug rows and includes bypass/no-solve rows in the denominator; use raw attempted-solve feasibility for final claims
fixed_aggressive,preliminary_legacy_conflated,20,20,4282,64,0.014946286781877626,0.014827650624150698,0.013673172757475083,legacy fraction divides by all debug rows and includes bypass/no-solve rows in the denominator; use raw attempted-solve feasibility for final claims
fixed_medium,preliminary_legacy_conflated,20,20,4395,64,0.014562002275312855,0.01445607343004859,0.013100686498855835,legacy fraction divides by all debug rows and includes bypass/no-solve rows in the denominator; use raw attempted-solve feasibility for final claims
fixed_conservative,preliminary_legacy_conflated,20,20,4279,72,0.01682636129936901,0.016755123395322129,0.017660818713450294,legacy fraction divides by all debug rows and includes bypass/no-solve rows in the denominator; use raw attempted-solve feasibility for final claims
