contrast,predictor,target_style,ego_init_id,adaptive_solver_failure_fraction,control_solver_failure_fraction,adaptive_minus_control_solver_failure_fraction,adaptive_over_control_ratio
adaptive_minus_fixed_aggressive,B0,assertive,101,0.018433179723502304,0.017467248908296942,0.00096593081520536181,1.0552995391705069
adaptive_minus_fixed_aggressive,B0,assertive,102,0.014150943396226415,0.013953488372093023,0.00019745502413339236,1.0141509433962264
adaptive_minus_fixed_aggressive,B0,assertive,103,0.025125628140703519,0.021097046413502109,0.00402858172720141,1.1909547738693469
adaptive_minus_fixed_aggressive,B0,assertive,104,0.010526315789473684,0.010471204188481676,5.5111600992007945e-05,1.0052631578947369
adaptive_minus_fixed_aggressive,B0,assertive,105,0.009433962264150943,0.0096153846153846159,-0.00018142235123367288,0.98113207547169801
adaptive_minus_fixed_aggressive,B0,reactive,101,0.017621145374449341,0.017391304347826087,0.00022984102662325367,1.0132158590308371
adaptive_minus_fixed_aggressive,B0,reactive,102,0.013888888888888888,0.013392857142857142,0.000496031746031746,1.037037037037037
adaptive_minus_fixed_aggressive,B0,reactive,103,0.022522522522522521,0.022321428571428572,0.00020109395109394954,1.0090090090090089
adaptive_minus_fixed_aggressive,B0,reactive,104,0.0098039215686274508,0.009852216748768473,-4.8295180141022173e-05,0.99509803921568629
adaptive_minus_fixed_aggressive,B0,reactive,105,0.0085106382978723406,0.0090909090909090905,-0.0005802707930367499,0.93617021276595747
adaptive_minus_fixed_aggressive,B1,assertive,101,0.017167381974248927,0.018604651162790697,-0.0014372691885417704,0.92274678111587982
adaptive_minus_fixed_aggressive,B1,assertive,102,0.013392857142857142,0.015789473684210527,-0.0023966165413533847,0.84821428571428559
adaptive_minus_fixed_aggressive,B1,assertive,103,0.025125628140703519,0.025125628140703519,0,1
adaptive_minus_fixed_aggressive,B1,assertive,104,0.010471204188481676,0.010471204188481676,0,1
adaptive_minus_fixed_aggressive,B1,assertive,105,0.0096618357487922701,0.0097087378640776691,-4.690211528539899e-05,0.99516908212560395
adaptive_minus_fixed_aggressive,B1,reactive,101,0.017621145374449341,0.017543859649122806,7.7285725326534799e-05,1.0044052863436126
adaptive_minus_fixed_aggressive,B1,reactive,102,0.012875536480686695,0.013100436681222707,-0.00022490020053601151,0.98283261802575117
adaptive_minus_fixed_aggressive,B1,reactive,103,0.024271844660194174,0.022522522522522521,0.0017493221376716529,1.0776699029126213
adaptive_minus_fixed_aggressive,B1,reactive,104,0.01,0.0099009900990099011,9.9009900990099098e-05,1.01
