contrast,predictor,target_style,ego_init_id,adaptive_legacy_conflated_p95_solve_time_s,control_legacy_conflated_p95_solve_time_s,adaptive_minus_control_legacy_conflated_p95_solve_time_s,adaptive_over_control_ratio
adaptive_minus_fixed_aggressive,B0,assertive,101,0.1108007635,0.094840478499999992,0.015960285000000005,1.1682855807185748
adaptive_minus_fixed_aggressive,B0,assertive,102,0.099155506449999986,0.089161004999999988,0.0099945014499999985,1.1120949842366628
adaptive_minus_fixed_aggressive,B0,assertive,103,0.102492137,0.094708896999999986,0.0077832400000000107,1.0821806635547662
adaptive_minus_fixed_aggressive,B0,assertive,104,0.093205408949999999,0.086440132000000003,0.006765276949999996,1.0782654629680575
adaptive_minus_fixed_aggressive,B0,assertive,105,0.11039179204999999,0.09207976314999998,0.018312028900000013,1.1988713727485301
adaptive_minus_fixed_aggressive,B0,reactive,101,0.1144239802,0.08925178319999999,0.025172197000000007,1.2820357879415456
adaptive_minus_fixed_aggressive,B0,reactive,102,0.095944922149999987,0.087246294499999988,0.0086986276499999987,1.0997019724430819
adaptive_minus_fixed_aggressive,B0,reactive,103,0.10664643774999999,0.10837133275000001,-0.0017248950000000179,0.9840834752491312
adaptive_minus_fixed_aggressive,B0,reactive,104,0.099654767749999998,0.093499724399999998,0.0061550433500000001,1.0658295346804252
adaptive_minus_fixed_aggressive,B0,reactive,105,0.11021061619999999,0.093097442299999986,0.0171131739,1.1838200220888346
adaptive_minus_fixed_aggressive,B1,assertive,101,0.10372587889999997,0.091048359399999973,0.012677519499999998,1.1392394062182301
adaptive_minus_fixed_aggressive,B1,assertive,102,0.10891983099999999,0.086789069449999978,0.022130761550000017,1.2549948016524104
adaptive_minus_fixed_aggressive,B1,assertive,103,0.093538473999999996,0.087303134000000004,0.006235339999999992,1.071421720095409
adaptive_minus_fixed_aggressive,B1,assertive,104,0.1050354114,0.087198872800000007,0.017836538599999993,1.2045501051476895
adaptive_minus_fixed_aggressive,B1,assertive,105,0.10881697959999999,0.095890904700000015,0.012926074899999973,1.1347998012996114
adaptive_minus_fixed_aggressive,B1,reactive,101,0.10769578220000001,0.09009620314999997,0.017599579050000036,1.1953420725255062
adaptive_minus_fixed_aggressive,B1,reactive,102,0.10136630199999999,0.087342700999999995,0.014023600999999997,1.1605583619402839
adaptive_minus_fixed_aggressive,B1,reactive,103,0.10543842415,0.094917211399999979,0.010521212750000022,1.1108462058125743
adaptive_minus_fixed_aggressive,B1,reactive,104,0.099261861899999998,0.088067195399999992,0.011194666500000006,1.1271150562834888
adaptive_minus_fixed_aggressive,B1,reactive,105,0.10811140644999999,0.094679425999999997,0.013431980449999992,1.1418679962212699
adaptive_minus_fixed_medium,B0,assertive,101,0.1108007635,0.098661183999999985,0.012139579500000011,1.1230431159228742
adaptive_minus_fixed_medium,B0,assertive,102,0.099155506449999986,0.085334205699999999,0.013821300749999987,1.1619667123707695
adaptive_minus_fixed_medium,B0,assertive,103,0.102492137,0.088902263999999995,0.013589873000000002,1.1528630699438656
adaptive_minus_fixed_medium,B0,assertive,104,0.093205408949999999,0.087296719749999988,0.0059086892000000113,1.0676851228422017
adaptive_minus_fixed_medium,B0,assertive,105,0.11039179204999999,0.084873314300000016,0.025518477749999977,1.3006655031733569
adaptive_minus_fixed_medium,B0,reactive,101,0.1144239802,0.091652130999999998,0.022771849199999999,1.2484595715510423
adaptive_minus_fixed_medium,B0,reactive,102,0.095944922149999987,0.087233590400000005,0.0087113317499999815,1.0998621254731706
adaptive_minus_fixed_medium,B0,reactive,103,0.10664643774999999,0.084328829100000002,0.022317608649999987,1.2646498106067026
adaptive_minus_fixed_medium,B0,reactive,104,0.099654767749999998,0.083119020449999997,0.0165357473,1.1989405939877147
adaptive_minus_fixed_medium,B0,reactive,105,0.11021061619999999,0.092645787000000007,0.017564829199999979,1.1895912352711731
adaptive_minus_fixed_medium,B1,assertive,101,0.10372587889999997,0.087975607499999983,0.015750271399999988,1.1790299816912317
adaptive_minus_fixed_medium,B1,assertive,102,0.10891983099999999,0.09021278499999999,0.018707046000000005,1.2073657963225501
adaptive_minus_fixed_medium,B1,assertive,103,0.093538473999999996,0.095428926649999954,-0.0018904526499999574,0.98018994118069169
adaptive_minus_fixed_medium,B1,assertive,104,0.1050354114,0.087560124049999993,0.017475287350000007,1.1995804316131506
adaptive_minus_fixed_medium,B1,assertive,105,0.10881697959999999,0.096628942500000009,0.012188037099999979,1.1261323655694564
adaptive_minus_fixed_medium,B1,reactive,101,0.10769578220000001,0.093440366999999969,0.014255415200000038,1.1525616353797075
adaptive_minus_fixed_medium,B1,reactive,102,0.10136630199999999,0.091198583700000002,0.010167718299999989,1.1114898706480678
adaptive_minus_fixed_medium,B1,reactive,103,0.10543842415,0.087142779199999992,0.018295644950000009,1.2099502118013699
adaptive_minus_fixed_medium,B1,reactive,104,0.099261861899999998,0.089053462400000005,0.010208399499999993,1.1146322582511963
adaptive_minus_fixed_medium,B1,reactive,105,0.10811140644999999,0.10186963629999998,0.0062417701500000061,1.0612721354145054
adaptive_minus_fixed_conservative,B0,assertive,101,0.1108007635,0.10305908159999976,0.0077416819000002413,1.0751188714260798
adaptive_minus_fixed_conservative,B0,assertive,102,0.099155506449999986,0.090512575999999997,0.0086429304499999887,1.0954887246828551
adaptive_minus_fixed_conservative,B0,assertive,103,0.102492137,0.10454234294999999,-0.0020502059499999947,0.9803887506999861
adaptive_minus_fixed_conservative,B0,assertive,104,0.093205408949999999,0.089602891200000007,0.0036025177499999922,1.0402053739757005
adaptive_minus_fixed_conservative,B0,assertive,105,0.11039179204999999,0.09906960125,0.011322190799999993,1.1142852162231751
adaptive_minus_fixed_conservative,B0,reactive,101,0.1144239802,0.094611843750000008,0.01981213644999999,1.20940440081002
adaptive_minus_fixed_conservative,B0,reactive,102,0.095944922149999987,0.09073277099999999,0.0052121511499999967,1.0574450784711513
adaptive_minus_fixed_conservative,B0,reactive,103,0.10664643774999999,0.090413738699999982,0.016232699050000007,1.1795379693772139
adaptive_minus_fixed_conservative,B0,reactive,104,0.099654767749999998,0.10030407875,-0.00064931099999999964,0.99352657431191449
adaptive_minus_fixed_conservative,B0,reactive,105,0.11021061619999999,0.098958726749999948,0.011251889450000038,1.1137028518811258
adaptive_minus_fixed_conservative,B1,assertive,101,0.10372587889999997,0.085819344199999981,0.01790653469999999,1.2086538281890062
adaptive_minus_fixed_conservative,B1,assertive,102,0.10891983099999999,0.081531749749999993,0.027388081250000001,1.3359192134840698
adaptive_minus_fixed_conservative,B1,assertive,103,0.093538473999999996,0.091213661000000015,0.0023248129999999811,1.025487552791023
adaptive_minus_fixed_conservative,B1,assertive,104,0.1050354114,0.10604865169999998,-0.0010132402999999818,0.99044551454679186
adaptive_minus_fixed_conservative,B1,assertive,105,0.10881697959999999,0.087941045600000003,0.020875933999999985,1.237385555943401
adaptive_minus_fixed_conservative,B1,reactive,101,0.10769578220000001,0.089161375399999993,0.018534406800000014,1.2078748417333187
adaptive_minus_fixed_conservative,B1,reactive,102,0.10136630199999999,0.096025048299999916,0.0053412537000000759,1.0556235460909431
adaptive_minus_fixed_conservative,B1,reactive,103,0.10543842415,0.089082973799999979,0.016355450350000023,1.183597938554674
adaptive_minus_fixed_conservative,B1,reactive,104,0.099261861899999998,0.087679496199999984,0.011582365700000014,1.132098907977074
adaptive_minus_fixed_conservative,B1,reactive,105,0.10811140644999999,0.096857937699999994,0.011253468749999995,1.116185302074628
