predictor,risk,target,ego_init_id,relative_path,steps,valid_tightening_steps,valid_command_steps,mean_tightening,mean_nominal_accel_mps2,mean_actual_accel_mps2,mean_abs_supervisor_accel_delta_mps2,supervisor_request_fraction,post_action_applied_fraction,controller_accepted_fraction
B1,fixed_medium,assertive_constant_speed,81,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_81_smpc_fixed_risk/smpc_debug_steps.jsonl,233,233,233,1.6400000000000001,-0.41480020357871367,-1.3370534974079267,0.9626242581206417,0.5665236051502146,0.2532188841201717,0.9785407725321889
B1,fixed_medium,assertive_constant_speed,82,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_82_smpc_fixed_risk/smpc_debug_steps.jsonl,189,189,189,1.64,-0.23292747459229826,-0.7923565006749429,0.6407078566099668,0.6772486772486772,0.18518518518518517,0.9947089947089947
B1,fixed_medium,assertive_constant_speed,83,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_83_smpc_fixed_risk/smpc_debug_steps.jsonl,271,271,271,1.64,-0.4115382354332953,-1.1596979990488245,0.7792255361414411,0.4907749077490775,0.1992619926199262,0.988929889298893
B1,fixed_medium,assertive_constant_speed,84,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_84_smpc_fixed_risk/smpc_debug_steps.jsonl,190,190,190,1.64,-0.2985778083730527,-0.7066740309407892,0.5698674107527022,0.6947368421052632,0.22631578947368422,0.9736842105263158
B1,fixed_medium,assertive_constant_speed,85,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_85_smpc_fixed_risk/smpc_debug_steps.jsonl,272,272,272,1.64,-0.4259856116941481,-1.1965814563502606,0.8807121050824637,0.4852941176470588,0.2426470588235294,0.9816176470588235
B1,fixed_medium,assertive_constant_speed,86,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_86_smpc_fixed_risk/smpc_debug_steps.jsonl,214,214,214,1.64,-0.34798198163909505,-1.2768636296019062,0.9669778003125155,0.616822429906542,0.2336448598130841,0.9813084112149533
B1,fixed_medium,assertive_constant_speed,87,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_87_smpc_fixed_risk/smpc_debug_steps.jsonl,201,201,201,1.64,-0.4211962259088303,-0.7738976703735791,0.4052590316181731,0.6567164179104478,0.208955223880597,0.9900497512437811
B1,fixed_medium,assertive_constant_speed,88,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_88_smpc_fixed_risk/smpc_debug_steps.jsonl,234,234,234,1.64,-0.3755525841149865,-1.2717593928032414,1.0483419894864607,0.5641025641025641,0.2948717948717949,0.9786324786324786
B1,fixed_medium,assertive_constant_speed,89,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_89_smpc_fixed_risk/smpc_debug_steps.jsonl,205,205,205,1.64,-0.27085269781141563,-1.2234370648329178,0.9930952257192733,0.6439024390243903,0.25853658536585367,0.9853658536585366
B1,fixed_medium,assertive_constant_speed,90,B1__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_90_smpc_fixed_risk/smpc_debug_steps.jsonl,235,235,235,1.64,-0.46165633205647794,-0.8805907667623066,0.4931083009230509,0.5574468085106383,0.16595744680851063,0.9872340425531915
B1,fixed_medium,defensive_reactive,81,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_81_smpc_fixed_risk/smpc_debug_steps.jsonl,278,278,278,1.64,-0.41614226778846203,-1.459914641654165,1.0740431489099582,0.5143884892086331,0.24820143884892087,0.9820143884892086
B1,fixed_medium,defensive_reactive,82,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_82_smpc_fixed_risk/smpc_debug_steps.jsonl,218,218,218,1.64,-0.3437577944417991,-0.8608409750270631,0.61305639106102,0.6376146788990825,0.22477064220183487,0.9954128440366973
B1,fixed_medium,defensive_reactive,83,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_83_smpc_fixed_risk/smpc_debug_steps.jsonl,232,232,232,1.64,-0.3639430991226068,-1.5400511353138404,1.2123888942806949,0.6163793103448276,0.27155172413793105,0.9870689655172413
B1,fixed_medium,defensive_reactive,84,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_84_smpc_fixed_risk/smpc_debug_steps.jsonl,242,242,242,1.64,-0.42748164116122084,-1.0317596970472052,0.6859936750907274,0.5867768595041323,0.2396694214876033,0.987603305785124
B1,fixed_medium,defensive_reactive,85,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_85_smpc_fixed_risk/smpc_debug_steps.jsonl,260,260,260,1.64,-0.31400347511664783,-1.3635679479204361,1.1617980675843074,0.5423076923076923,0.28846153846153844,0.9807692307692307
B1,fixed_medium,defensive_reactive,86,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_86_smpc_fixed_risk/smpc_debug_steps.jsonl,223,223,223,1.64,-0.34609738410212154,-1.5505064371553139,1.2408965933646936,0.6367713004484304,0.273542600896861,0.9820627802690582
B1,fixed_medium,defensive_reactive,87,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_87_smpc_fixed_risk/smpc_debug_steps.jsonl,196,196,196,1.64,-0.24027943471102564,-0.8386767654596763,0.6547116893422643,0.7193877551020408,0.2755102040816326,0.9897959183673469
B1,fixed_medium,defensive_reactive,88,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_88_smpc_fixed_risk/smpc_debug_steps.jsonl,219,219,219,1.64,-0.2634803185478366,-1.4535968274429683,1.4615179139982069,0.6438356164383562,0.3926940639269406,0.9771689497716894
B1,fixed_medium,defensive_reactive,89,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_89_smpc_fixed_risk/smpc_debug_steps.jsonl,265,265,265,1.64,-0.4051464396176544,-1.4323890557867989,1.0590219828124463,0.539622641509434,0.24150943396226415,0.9886792452830189
B1,fixed_medium,defensive_reactive,90,B1__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_90_smpc_fixed_risk/smpc_debug_steps.jsonl,244,244,244,1.64,-0.360401362071024,-0.8928849782173239,0.6207711085871566,0.5778688524590164,0.22950819672131148,0.9877049180327869
P_star,adaptive,assertive_constant_speed,81,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_81_smpc_var_risk/smpc_debug_steps.jsonl,214,214,214,1.3751478782768556,-0.3508960131300575,-1.347704284505375,1.0356616914235781,0.616822429906542,0.2570093457943925,0.9766355140186916
P_star,adaptive,assertive_constant_speed,82,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_82_smpc_var_risk/smpc_debug_steps.jsonl,189,189,189,1.3835386420632705,-0.2519683736823862,-0.8113372006041599,0.6407343000232689,0.6772486772486772,0.18518518518518517,0.9947089947089947
P_star,adaptive,assertive_constant_speed,83,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_83_smpc_var_risk/smpc_debug_steps.jsonl,210,210,210,1.378066391511431,-0.24714111907201575,-1.2134275386414635,1.006390731536175,0.6333333333333333,0.2571428571428571,0.9857142857142858
P_star,adaptive,assertive_constant_speed,84,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_84_smpc_var_risk/smpc_debug_steps.jsonl,190,190,190,1.3868798415421453,-0.24045029068258278,-0.693309181537123,0.5238265008116453,0.6947368421052632,0.22105263157894736,0.9842105263157894
P_star,adaptive,assertive_constant_speed,85,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_85_smpc_var_risk/smpc_debug_steps.jsonl,263,263,263,1.3579965693256375,-0.4259004998865476,-1.2127394617954006,0.9219890154794035,0.5019011406844106,0.26996197718631176,0.9809885931558935
P_star,adaptive,assertive_constant_speed,86,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_86_smpc_var_risk/smpc_debug_steps.jsonl,194,194,194,1.3842554741259068,-0.22203489573825066,-1.2474496132358976,1.067498318947672,0.6804123711340206,0.25773195876288657,0.979381443298969
P_star,adaptive,assertive_constant_speed,87,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_87_smpc_var_risk/smpc_debug_steps.jsonl,190,190,190,1.38622427660928,-0.16184375722873443,-0.6030129320619131,0.4842357598780462,0.6947368421052632,0.24736842105263157,0.9894736842105263
P_star,adaptive,assertive_constant_speed,88,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_88_smpc_var_risk/smpc_debug_steps.jsonl,214,214,214,1.3755066204945514,-0.33400915678251675,-1.3141051433652589,1.1459216691787653,0.616822429906542,0.3317757009345794,0.9766355140186916
P_star,adaptive,assertive_constant_speed,89,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_89_smpc_var_risk/smpc_debug_steps.jsonl,203,203,203,1.3788978462364687,-0.2632196981989059,-1.2256605562942549,1.0033111501173897,0.6502463054187192,0.26108374384236455,0.9852216748768473
P_star,adaptive,assertive_constant_speed,90,P_star__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_90_smpc_var_risk/smpc_debug_steps.jsonl,230,230,230,1.36961062663492,-0.4579729598176588,-0.8860686293078802,0.5037987644331154,0.5695652173913044,0.16956521739130434,0.9869565217391304
P_star,adaptive,defensive_reactive,81,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_81_smpc_var_risk/smpc_debug_steps.jsonl,280,280,280,1.3729001593769854,-0.4149958013489142,-1.4523143570617383,1.067296329380592,0.5107142857142857,0.24285714285714285,0.9821428571428571
P_star,adaptive,defensive_reactive,82,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_82_smpc_var_risk/smpc_debug_steps.jsonl,231,231,231,1.3887901674374947,-0.3353787068860811,-0.8118770473466054,0.5691922597439201,0.6017316017316018,0.22077922077922077,0.9913419913419913
