scenario,initial,policy,bucket,clearance_phase,n_steps,sim_time_start_s,sim_time_end_s,ego_dconf_min,ego_dconf_mean,ego_dconf_max,target_dconf_mean,supervisor_active_frac,hard_stop_override_frac,rolling_caution_frac,emergency_brake_frac,final_control_overridden_frac,solver_failure_frac,solver_uses_adaptive_risk_frac,solver_risk_mode,risk_tightening_mean,risk_tightening_min,risk_tightening_max,risk_target_prob_mean,diagnostic_risk_tightening_mean,raw_tightening_before_floor_mean,preclearance_floor_active_frac,preclearance_floor_applied_frac,effective_severity_mean,raw_severity_mean,nominal_accel_mean,final_accel_mean,accel_override_delta_mean,current_center_distance_min,policy_min_footprint_separation,policy_min_center_distance,policy_yield_ok
scenario_uk_give_way,46,smpc_fixed_risk,approach,pre_clearance,1,293.1444076150656,293.1444076150656,15.263955863136744,15.263955863136744,15.263955863136744,10.855772862823748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,2.556664966846256e-05,-0.6556088296888436,-0.6556343963385121,24.839453603627945,1.3627315889040674,4.766073579783311,True
scenario_uk_give_way,46,smpc_fixed_risk,critical,pre_clearance,36,293.19440761581063,294.94440764188766,5.012466183374778,8.793959461617275,14.845761552560909,3.0804055498765694,0.5833333333333334,0.5833333333333334,0.0,0.0,0.5833333333333334,0.1111111111111111,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258966,1.6400000000000003,,0.0,0.0,,,1.3080246749947306,-4.1301647082228055,-5.438189383217536,4.766073586807847,1.362731588904068,4.766073579783313,True
scenario_uk_give_way,46,smpc_fixed_risk,near,pre_clearance,2,294.9944076426327,295.0444076433778,4.962780805724277,4.975284718000932,4.987788630277587,-5.270470309429552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.8,0.8,1.6,5.41678916754473,1.3627315889040674,4.766073579783311,True
scenario_uk_give_way,46,smpc_fixed_risk,near,post_clearance,166,295.09440764412284,303.3444077670574,-23.238327404732573,-9.096202308685935,4.938354291365616,-43.21764550809566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.6399999999999932,1.64,1.64,0.9494974165258985,1.6399999999999932,,0.0,0.0,,,-0.014737048369805016,-0.22696269719862325,-0.21222564882881828,5.910368178527131,1.3627315889040685,4.766073579783321,True
scenario_uk_give_way,46,smpc_fixed_risk,unknown,pre_clearance,1,293.0944076143205,293.0944076143205,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.4596000265931721,-0.3566865144762781,0.10291351211689403,25.665352384388868,1.3627315889040674,4.766073579783311,True
scenario_uk_give_way,47,smpc_fixed_risk,approach,pre_clearance,4,317.99272280186415,318.1427228040993,15.294414729854847,15.878087003625847,16.462188845256573,10.352505410765989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-2.2496682902328757e-05,-0.7131535025790635,-0.7131310058961612,23.88103594587055,1.9712263829645906,5.157325436395004,True
scenario_uk_give_way,47,smpc_fixed_risk,critical,pre_clearance,35,318.1927228048444,319.89272283017635,5.215261569277109,9.158545583392192,14.904628336887544,2.1641317953875734,0.45714285714285713,0.45714285714285713,0.0,0.0,0.45714285714285713,0.08571428571428572,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258967,1.6400000000000003,,0.0,0.0,,,1.2903718461929694,-3.799893529127254,-5.090265375320224,5.15732544977872,1.9712263829645893,5.157325436395006,True
scenario_uk_give_way,47,smpc_fixed_risk,critical,post_clearance,4,319.9427228309214,320.0927228331566,5.014078484360208,5.089318906299037,5.164595879664013,-6.424795289787227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.3978449388927726,0.8,1.1978449388927725,5.921853640660788,1.9712263829645906,5.157325436395004,True
scenario_uk_give_way,47,smpc_fixed_risk,near,post_clearance,161,320.14272283390164,328.14272295311093,-23.472397481624814,-8.867288364473973,4.963592680595397,-43.743639930256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.6399999999999935,1.64,1.64,0.9494974165258985,1.6399999999999935,,0.0,0.0,,,-0.01677453322259094,-0.11138663375636647,-0.09461210053377553,7.071249076060194,1.9712263829645913,5.157325436395011,True
scenario_uk_give_way,47,smpc_fixed_risk,unknown,pre_clearance,1,317.9427228011191,317.9427228011191,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.33283857777591663,-0.032838254256305766,0.30000032351961087,27.065989212157994,1.9712263829645906,5.157325436395004,True
