t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
1.65,33,-0.2576059013,1.860599352,0.0006992663396,0.004514124891,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.9317339063
1.7,34,-0.2575992333,1.860599352,0.0005201978446,0.003363816613,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.961004734
1.75,35,-0.2575940047,1.860633684,0.0003867672258,0.002493652193,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.973728478
1.8,36,-0.2575915737,1.860633684,0.0002871672913,0.001848795645,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.9718623161
1.85,37,-0.2575894096,1.860662295,0.0002132287999,0.001369047557,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.966637671
1.9,38,-0.2575894096,1.860662295,0,0.003890827372,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.9732248783
1.95,39,-0.2575872506,1.860662295,9.37013972e-05,-0.001706625182,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.9784892201
2,40,-0.25758721,1.860662295,9.510545811e-05,-2.001018305e-05,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.9203811884
2.05,41,-0.2575869431,1.860662295,7.971325867e-05,0.0002770918677,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.8626360893
2.1,42,-0.2575887593,1.860662295,5.611661499e-05,0.0003341158615,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.7995713353
2.15,43,-0.2575898912,1.860662295,4.190621721e-05,0.0002778500864,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.5521019697
2.2,44,-0.2575910282,1.860662295,3.136059684e-05,0.0002107994773,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.7773200274
2.25,45,-0.257591018,1.860662295,2.334621271e-05,0.0001601417424,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.7786551714
2.3,46,-0.2575907815,1.860662295,1.734581732e-05,0.0001199786038,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.8018507957
2.35,47,-0.2575914657,1.860662295,7.966306192e-06,0.0001875247154,1.8,0.1762095043,-1.8,0,1.281551566,0.9,9.496227967,0,1,0.7792515755
2.4,48,-0.2575916921,1.860662295,9.536574913e-06,-3.130869239e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.899243176
2.45,49,-0.2575916921,1.860662295,8.425156609e-06,2.226541886e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.8128573298
2.5,50,-0.2575914556,1.860662295,6.708708516e-06,3.413807569e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.9119955301
2.55,51,-0.2575914556,1.860662295,5.144738186e-06,3.124891661e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.9102669358
2.6,52,-0.2575919084,1.860662295,3.924417638e-06,2.474697556e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.8376835585
2.65,53,-0.2575919084,1.860662295,2.96017393e-06,1.893636308e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.8675599694
2.7,54,-0.2575919084,1.860662295,2.219366388e-06,1.472923418e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.8220364451
2.75,55,-0.2575919084,1.860662295,6.548888067e-07,3.170101464e-05,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.7794287205
2.8,56,-0.2575919084,1.860662295,1.036142708e-06,-8.036848633e-06,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.5904400349
2.85,57,-0.2575919084,1.860662295,1.052589985e-06,-1.914794598e-07,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.7627491951
2.9,58,-0.2575921347,1.860662295,8.299795135e-07,4.306755776e-06,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.605298996
