cell,ego_init_id,split,scenario_dir,collision_callbacks,unique_collision_frames,contact_episodes,monitored_roles,other_actor_types,labeled_samples,usable_windows,full_horizon_windows,history_overlap_windows,future_overlap_windows,post_collision_windows,affected_usable_windows,affected_window_semantics
S0_FIXED,39,train,scenario_uk_give_way_ego_init_39_smpc_fixed_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
S0_FIXED,40,train,scenario_uk_give_way_ego_init_40_smpc_fixed_risk,0,0,0,,,56,24,15,0,0,0,0,exact_zero
S0_FIXED,41,val,scenario_uk_give_way_ego_init_41_smpc_fixed_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_FIXED,42,val,scenario_uk_give_way_ego_init_42_smpc_fixed_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_FIXED,43,val,scenario_uk_give_way_ego_init_43_smpc_fixed_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_FIXED,44,val,scenario_uk_give_way_ego_init_44_smpc_fixed_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_FIXED,45,val,scenario_uk_give_way_ego_init_45_smpc_fixed_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_FIXED,46,test,scenario_uk_give_way_ego_init_46_smpc_fixed_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_FIXED,47,test,scenario_uk_give_way_ego_init_47_smpc_fixed_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_FIXED,48,test,scenario_uk_give_way_ego_init_48_smpc_fixed_risk,0,0,0,,,53,24,15,0,0,0,0,exact_zero
S0_FIXED,49,test,scenario_uk_give_way_ego_init_49_smpc_fixed_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_FIXED,50,test,scenario_uk_give_way_ego_init_50_smpc_fixed_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,1,train,scenario_uk_give_way_ego_init_01_smpc_var_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,2,train,scenario_uk_give_way_ego_init_02_smpc_var_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,3,train,scenario_uk_give_way_ego_init_03_smpc_var_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,4,train,scenario_uk_give_way_ego_init_04_smpc_var_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,5,train,scenario_uk_give_way_ego_init_05_smpc_var_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,6,train,scenario_uk_give_way_ego_init_06_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,7,train,scenario_uk_give_way_ego_init_07_smpc_var_risk,0,0,0,,,64,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,8,train,scenario_uk_give_way_ego_init_08_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,9,train,scenario_uk_give_way_ego_init_09_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,10,train,scenario_uk_give_way_ego_init_10_smpc_var_risk,0,0,0,,,74,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,11,train,scenario_uk_give_way_ego_init_11_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,12,train,scenario_uk_give_way_ego_init_12_smpc_var_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,13,train,scenario_uk_give_way_ego_init_13_smpc_var_risk,0,0,0,,,57,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,14,train,scenario_uk_give_way_ego_init_14_smpc_var_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,15,train,scenario_uk_give_way_ego_init_15_smpc_var_risk,0,0,0,,,72,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,16,train,scenario_uk_give_way_ego_init_16_smpc_var_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,17,train,scenario_uk_give_way_ego_init_17_smpc_var_risk,0,0,0,,,65,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,18,train,scenario_uk_give_way_ego_init_18_smpc_var_risk,0,0,0,,,63,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,19,train,scenario_uk_give_way_ego_init_19_smpc_var_risk,0,0,0,,,59,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,20,train,scenario_uk_give_way_ego_init_20_smpc_var_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,21,train,scenario_uk_give_way_ego_init_21_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,22,train,scenario_uk_give_way_ego_init_22_smpc_var_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,23,train,scenario_uk_give_way_ego_init_23_smpc_var_risk,0,0,0,,,57,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,24,train,scenario_uk_give_way_ego_init_24_smpc_var_risk,0,0,0,,,58,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,25,train,scenario_uk_give_way_ego_init_25_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,26,train,scenario_uk_give_way_ego_init_26_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,27,train,scenario_uk_give_way_ego_init_27_smpc_var_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,28,train,scenario_uk_give_way_ego_init_28_smpc_var_risk,0,0,0,,,56,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,29,train,scenario_uk_give_way_ego_init_29_smpc_var_risk,0,0,0,,,65,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,30,train,scenario_uk_give_way_ego_init_30_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,31,train,scenario_uk_give_way_ego_init_31_smpc_var_risk,0,0,0,,,69,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,32,train,scenario_uk_give_way_ego_init_32_smpc_var_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,33,train,scenario_uk_give_way_ego_init_33_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,34,train,scenario_uk_give_way_ego_init_34_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,35,train,scenario_uk_give_way_ego_init_35_smpc_var_risk,0,0,0,,,69,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,36,train,scenario_uk_give_way_ego_init_36_smpc_var_risk,0,0,0,,,54,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,37,train,scenario_uk_give_way_ego_init_37_smpc_var_risk,0,0,0,,,62,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,38,train,scenario_uk_give_way_ego_init_38_smpc_var_risk,0,0,0,,,63,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,39,train,scenario_uk_give_way_ego_init_39_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,40,train,scenario_uk_give_way_ego_init_40_smpc_var_risk,0,0,0,,,57,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,41,val,scenario_uk_give_way_ego_init_41_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,42,val,scenario_uk_give_way_ego_init_42_smpc_var_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,43,val,scenario_uk_give_way_ego_init_43_smpc_var_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,44,val,scenario_uk_give_way_ego_init_44_smpc_var_risk,0,0,0,,,56,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,45,val,scenario_uk_give_way_ego_init_45_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,46,test,scenario_uk_give_way_ego_init_46_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,47,test,scenario_uk_give_way_ego_init_47_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_ADAPTIVE,48,test,scenario_uk_give_way_ego_init_48_smpc_var_risk,0,0,0,,,53,24,15,0,0,0,0,exact_zero
