contrast_family,inference_scope,contrast,metric,a_label,b_label,n_pairs,mean_delta_a_minus_b,median_delta_a_minus_b,sd_delta,bootstrap_95ci_low,bootstrap_95ci_high,exact_sign_flip_p_two_sided,positive_pairs,negative_pairs,zero_pairs,holm_adjusted_p_within_scope
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,completion_time_s,B1,B0,5,-0.05000000074505806,0.0,1.1039701247414173,-0.9600000143051147,0.8600000128149986,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,min_footprint_separation_m,B1,B0,5,-0.012276561167832,1.716196462142605e-05,0.03160001282974588,-0.04072776326037593,0.0034028454721801047,0.875,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,solver_failure_fraction,B1,B0,5,3.5916144801122725e-05,0.0,0.00042563904085057445,-0.00029574072522682885,0.0004058208649313385,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,supervisor_active_fraction,B1,B0,5,0.0024550362794881846,0.0,0.01696625577094251,-0.010295365969090819,0.017450297192047548,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,completion_time_s,B1,B0,10,0.10000000149011612,-0.02500000037252903,1.154219330077927,-0.5600000083446502,0.745000011101365,0.9765625,4,5,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,min_footprint_separation_m,B1,B0,10,-0.09844688055914068,-0.0055816539437014145,0.1912319064993764,-0.22299884850247548,-0.0007829755274083391,0.162109375,4,6,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,solver_failure_fraction,B1,B0,10,-0.0010789874650908005,-2.029097254631438e-05,0.001844596035366066,-0.0022892270277562734,-0.00011712545290130973,0.09375,2,5,3,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,supervisor_active_fraction,B1,B0,10,-0.0035231758316324165,0.00031223083548664876,0.013277323260093883,-0.01202295052147189,0.003286574546711689,0.48046875,5,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,completion_time_s,B1,B0,5,-0.17000000253319741,-0.20000000298023224,0.1440486050553708,-0.2800000041723251,-0.06000000089406967,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,min_footprint_separation_m,B1,B0,5,-0.06069986861564967,0.0005694009517192011,0.15917981982665091,-0.20352524103608757,0.027036692587709864,0.75,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,solver_failure_fraction,B1,B0,5,-0.0009186917933300778,0.0,0.0021720836800541155,-0.002876720386744444,0.00011203174232699287,1.0,2,1,2,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,supervisor_active_fraction,B1,B0,5,0.003394797294945079,0.0030808729139923108,0.0038777380955177464,0.0008215137204712175,0.006692840695497415,0.125,4,0,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,completion_time_s,B1,B0,5,0.37000000551342965,0.10000000149011612,1.6716758308005146,-0.8900000132620335,1.5400000229477881,0.8125,4,1,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,min_footprint_separation_m,B1,B0,5,-0.1361938925026317,-0.011077255785004403,0.23104412419691361,-0.3481078327205167,-0.00016551984344193027,0.1875,1,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,solver_failure_fraction,B1,B0,5,-0.001239283136851523,-0.0005651482026799923,0.0016951455488181508,-0.002744153367459601,-0.00012926241857304997,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,supervisor_active_fraction,B1,B0,5,-0.010441148958209912,-0.0014203680782419736,0.016185293354053457,-0.02433092746239999,0.0013386336813114741,0.3125,1,4,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,completion_time_s,B1,B0,10,0.11000000163912774,-0.10000000149011612,0.9691921178629387,-0.3500000052154064,0.7551250112522284,0.888671875,4,6,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,min_footprint_separation_m,B1,B0,10,-0.02115966825609562,0.005689654670011202,0.10512235408715753,-0.09121108592337815,0.021546033713904976,0.91015625,6,4,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,solver_failure_fraction,B1,B0,10,0.00036283939679596186,0.0,0.0014455322141150016,-0.00027254684105042156,0.0013357611858863913,0.671875,4,4,2,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,supervisor_active_fraction,B1,B0,10,-0.0009497975222557325,0.0014008125772831531,0.013274501157555716,-0.009930560862549228,0.00544704245605567,0.904296875,6,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,completion_time_s,B1,B0,5,0.29000000432133677,-0.10000000149011612,1.3898741157279808,-0.6400000095367432,1.5500000230967999,0.9375,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,min_footprint_separation_m,B1,B0,5,0.004508068493836626,0.0003605115792150171,0.023164815920797395,-0.013323899738567823,0.02291669299101362,0.6875,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,solver_failure_fraction,B1,B0,5,-0.00011797102943387413,0.0,0.0005702719559676078,-0.0006399311501996083,0.00027016292280876707,0.875,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,supervisor_active_fraction,B1,B0,5,-0.004106181089155991,0.0013874837404249107,0.01833901281901432,-0.020747289182284707,0.00784304324036097,0.9375,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,completion_time_s,B1,B0,5,-0.07000000104308128,-0.20000000298023224,0.3174114096918761,-0.30000000447034836,0.19000000283122062,0.625,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,min_footprint_separation_m,B1,B0,5,-0.04682740500602787,0.011018797760807386,0.1506001511239411,-0.18396404386157078,0.033553456626906716,0.9375,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,solver_failure_fraction,B1,B0,5,0.0008436498230257978,0.0,0.0019489383881765169,-8.086188024011287e-05,0.0025959227276773794,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,supervisor_active_fraction,B1,B0,5,0.0022065860446445263,0.003062405412623509,0.005937303510847035,-0.002339522754869888,0.006885980855354135,0.5625,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,completion_time_s,adaptive,fixed_aggressive,10,-0.12000000178813934,-0.10000000149011612,0.9416888043328407,-0.6600000098347664,0.44500000663101674,0.71875,2,5,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,min_footprint_separation_m,adaptive,fixed_aggressive,10,-0.010572113739568022,-0.010760568825165462,0.043420249749974243,-0.03543240693472636,0.01579524965685372,0.462890625,4,6,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,solver_failure_fraction,adaptive,fixed_aggressive,10,4.578165810451336e-05,3.5015844669712866e-05,0.0003823693289991009,-0.000187551214731622,0.00025726600642882137,0.734375,5,2,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,supervisor_active_fraction,adaptive,fixed_aggressive,10,0.0007283244862175603,0.0013656179421187992,0.013497454918620477,-0.007840569049807294,0.007839591947665356,0.90625,5,2,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,completion_time_s,adaptive,fixed_aggressive,5,-0.10000000149011612,0.0,0.7280109997762609,-0.6600000098347664,0.48000000715255736,1.0,1,2,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,min_footprint_separation_m,adaptive,fixed_aggressive,5,-0.03875644466846058,-0.03548078397795029,0.02982310577788366,-0.0647797254337303,-0.01890440871650754,0.0625,0,5,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,solver_failure_fraction,adaptive,fixed_aggressive,5,4.408023387929977e-05,0.0,0.00031412041325872594,-0.0002018719742731394,0.0002758220485581619,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,supervisor_active_fraction,adaptive,fixed_aggressive,5,0.0015982101591198727,0.0,0.009188038595516087,-0.005360962142883524,0.008232001917598203,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,completion_time_s,adaptive,fixed_aggressive,5,-0.14000000208616256,-0.20000000298023224,1.2100619999149014,-1.0700000159442424,0.8700000129640102,0.75,1,3,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,min_footprint_separation_m,adaptive,fixed_aggressive,5,0.01761221718932453,0.004152318116642073,0.03696832138163227,-0.0032682144585900463,0.05139632651534263,0.375,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,solver_failure_fraction,adaptive,fixed_aggressive,5,4.7483082329726965e-05,7.003168933942573e-05,0.00047988051879757827,-0.0003689654404313165,0.00039193641057013053,0.75,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,supervisor_active_fraction,adaptive,fixed_aggressive,5,-0.00014156118668475214,0.0027312358842375983,0.01798877691612015,-0.01624474255306933,0.011955561439093649,1.0,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,completion_time_s,adaptive,fixed_medium,10,-0.18500000275671483,-0.12500000186264515,0.7303157721195065,-0.6250000093132257,0.23500000350177289,0.45703125,4,5,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,min_footprint_separation_m,adaptive,fixed_medium,10,-0.016801721874180643,-0.0096564745533958,0.122899392659055,-0.09231022014635684,0.05672104033483097,0.580078125,4,6,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,solver_failure_fraction,adaptive,fixed_medium,10,-0.0008860648837269658,-8.79012692943295e-06,0.0019596659574190128,-0.002227007409763197,9.349099258363937e-05,0.3046875,3,5,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,supervisor_active_fraction,adaptive,fixed_medium,10,0.002565615007884771,0.001699968615964012,0.010324940787972255,-0.0034322765579833186,0.008628649431170133,0.4609375,5,4,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,completion_time_s,adaptive,fixed_medium,5,0.010000000149011612,0.0,0.7733046086903846,-0.5800000086426735,0.6000000089406967,1.0,2,2,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,min_footprint_separation_m,adaptive,fixed_medium,5,-0.07698067622457101,-0.03654059540449017,0.12144921841078833,-0.18373723489332527,-0.0008195433139743357,0.1875,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,solver_failure_fraction,adaptive,fixed_medium,5,-0.0019531034298269987,-0.0003402445507708664,0.0023950309614969574,-0.003885054519672826,-0.00019889003164950055,0.125,0,4,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,supervisor_active_fraction,adaptive,fixed_medium,5,0.0015034485753861015,0.0,0.011595864979404808,-0.007605131491998195,0.010612028642770398,0.75,2,2,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,completion_time_s,adaptive,fixed_medium,5,-0.38000000566244124,-0.2500000037252903,0.7120393353669286,-0.9700000144541263,0.13000000193715094,0.375,2,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,min_footprint_separation_m,adaptive,fixed_medium,5,0.043377232476209726,0.003297595479090476,0.10090048360420786,-0.007065660546898544,0.1333508341035677,0.625,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,solver_failure_fraction,adaptive,fixed_medium,5,0.00018097366237306722,8.717787774174379e-05,0.00024094095088522292,1.0403474004802397e-05,0.0003866064303499672,0.25,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,supervisor_active_fraction,adaptive,fixed_medium,5,0.0036277814403834403,0.003399937231928024,0.0101279478016351,-0.004444108203353026,0.011063447836119535,0.5,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,completion_time_s,adaptive,fixed_conservative,10,-0.07500000111758709,-0.1750000026077032,0.9040802704795469,-0.5850000087171793,0.4950000073760748,0.81640625,3,7,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,min_footprint_separation_m,adaptive,fixed_conservative,10,-0.043278617742499616,-0.00895649276632482,0.10235154792717613,-0.11005387491376242,-0.0032652584216618587,0.04296875,3,7,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,solver_failure_fraction,adaptive,fixed_conservative,10,-0.0014416792403750885,0.0,0.0024639106781917286,-0.0029863576362601355,-6.141962027423556e-05,0.1875,4,4,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,supervisor_active_fraction,adaptive,fixed_conservative,10,0.0008123704910001528,0.0024001007007394964,0.013455379789708464,-0.007730808366652648,0.00783103256074129,0.875,7,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,completion_time_s,adaptive,fixed_conservative,5,-0.030000000447034835,-0.15000000223517418,0.6350196941967915,-0.45000000670552254,0.5400000080466271,0.9375,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,min_footprint_separation_m,adaptive,fixed_conservative,5,-0.07274353414506866,-0.00984375692466033,0.14395205556672205,-0.2016680131290781,-0.002121934429273287,0.125,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,solver_failure_fraction,adaptive,fixed_conservative,5,-0.0019519402760913255,-0.000457516339869281,0.0024946951183025734,-0.0038296843108616163,-7.419624132103518e-05,0.25,1,3,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,supervisor_active_fraction,adaptive,fixed_conservative,5,0.0019833531809665406,0.0020689655172413945,0.009199950163387044,-0.005478213631662632,0.008175192492088956,0.6875,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,completion_time_s,adaptive,fixed_conservative,5,-0.12000000178813934,-0.20000000298023224,1.196139641780872,-0.9900000147521496,0.9200000137090683,0.75,2,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,min_footprint_separation_m,adaptive,fixed_conservative,5,-0.013813701339930562,-0.0018527170356807954,0.02603826066656004,-0.036808283584111166,0.0023857453675732556,0.375,2,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,solver_failure_fraction,adaptive,fixed_conservative,5,-0.0009314182046588515,7.003168933942573e-05,0.0026048044212633407,-0.0032957947087239995,0.00038535334878809553,1.0,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,supervisor_active_fraction,adaptive,fixed_conservative,5,-0.000358612198966235,0.0027312358842375983,0.017868665807289758,-0.01636633916951131,0.011669198251575131,0.9375,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,completion_time_s,adaptive,fixed_aggressive,10,0.2850000042468309,0.02500000037252903,0.8714770478080639,-0.17000000253319741,0.8400000125169754,0.40625,5,3,2,1.0
