predictor,risk_policy,target_style,n_rollouts,completion_rate,collision_rate,yield_success_rate,reactive_active_samples,completion_time_s_mean,completion_time_s_sd,target_clearance_adjusted_completion_delay_s_mean,target_clearance_adjusted_completion_delay_s_sd,min_footprint_separation_m_mean,min_footprint_separation_m_sd,min_center_distance_m_mean,min_center_distance_m_sd,clearance_s_mean,clearance_s_sd,feasibility_fraction_mean,feasibility_fraction_sd,solver_failure_fraction_mean,solver_failure_fraction_sd,average_solve_time_s_mean,average_solve_time_s_sd,max_lateral_acceleration_mps2_mean,max_lateral_acceleration_mps2_sd,avg_longitudinal_jerk_mps3_mean,avg_longitudinal_jerk_mps3_sd,avg_lateral_jerk_mps3_mean,avg_lateral_jerk_mps3_sd,supervisor_active_fraction_mean,supervisor_active_fraction_sd,risk_tightening_mean_mean,risk_tightening_mean_sd
B0,adaptive,assertive,5,1.0,0.0,1.0,0,10.180000151693822,0.7471613056342965,8.220000122487544,0.7620695619874205,1.249576263748136,0.32454680891554966,4.69827439367525,0.26011519910366404,1.2700000189244747,0.16046806774997263,0.9961613032454629,0.00216092050433212,0.0038386967545371645,0.0021609205043321205,0.08646746146357924,0.0015348265681441276,5.202636784725596,0.6227341394636113,5.380114962896186,0.6909004987321364,4.276884803068588,1.3222504874165493,0.1391626798961336,0.016966475557123238,1.3768745330959753,0.006109284231522186
B0,adaptive,reactive,5,1.0,0.0,1.0,34,10.900000162422657,0.9374166769312305,8.670000129193067,0.7285259197980417,1.2470403915906378,0.34811480067317485,4.670379532112631,0.2840799884137772,1.3800000205636025,0.09746794490047518,0.9964323376681448,0.0020112647515841825,0.0035676623318553814,0.0020112647515842003,0.09559164985484474,0.0025799750267156557,5.2121508025760575,0.6225526720367335,5.269587793654731,0.4858739408327554,3.9971066902682133,1.3611234576823557,0.15292053666478433,0.025392664624392228,1.3828191985396348,0.006715884874648542
B0,fixed_aggressive,assertive,5,1.0,0.0,1.0,0,10.280000153183938,0.8220401572544491,8.330000124126673,0.8363611784670093,1.2883327084165968,0.353168696656471,4.7326580097377455,0.28329560987515556,1.3100000195205213,0.1557241173444445,0.9962053834793421,0.002137294348247586,0.0037946165206578647,0.0021372943482475828,0.06880801037541466,0.013041275199401656,5.213667626923915,0.6442115427918713,5.591171482511951,0.5314464602316843,4.183204041401022,1.2653486063751203,0.13756446973701372,0.012875611861828447,1.2815515655445984,7.263268757016717e-16
B0,fixed_aggressive,reactive,5,1.0,0.0,1.0,34,11.04000016450882,1.1193748421964425,8.81000013127923,1.1299336432065892,1.2294281744013136,0.3171651153753286,4.655184116413163,0.26613164038389503,1.4100000210106374,0.10839741855864138,0.9964798207504744,0.001994994367498147,0.0035201792495256545,0.001994994367498147,0.06342037878836662,0.0036080374745616865,5.181989608601334,0.6252822578338451,5.406051791491837,0.8535510622214304,3.8997518576965846,1.2186838076922655,0.15306209785146907,0.03815525891912473,1.281551565544598,8.15843973306311e-16
B0,fixed_conservative,assertive,5,1.0,0.0,1.0,0,10.210000152140855,0.40527768862229696,8.260000123083591,0.40527768862229696,1.3223197978932049,0.3107210468744874,4.748618265326543,0.23765729513054,1.3100000195205213,0.12942179298398282,0.9942093629693716,0.004075673991026417,0.00579063703062849,0.0040756739910264095,0.07509812863307741,0.02215484713494243,5.180867361692493,0.6148901433622416,5.442253487282042,0.6604198289644704,4.29400067664918,1.306857401953593,0.13717932671516705,0.014009175334715455,2.0537489106318225,5.438959822042073e-16
B0,fixed_conservative,reactive,5,1.0,0.0,1.0,34,11.020000164210796,1.1206025332044662,8.790000130981207,1.124944459835613,1.2608540929305687,0.3602110846461751,4.675080266344301,0.2926867485283176,1.4100000210106374,0.10839741855864138,0.9955009194634858,0.00347092575575856,0.004499080536514233,0.0034709257557585553,0.06470228621217386,0.0015079818530815945,5.159984596370575,0.6384524118752437,5.391011722890975,0.8914373260564443,3.9882516368079743,1.4199444230178113,0.15327914886375055,0.0379042470875148,2.0537489106318234,1.5888218580782547e-15
B0,fixed_medium,assertive,5,1.0,0.0,1.0,0,10.170000151544809,0.4563441751642434,8.230000122636557,0.4631414539777218,1.3265569399727073,0.2809363447485642,4.758882847607898,0.21394260501191,1.3300000198185444,0.135092562874099,0.9942081998156358,0.004010501877246362,0.005791800184364163,0.004010501877246373,0.06543940173010732,0.0028525164976879007,5.19592961992523,0.6314983679702101,5.544441267178419,0.7315426623437343,4.235064095660677,1.1445878514832528,0.1376592313207475,0.012743871935028465,1.6399999999999948,2.895107444979072e-16
B0,fixed_medium,reactive,5,1.0,0.0,1.0,34,11.280000168085099,1.1771788484756973,9.040000134706498,1.0847811000703704,1.2036631591144282,0.35499760892196497,4.637835377463923,0.29430780624145786,1.3800000205636025,0.16807736564426398,0.9966133113305176,0.0018990283485266187,0.0033866886694823143,0.0018990283485266215,0.064728055794622,0.004352904477011121,5.162136665216916,0.6357708240174729,5.406901643586681,0.5987555547307102,3.92095768669635,1.4690910882122359,0.14929275522440089,0.02510018016080015,1.6399999999999946,6.586907452451086e-16
B1,adaptive,assertive,5,1.0,0.0,1.0,0,10.470000156015157,1.2321728958418847,8.510000126808881,1.2451907669945603,1.2540843322419728,0.32484419650917257,4.703885569297296,0.25998477856404645,1.2800000190734864,0.16046806774997263,0.9962792742748967,0.0021184390771550547,0.00372072572510329,0.0021184390771550534,0.08776405631671196,0.004362648555452956,5.202200452602929,0.6311390788760997,5.310302681462728,0.2227212986651168,4.199270070601431,1.3504163098333741,0.13505649880697762,0.00455519214471695,1.3746936947785782,0.008898398772030405
B1,adaptive,reactive,5,1.0,0.0,1.0,34,10.830000161379576,1.1037436461002526,8.590000128000975,0.9476286333593376,1.20021298658461,0.36739580147061063,4.642582441768335,0.3056107758476817,1.3500000201165676,0.15411035237064757,0.9955886878451189,0.0030221349942877646,0.00441131215488118,0.0030221349942877607,0.08565692528040372,0.0032416042498254896,5.218720945771486,0.6357542623235326,5.553899978829258,0.5710981741614378,4.032700320319149,1.3972437314225052,0.15512712270942886,0.02398335471647098,1.3837551649503326,0.007903784170941265
