contrast_family,inference_scope,contrast,metric,a_label,b_label,condition_pairs,independent_init_groups,mean_delta_a_minus_b,median_delta_a_minus_b,sd_delta,bootstrap_95ci_low,bootstrap_95ci_high,exact_init_cluster_sign_flip_p,positive_pairs,negative_pairs,zero_pairs,holm_adjusted_p_within_scope
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__assertive,supervisor_active_fraction,B1,B0,5,5,-0.006546753381293485,-0.0006379585326953818,0.015923080271936944,-0.01942842525544656,0.005437604884038228,0.4375,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,target_clearance_adjusted_completion_delay_s,B1,B0,5,5,-0.05000000074505806,0.0,1.1039701247414173,-0.9600000143051147,0.8300000123679638,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,min_footprint_separation_m,B1,B0,5,5,-0.012276561167832,1.716196462142605e-05,0.03160001282974588,-0.04071365472423083,0.00295508911867548,0.875,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,solver_failure_fraction,B1,B0,5,5,3.5916144801122725e-05,0.0,0.00042563904085057445,-0.00030577786263523996,0.0004058208649313385,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,supervisor_active_fraction,B1,B0,5,5,0.0024550362794881846,0.0,0.01696625577094251,-0.010295365969090819,0.017450297192047548,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,target_clearance_adjusted_completion_delay_s,B1,B0,10,5,0.0900000013411045,-0.02500000037252903,1.156575421895278,-0.5300000078976155,0.6800000101327897,0.9375,4,5,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,min_footprint_separation_m,B1,B0,10,5,-0.09844688055914068,-0.0055816539437014145,0.19123190649937638,-0.21487272273091432,0.011015795576330834,0.375,4,6,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,solver_failure_fraction,B1,B0,10,5,-0.0010789874650908005,-2.029097254631438e-05,0.0018445960353660662,-0.002018466913726133,-0.00014200892057187592,0.125,2,5,3,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,supervisor_active_fraction,B1,B0,10,5,-0.0035231758316324165,0.00031223083548664876,0.013277323260093883,-0.010182815721443202,0.0024828391131089173,0.4375,5,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,target_clearance_adjusted_completion_delay_s,B1,B0,5,5,-0.180000002682209,-0.20000000298023224,0.16046806774997263,-0.30000000447034836,-0.06000000089406967,0.125,0,4,1,1.0
