scenario,initial,policy,bucket,clearance_phase,n_steps,sim_time_start_s,sim_time_end_s,ego_dconf_min,ego_dconf_mean,ego_dconf_max,target_dconf_mean,supervisor_active_frac,hard_stop_override_frac,rolling_caution_frac,emergency_brake_frac,final_control_overridden_frac,solver_failure_frac,solver_uses_adaptive_risk_frac,solver_risk_mode,risk_tightening_mean,risk_tightening_min,risk_tightening_max,risk_target_prob_mean,diagnostic_risk_tightening_mean,raw_tightening_before_floor_mean,preclearance_floor_active_frac,preclearance_floor_applied_frac,effective_severity_mean,raw_severity_mean,nominal_accel_mean,final_accel_mean,accel_override_delta_mean,current_center_distance_min,policy_min_footprint_separation,policy_min_center_distance,policy_yield_ok
scenario_uk_give_way,46,smpc_fixed_risk,approach,pre_clearance,1,858.2116624824703,858.2116624824703,15.263960727065935,15.263960727065935,15.263960727065935,13.85576153164632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-8.444454434197723e-05,-0.655177186256378,-0.655092741712036,27.732323904393976,0.9985051398890123,4.519017475488141,True
scenario_uk_give_way,46,smpc_fixed_risk,critical,pre_clearance,31,858.2616624832153,859.7616625055671,5.071124874818244,9.389548380294274,14.845740832498551,7.168811994755894,0.5806451612903226,0.5806451612903226,0.0,0.0,0.5806451612903226,0.03225806451612903,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258967,1.6400000000000003,,0.0,0.0,,,1.5500902891647172,-4.955766628195157,-6.505856917359873,5.713348802692767,0.9985051398890122,4.519017475488141,True
scenario_uk_give_way,46,smpc_fixed_risk,near,pre_clearance,13,859.8116625063121,860.4116625152528,4.271106221805857,4.611142702281196,4.995513396729633,-2.457909773335355,0.7692307692307693,0.7692307692307693,0.0,0.0,0.7692307692307693,0.07692307692307693,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258961,1.6400000000000003,,0.0,0.0,,,-0.06376469773176406,-0.4236471231938833,-0.35988242546211924,4.51901748544899,0.9985051398890122,4.519017475488141,True
scenario_uk_give_way,46,smpc_fixed_risk,near,post_clearance,154,860.4616625159979,868.1116626299918,-23.220657274179878,-8.525833275046327,4.271106221805857,-40.2180423460347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.6399999999999935,1.64,1.64,0.9494974165258984,1.6399999999999935,,0.0,0.0,,,-0.02016114437228905,-0.001897647272608935,0.018263497099680157,5.766053726203677,0.9985051398890139,4.519017475488123,True
scenario_uk_give_way,46,smpc_fixed_risk,unknown,pre_clearance,1,858.1616624817252,858.1616624817252,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.4583985098257557,-0.35548499770886166,0.10291351211689403,28.564812803889637,0.9985051398890123,4.519017475488141,True
scenario_uk_give_way,47,smpc_fixed_risk,approach,pre_clearance,4,878.7158762849867,878.8658762872219,15.294410053971196,15.878086502836846,16.46219036633231,13.352533003753479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.00037937625277351117,-0.6977887963656768,-0.6974094201129033,26.76574494093415,1.3423906660755125,4.7040878570797044,True
scenario_uk_give_way,47,smpc_fixed_risk,critical,pre_clearance,37,878.915876287967,880.715876314789,5.032004910921229,8.903552745581223,14.904304160895249,4.723241621914507,0.5945945945945946,0.5945945945945946,0.0,0.0,0.5945945945945946,0.0,0.0,fixed_static,1.6400000000000003,1.64,1.64,0.9494974165258965,1.6400000000000003,,0.0,0.0,,,1.4299974057012546,-3.6804974454921418,-5.110494851193396,4.704087849908725,1.3423906660755116,4.7040878570797044,True
scenario_uk_give_way,47,smpc_fixed_risk,near,pre_clearance,5,880.7658763155341,880.9658763185143,4.841180090844945,4.917342813120335,4.993838056129691,-4.513541567419785,0.2,0.2,0.0,0.0,0.2,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.4800000000000001,0.64,1.1199999999999999,4.771820561359244,1.3423906660755125,4.7040878570797044,True
scenario_uk_give_way,47,smpc_fixed_risk,near,post_clearance,148,881.0158763192594,888.3658764287829,-23.55462127697876,-8.664377984199888,4.802914160128566,-39.16090374494448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.639999999999994,1.64,1.64,0.9494974165258983,1.639999999999994,,0.0,0.0,,,-0.03015069429522351,-0.017920945817489285,0.012229748477734198,5.6811576534871495,1.3423906660755147,4.704087857079694,True
scenario_uk_give_way,47,smpc_fixed_risk,unknown,pre_clearance,1,878.6658762842417,878.6658762842417,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_static,1.64,1.64,1.64,0.9494974165258963,1.64,,0.0,0.0,,,-0.3164413012786511,-0.016440977759040243,0.30000032351961087,29.97533970543456,1.3423906660755125,4.7040878570797044,True
